        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           1 |          1.885 |          1.893 |          1.922 |          1.893 |          0.199 |          0.492 |          0.001 |
            strnlen (LI-PaRAD) |           1 |          2.789 |          2.888 |          2.898 |          2.887 |          0.464 |          0.323 |          0.002 |     -34.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           2 |          2.695 |          2.696 |          2.701 |          2.697 |          0.063 |          0.691 |          0.000 |
            strnlen (LI-PaRAD) |           2 |          2.756 |          2.889 |          2.897 |          2.883 |          0.873 |          0.646 |          0.006 |      -6.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           3 |          2.695 |          2.696 |          2.700 |          2.697 |          0.063 |          1.036 |          0.001 |
            strnlen (LI-PaRAD) |           3 |          2.887 |          2.889 |          2.893 |          2.889 |          0.059 |          0.967 |          0.001 |      -6.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           4 |          2.695 |          2.696 |          2.706 |          2.697 |          0.070 |          1.381 |          0.001 |
            strnlen (LI-PaRAD) |           4 |          2.695 |          2.890 |          2.893 |          2.882 |          1.056 |          1.293 |          0.014 |      -6.43%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           5 |          2.695 |          2.696 |          2.700 |          2.697 |          0.060 |          1.727 |          0.001 |
            strnlen (LI-PaRAD) |           5 |          2.751 |          2.889 |          2.894 |          2.886 |          0.682 |          1.614 |          0.011 |      -6.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           6 |          2.695 |          2.696 |          2.701 |          2.697 |          0.058 |          2.072 |          0.001 |
            strnlen (LI-PaRAD) |           6 |          2.741 |          2.889 |          2.896 |          2.881 |          1.009 |          1.940 |          0.020 |      -6.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           7 |          2.695 |          2.696 |          2.700 |          2.697 |          0.060 |          2.418 |          0.001 |
            strnlen (LI-PaRAD) |           7 |          2.743 |          2.889 |          2.893 |          2.880 |          1.050 |          2.264 |          0.025 |      -6.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           8 |          2.695 |          2.696 |          2.701 |          2.697 |          0.069 |          2.763 |          0.002 |
            strnlen (LI-PaRAD) |           8 |          2.762 |          2.889 |          2.922 |          2.885 |          0.710 |          2.583 |          0.019 |      -6.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           9 |          2.695 |          2.696 |          2.704 |          2.697 |          0.072 |          3.108 |          0.002 |
            strnlen (LI-PaRAD) |           9 |          2.744 |          2.889 |          2.895 |          2.887 |          0.526 |          2.903 |          0.016 |      -6.60%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |          10 |          2.695 |          2.696 |          2.703 |          2.697 |          0.068 |          3.454 |          0.002 |
            strnlen (LI-PaRAD) |          10 |          2.805 |          2.889 |          2.893 |          2.887 |          0.453 |          3.226 |          0.015 |      -6.58%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |          11 |          2.694 |          2.696 |          2.701 |          2.697 |          0.065 |          3.799 |          0.002 |
            strnlen (LI-PaRAD) |          11 |          2.767 |          2.889 |          2.893 |          2.887 |          0.475 |          3.548 |          0.017 |      -6.60%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |          12 |          2.695 |          2.696 |          2.702 |          2.697 |          0.066 |          4.144 |          0.003 |
            strnlen (LI-PaRAD) |          12 |          2.820 |          2.889 |          2.893 |          2.888 |          0.344 |          3.870 |          0.014 |      -6.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |          13 |          2.695 |          2.696 |          2.701 |          2.697 |          0.064 |          4.490 |          0.003 |
            strnlen (LI-PaRAD) |          13 |          2.743 |          2.889 |          2.896 |          2.886 |          0.694 |          4.195 |          0.030 |      -6.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |          14 |          2.695 |          2.696 |          2.701 |          2.697 |          0.070 |          4.835 |          0.003 |
            strnlen (LI-PaRAD) |          14 |          2.887 |          2.889 |          2.893 |          2.889 |          0.061 |          4.513 |          0.003 |      -6.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |          15 |          2.695 |          2.696 |          2.702 |          2.697 |          0.060 |          5.181 |          0.003 |
            strnlen (LI-PaRAD) |          15 |          2.771 |          2.889 |          2.893 |          2.884 |          0.754 |          4.845 |          0.038 |      -6.49%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |          16 |          2.694 |          2.696 |          2.701 |          2.697 |          0.066 |          5.526 |          0.004 |
            strnlen (LI-PaRAD) |          16 |          2.806 |          2.889 |          2.894 |          2.889 |          0.294 |          5.159 |          0.016 |      -6.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |          17 |          3.080 |          3.083 |          3.089 |          3.083 |          0.064 |          5.136 |          0.003 |
            strnlen (LI-PaRAD) |          17 |          2.887 |          2.889 |          2.893 |          2.889 |          0.062 |          5.480 |          0.003 |      +6.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |          18 |          3.042 |          3.081 |          3.086 |          3.074 |          0.498 |          5.454 |          0.027 |
