        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |           1 |          2.888 |          2.983 |          3.164 |          2.979 |          2.258 |          0.313 |          0.007 |
             memcmp (LI-PaRAD) |           1 |          3.066 |          3.464 |          3.470 |          3.403 |          3.022 |          0.274 |          0.009 |     -12.46%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |           2 |          2.963 |          2.987 |          3.142 |          3.007 |          1.224 |          0.620 |          0.007 |
             memcmp (LI-PaRAD) |           2 |          3.104 |          3.467 |          3.485 |          3.433 |          2.460 |          0.543 |          0.014 |     -12.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |           3 |          2.695 |          2.696 |          2.700 |          2.697 |          0.067 |          1.036 |          0.001 |
             memcmp (LI-PaRAD) |           3 |          3.168 |          3.394 |          3.470 |          3.377 |          2.590 |          0.828 |          0.022 |     -20.14%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |           4 |          2.983 |          2.986 |          3.121 |          3.002 |          1.082 |          1.241 |          0.013 |
             memcmp (LI-PaRAD) |           4 |          3.089 |          3.467 |          3.470 |          3.438 |          2.283 |          1.084 |          0.027 |     -12.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |           5 |          2.695 |          2.696 |          2.702 |          2.697 |          0.071 |          1.727 |          0.001 |
             memcmp (LI-PaRAD) |           5 |          3.166 |          3.416 |          3.470 |          3.388 |          2.381 |          1.375 |          0.033 |     -20.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |           6 |          2.923 |          2.986 |          3.179 |          3.003 |          1.320 |          1.861 |          0.024 |
             memcmp (LI-PaRAD) |           6 |          3.119 |          3.467 |          3.470 |          3.430 |          2.471 |          1.630 |          0.043 |     -12.44%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |           7 |          2.695 |          2.697 |          2.702 |          2.697 |          0.073 |          2.417 |          0.002 |
             memcmp (LI-PaRAD) |           7 |          3.171 |          3.422 |          3.470 |          3.384 |          2.643 |          1.928 |          0.052 |     -20.32%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |           8 |          2.983 |          2.988 |          3.114 |          3.007 |          1.198 |          2.478 |          0.029 |
             memcmp (LI-PaRAD) |           8 |          3.050 |          3.467 |          3.471 |          3.430 |          2.473 |          2.173 |          0.057 |     -12.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcmp (Arm OR 23.01) |           9 |          2.694 |          2.696 |          2.706 |          2.697 |          0.075 |          3.108 |          0.002 |
             memcmp (LI-PaRAD) |           9 |          3.122 |          3.392 |          3.470 |          3.376 |          2.844 |          2.485 |          0.072 |     -20.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
