ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
memcmp (LI-PaRAD)|1|2.951|2.988|3.038|2.989|0.82|0.312|0.003
memcmp (GNU libc 2.39)|1|2.31|2.311|2.338|2.312|0.174|0.403|0.001
memcmp (Arm OR 23.01)|1|2.887|2.938|3.001|2.939|1.127|0.317|0.004
memcmp (LI-PaRAD)|2|2.824|2.86|2.878|2.857|0.351|0.652|0.002
memcmp (GNU libc 2.39)|2|3.464|3.467|3.474|3.467|0.057|0.537|0.0
memcmp (Arm OR 23.01)|2|2.754|2.986|2.989|2.976|1.147|0.626|0.008
memcmp (LI-PaRAD)|3|3.079|3.083|3.088|3.082|0.073|0.906|0.001
memcmp (GNU libc 2.39)|3|3.464|3.467|3.483|3.467|0.072|0.806|0.001
memcmp (Arm OR 23.01)|3|2.694|2.698|2.875|2.718|1.754|1.028|0.017
memcmp (LI-PaRAD)|4|2.952|2.986|3.021|2.986|0.771|1.248|0.01
memcmp (GNU libc 2.39)|4|2.117|3.08|3.098|2.758|16.581|1.393|0.261
memcmp (Arm OR 23.01)|4|2.819|2.949|2.989|2.946|1.301|1.265|0.017
memcmp (LI-PaRAD)|5|3.079|3.083|3.086|3.082|0.067|1.511|0.001
memcmp (GNU libc 2.39)|5|3.079|3.083|3.086|3.082|0.066|1.511|0.001
memcmp (Arm OR 23.01)|5|2.694|2.7|2.986|2.748|2.624|1.696|0.043
memcmp (LI-PaRAD)|6|2.825|2.86|2.865|2.854|0.364|1.958|0.007
memcmp (GNU libc 2.39)|6|3.079|3.082|3.093|3.082|0.075|1.813|0.001
memcmp (Arm OR 23.01)|6|2.798|2.986|2.99|2.976|1.182|1.878|0.023
memcmp (LI-PaRAD)|7|3.079|3.082|3.088|3.082|0.069|2.115|0.001
memcmp (GNU libc 2.39)|7|3.079|3.082|3.086|3.082|0.065|2.115|0.001
memcmp (Arm OR 23.01)|7|2.694|2.698|2.963|2.734|2.411|2.386|0.055
memcmp (LI-PaRAD)|8|2.951|2.996|3.022|2.994|0.745|2.489|0.019
