        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           1 |          1.923 |          1.926 |          1.955 |          1.927 |          0.188 |          0.483 |          0.001 |
             memcpy (LI-PaRAD) |           1 |          2.308 |          2.311 |          2.316 |          2.311 |          0.071 |          0.403 |          0.000 |     -16.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           2 |          3.079 |          3.082 |          3.086 |          3.082 |          0.060 |          0.604 |          0.000 |
             memcpy (LI-PaRAD) |           2 |          2.308 |          2.311 |          2.316 |          2.311 |          0.069 |          0.806 |          0.001 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           3 |          3.079 |          3.082 |          3.088 |          3.082 |          0.067 |          0.907 |          0.001 |
             memcpy (LI-PaRAD) |           3 |          2.308 |          2.311 |          2.316 |          2.311 |          0.068 |          1.209 |          0.001 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           4 |          3.079 |          3.082 |          3.086 |          3.082 |          0.061 |          1.209 |          0.001 |
             memcpy (LI-PaRAD) |           4 |          2.308 |          2.311 |          2.316 |          2.311 |          0.068 |          1.612 |          0.001 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           5 |          3.079 |          3.082 |          3.084 |          3.082 |          0.058 |          1.511 |          0.001 |
             memcpy (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.316 |          2.311 |          0.065 |          2.015 |          0.001 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           6 |          3.079 |          3.082 |          3.086 |          3.082 |          0.062 |          1.813 |          0.001 |
             memcpy (LI-PaRAD) |           6 |          2.308 |          2.311 |          2.316 |          2.311 |          0.070 |          2.418 |          0.002 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           7 |          3.079 |          3.082 |          3.086 |          3.082 |          0.063 |          2.115 |          0.001 |
             memcpy (LI-PaRAD) |           7 |          2.308 |          2.311 |          2.316 |          2.311 |          0.069 |          2.821 |          0.002 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           8 |          2.694 |          2.697 |          2.701 |          2.697 |          0.065 |          2.763 |          0.002 |
             memcpy (LI-PaRAD) |           8 |          2.308 |          2.311 |          2.316 |          2.311 |          0.070 |          3.223 |          0.002 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           9 |          2.694 |          2.697 |          2.701 |          2.697 |          0.066 |          3.108 |          0.002 |
