        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           1 |          7.315 |          7.412 |          7.704 |          7.413 |          1.164 |          0.126 |          0.001 |
             strchr (LI-PaRAD) |           1 |          4.365 |          4.446 |          4.583 |          4.452 |          1.136 |          0.209 |          0.002 |     +66.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           2 |          7.288 |          7.409 |          7.666 |          7.424 |          1.129 |          0.251 |          0.003 |
             strchr (LI-PaRAD) |           2 |          4.364 |          4.446 |          4.554 |          4.446 |          1.067 |          0.419 |          0.004 |     +66.98%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           3 |          7.276 |          7.404 |          7.632 |          7.426 |          1.156 |          0.376 |          0.004 |
             strchr (LI-PaRAD) |           3 |          4.365 |          4.443 |          4.585 |          4.444 |          1.007 |          0.629 |          0.006 |     +67.11%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           4 |          7.242 |          7.434 |          7.642 |          7.437 |          1.219 |          0.501 |          0.006 |
             strchr (LI-PaRAD) |           4 |          4.364 |          4.445 |          4.611 |          4.450 |          1.112 |          0.837 |          0.009 |     +67.12%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           5 |          7.315 |          7.384 |          7.654 |          7.407 |          1.162 |          0.629 |          0.007 |
             strchr (LI-PaRAD) |           5 |          4.364 |          4.433 |          4.598 |          4.447 |          1.201 |          1.047 |          0.012 |     +66.58%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           6 |          7.300 |          7.401 |          7.635 |          7.407 |          1.067 |          0.754 |          0.008 |
             strchr (LI-PaRAD) |           6 |          4.364 |          4.438 |          4.576 |          4.443 |          1.075 |          1.258 |          0.013 |     +66.70%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
