        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strchr (Arm OR 23.01) |           1 |          7.206 |          7.638 |          7.704 |          7.602 |          1.381 |          0.123 |          0.002 |
             strchr (LI-PaRAD) |           1 |          4.585 |          4.623 |          4.732 |          4.629 |          0.600 |          0.201 |          0.001 |     +64.23%
         strchr (Arm OR 23.01) |           2 |          7.217 |          7.619 |          7.705 |          7.582 |          1.373 |          0.246 |          0.003 |
             strchr (LI-PaRAD) |           2 |          4.585 |          4.624 |          4.741 |          4.635 |          0.614 |          0.402 |          0.002 |     +63.58%
         strchr (Arm OR 23.01) |           3 |          7.325 |          7.610 |          7.707 |          7.598 |          1.091 |          0.368 |          0.004 |
             strchr (LI-PaRAD) |           3 |          4.573 |          4.623 |          4.737 |          4.635 |          0.853 |          0.603 |          0.005 |     +63.93%
         strchr (Arm OR 23.01) |           4 |          7.377 |          7.645 |          7.707 |          7.624 |          1.004 |          0.489 |          0.005 |
             strchr (LI-PaRAD) |           4 |          4.573 |          4.623 |          4.735 |          4.629 |          0.778 |          0.805 |          0.006 |     +64.69%
         strchr (Arm OR 23.01) |           5 |          7.038 |          7.632 |          7.706 |          7.593 |          1.553 |          0.613 |          0.010 |
             strchr (LI-PaRAD) |           5 |          4.573 |          4.625 |          4.741 |          4.636 |          0.740 |          1.004 |          0.007 |     +63.78%
         strchr (Arm OR 23.01) |           6 |          7.331 |          7.611 |          7.706 |          7.603 |          1.046 |          0.735 |          0.008 |
             strchr (LI-PaRAD) |           6 |          4.573 |          4.623 |          4.739 |          4.634 |          0.715 |          1.206 |          0.009 |     +64.06%
         strchr (Arm OR 23.01) |           7 |          7.330 |          7.619 |          7.706 |          7.595 |          1.080 |          0.858 |          0.009 |
             strchr (LI-PaRAD) |           7 |          4.575 |          4.633 |          4.749 |          4.646 |          0.770 |          1.403 |          0.011 |     +63.47%
         strchr (Arm OR 23.01) |           8 |          7.070 |          7.626 |          7.707 |          7.588 |          1.503 |          0.982 |          0.015 |
             strchr (LI-PaRAD) |           8 |          4.573 |          4.625 |          4.751 |          4.639 |          0.817 |          1.606 |          0.013 |     +63.56%
         strchr (Arm OR 23.01) |           9 |          7.358 |          7.620 |          7.706 |          7.602 |          1.095 |          1.103 |          0.012 |
             strchr (LI-PaRAD) |           9 |          4.573 |          4.625 |          4.751 |          4.639 |          0.897 |          1.807 |          0.016 |     +63.87%
         strchr (Arm OR 23.01) |          10 |          7.184 |          7.616 |          7.706 |          7.577 |          1.479 |          1.229 |          0.018 |
             strchr (LI-PaRAD) |          10 |          4.573 |          4.626 |          4.749 |          4.641 |          0.799 |          2.007 |          0.016 |     +63.27%
         strchr (Arm OR 23.01) |          11 |          7.416 |          7.614 |          7.738 |          7.609 |          0.938 |          1.346 |          0.013 |
             strchr (LI-PaRAD) |          11 |          4.582 |          4.622 |          4.673 |          4.622 |          0.298 |          2.216 |          0.007 |     +64.62%
         strchr (Arm OR 23.01) |          12 |          7.089 |          7.635 |          7.707 |          7.613 |          1.215 |          1.468 |          0.018 |
             strchr (LI-PaRAD) |          12 |          4.580 |          4.623 |          4.701 |          4.627 |          0.518 |          2.416 |          0.012 |     +64.54%
         strchr (Arm OR 23.01) |          13 |          7.127 |          7.631 |          7.707 |          7.611 |          1.169 |          1.591 |          0.019 |
             strchr (LI-PaRAD) |          13 |          4.600 |          4.623 |          4.673 |          4.628 |          0.341 |          2.616 |          0.009 |     +64.47%
         strchr (Arm OR 23.01) |          14 |          7.318 |          7.640 |          7.709 |          7.623 |          0.981 |          1.711 |          0.017 |
             strchr (LI-PaRAD) |          14 |          4.588 |          4.623 |          4.671 |          4.623 |          0.240 |          2.820 |          0.007 |     +64.89%
