        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           1 |          2.086 |          2.098 |          2.111 |          2.096 |          0.214 |          0.444 |          0.001 |
             strchr (LI-PaRAD) |           1 |          4.364 |          4.446 |          4.553 |          4.445 |          1.041 |          0.210 |          0.002 |     -52.85%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           2 |          2.694 |          2.696 |          2.701 |          2.697 |          0.071 |          0.691 |          0.000 |
             strchr (LI-PaRAD) |           2 |          4.364 |          4.462 |          4.595 |          4.460 |          1.322 |          0.418 |          0.006 |     -39.53%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           3 |          2.695 |          2.696 |          2.701 |          2.697 |          0.069 |          1.036 |          0.001 |
             strchr (LI-PaRAD) |           3 |          4.364 |          4.473 |          4.596 |          4.464 |          1.425 |          0.626 |          0.009 |     -39.59%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           4 |          2.695 |          2.696 |          2.701 |          2.697 |          0.061 |          1.381 |          0.001 |
             strchr (LI-PaRAD) |           4 |          4.364 |          4.457 |          4.605 |          4.461 |          1.449 |          0.835 |          0.012 |     -39.55%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           5 |          2.695 |          2.697 |          2.702 |          2.697 |          0.068 |          1.727 |          0.001 |
             strchr (LI-PaRAD) |           5 |          4.364 |          4.498 |          4.584 |          4.490 |          1.325 |          1.037 |          0.014 |     -39.94%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           6 |          2.695 |          2.697 |          2.704 |          2.697 |          0.069 |          2.072 |          0.001 |
             strchr (LI-PaRAD) |           6 |          4.364 |          4.467 |          4.586 |          4.462 |          1.251 |          1.253 |          0.016 |     -39.57%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           7 |          2.695 |          2.697 |          2.701 |          2.697 |          0.066 |          2.418 |          0.002 |
             strchr (LI-PaRAD) |           7 |          4.364 |          4.487 |          4.570 |          4.471 |          1.143 |          1.458 |          0.017 |     -39.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           8 |          2.694 |          2.697 |          2.700 |          2.696 |          0.061 |          2.763 |          0.002 |
             strchr (LI-PaRAD) |           8 |          4.364 |          4.466 |          4.585 |          4.459 |          1.254 |          1.671 |          0.021 |     -39.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |           9 |          2.694 |          2.697 |          2.701 |          2.697 |          0.064 |          3.108 |          0.002 |
             strchr (LI-PaRAD) |           9 |          4.364 |          4.474 |          4.600 |          4.476 |          1.441 |          1.873 |          0.027 |     -39.75%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          10 |          2.695 |          2.696 |          2.701 |          2.696 |          0.064 |          3.454 |          0.002 |
             strchr (LI-PaRAD) |          10 |          4.364 |          4.470 |          4.591 |          4.465 |          1.398 |          2.086 |          0.029 |     -39.61%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          11 |          2.695 |          2.696 |          2.701 |          2.697 |          0.069 |          3.799 |          0.003 |
             strchr (LI-PaRAD) |          11 |          4.364 |          4.483 |          4.606 |          4.486 |          1.575 |          2.284 |          0.036 |     -39.89%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          12 |          2.694 |          2.697 |          2.703 |          2.697 |          0.072 |          4.144 |          0.003 |
             strchr (LI-PaRAD) |          12 |          4.364 |          4.476 |          4.600 |          4.479 |          1.347 |          2.496 |          0.034 |     -39.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          13 |          2.695 |          2.695 |          2.700 |          2.696 |          0.065 |          4.490 |          0.003 |
             strchr (LI-PaRAD) |          13 |          4.364 |          4.488 |          4.604 |          4.486 |          1.388 |          2.700 |          0.038 |     -39.89%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          14 |          2.694 |          2.696 |          2.701 |          2.697 |          0.067 |          4.835 |          0.003 |
             strchr (LI-PaRAD) |          14 |          4.364 |          4.481 |          4.610 |          4.479 |          1.368 |          2.911 |          0.040 |     -39.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          15 |          2.694 |          2.696 |          2.701 |          2.697 |          0.070 |          5.181 |          0.004 |
             strchr (LI-PaRAD) |          15 |          4.363 |          4.482 |          4.610 |          4.471 |          1.275 |          3.125 |          0.040 |     -39.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          16 |          2.794 |          2.804 |          2.811 |          2.803 |          0.116 |          5.316 |          0.006 |
             strchr (LI-PaRAD) |          16 |          4.364 |          4.484 |          4.591 |          4.478 |          1.392 |          3.329 |          0.046 |     -37.40%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strchr (GNU libc 2.39) |          17 |          2.771 |          2.804 |          2.811 |          2.803 |          0.200 |          5.648 |          0.011 |
             strchr (LI-PaRAD) |          17 |          4.364 |          4.488 |          4.601 |          4.488 |          1.335 |          3.528 |          0.047 |     -37.54%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
