ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strchr (LI-PaRAD)|1|4.43|4.567|20.591|9.006|79.693|0.16|0.072
strchr (Arm OR 23.01)|1|7.317|7.564|27.43|14.659|54.915|0.087|0.043
strchr (GNU libc 2.39)|1|2.092|2.099|18.109|4.12|128.6|0.393|0.132
strchr (LI-PaRAD)|2|4.365|4.516|20.589|8.752|81.31|0.329|0.145
strchr (Arm OR 23.01)|2|7.301|7.634|23.639|15.034|53.443|0.169|0.086
strchr (GNU libc 2.39)|2|2.092|2.099|18.617|4.188|128.773|0.779|0.264
strchr (LI-PaRAD)|3|4.364|4.489|20.592|8.896|81.031|0.491|0.221
strchr (Arm OR 23.01)|3|7.256|7.584|23.608|14.969|53.429|0.255|0.129
strchr (GNU libc 2.39)|3|2.095|2.099|26.1|4.263|132.329|1.168|0.397
strchr (LI-PaRAD)|4|4.388|4.569|20.583|9.007|79.235|0.64|0.289
strchr (Arm OR 23.01)|4|7.317|7.53|23.644|14.856|54.046|0.343|0.173
strchr (GNU libc 2.39)|4|2.095|2.099|18.296|4.172|129.127|1.565|0.528
strchr (LI-PaRAD)|5|4.365|4.493|20.586|8.89|81.043|0.819|0.369
strchr (Arm OR 23.01)|5|7.316|7.569|23.606|14.866|53.989|0.428|0.215
strchr (GNU libc 2.39)|5|2.095|2.099|18.464|4.135|128.236|1.957|0.658
strchr (LI-PaRAD)|6|4.415|4.565|20.608|9.088|79.443|0.957|0.436
strchr (Arm OR 23.01)|6|7.316|7.585|23.635|14.83|53.868|0.514|0.257
strchr (GNU libc 2.39)|6|2.095|2.099|18.64|4.193|128.545|2.33|0.792
strchr (LI-PaRAD)|7|4.364|4.56|20.6|8.968|80.206|1.127|0.504
strchr (Arm OR 23.01)|7|7.318|7.586|23.556|14.902|53.235|0.595|0.3
strchr (GNU libc 2.39)|7|2.095|2.099|18.259|4.19|128.415|2.719|0.923
strchr (LI-PaRAD)|8|4.399|4.559|20.596|9.122|79.844|1.279|0.584
strchr (Arm OR 23.01)|8|7.316|7.574|23.558|14.724|53.984|0.689|0.344
strchr (GNU libc 2.39)|8|2.095|2.099|18.192|4.177|128.845|3.123|1.056
strchr (LI-PaRAD)|9|4.364|4.493|32.553|8.93|82.991|1.476|0.662
strchr (Arm OR 23.01)|9|7.317|7.59|23.706|14.855|53.978|0.771|0.388
strchr (GNU libc 2.39)|9|2.095|2.099|30.104|4.297|135.224|3.511|1.193
strchr (LI-PaRAD)|10|4.364|4.555|20.61|9.1|79.985|1.605|0.734
strchr (Arm OR 23.01)|10|7.318|7.52|23.706|14.706|54.505|0.865|0.43
strchr (GNU libc 2.39)|10|2.095|2.099|18.338|4.337|128.127|3.864|1.361
strchr (LI-PaRAD)|11|4.365|4.492|20.555|9.047|80.431|1.784|0.819
strchr (Arm OR 23.01)|11|7.317|7.519|23.604|14.816|53.962|0.944|0.474
strchr (GNU libc 2.39)|11|2.095|2.099|18.186|4.189|128.394|4.272|1.451
strchr (LI-PaRAD)|12|4.365|4.457|20.586|9.04|80.693|1.954|0.899
strchr (Arm OR 23.01)|12|7.316|7.554|23.704|14.673|54.491|1.04|0.516
strchr (GNU libc 2.39)|12|2.095|2.099|18.273|4.178|128.882|4.684|1.584
strchr (LI-PaRAD)|13|4.365|4.494|20.532|8.889|80.913|2.128|0.956
strchr (Arm OR 23.01)|13|7.316|7.604|23.566|14.788|53.909|1.115|0.556
strchr (GNU libc 2.39)|13|2.095|2.099|18.18|4.171|129.083|5.087|1.716
strchr (LI-PaRAD)|14|4.365|4.476|20.555|8.847|80.873|2.299|1.032
strchr (Arm OR 23.01)|14|7.27|7.548|23.698|14.809|53.992|1.203|0.604
strchr (GNU libc 2.39)|14|2.094|2.099|18.182|4.183|128.623|5.451|1.847
strchr (LI-PaRAD)|15|4.389|4.566|20.6|9.127|79.684|2.392|1.092
strchr (Arm OR 23.01)|15|7.316|7.583|23.591|14.857|54.006|1.286|0.646
strchr (GNU libc 2.39)|15|2.095|2.099|18.308|4.172|129.116|5.869|1.98
strchr (LI-PaRAD)|16|4.386|4.554|20.612|8.92|80.144|2.585|1.154
strchr (Arm OR 23.01)|16|7.317|7.614|23.612|14.767|53.897|1.374|0.686
strchr (GNU libc 2.39)|16|2.692|2.8|18.809|5.607|108.405|4.523|1.74
strchr (LI-PaRAD)|17|4.365|4.464|20.564|8.881|81.082|2.79|1.255
strchr (Arm OR 23.01)|17|7.288|7.584|23.607|14.866|53.98|1.456|0.732
strchr (GNU libc 2.39)|17|2.688|2.799|18.808|5.527|108.724|4.819|1.828
strchr (LI-PaRAD)|18|4.365|4.484|20.558|8.846|80.724|2.951|1.323
strchr (Arm OR 23.01)|18|7.315|7.629|23.661|14.87|53.895|1.54|0.773
strchr (GNU libc 2.39)|18|2.643|2.8|18.809|5.646|108.985|5.088|1.964
strchr (LI-PaRAD)|19|4.366|4.481|20.539|9.041|80.584|3.09|1.42
strchr (Arm OR 23.01)|19|7.317|7.538|23.575|14.864|53.996|1.628|0.818
strchr (GNU libc 2.39)|19|2.711|2.8|18.81|5.483|109.525|5.425|2.027
strchr (LI-PaRAD)|20|4.365|4.495|20.56|8.899|80.872|3.269|1.468
strchr (Arm OR 23.01)|20|7.317|7.588|23.706|14.874|53.834|1.709|0.856
strchr (GNU libc 2.39)|20|2.626|2.8|18.812|5.487|109.565|5.708|2.133
strchr (LI-PaRAD)|21|4.364|4.565|20.599|9.123|79.804|3.355|1.533
strchr (Arm OR 23.01)|21|7.291|7.565|23.619|14.766|53.86|1.806|0.903
strchr (GNU libc 2.39)|21|2.683|2.801|18.81|5.607|108.441|5.938|2.285
strchr (LI-PaRAD)|22|4.366|4.567|20.61|9.069|79.564|3.522|1.605
strchr (Arm OR 23.01)|22|7.316|7.557|23.622|14.71|54.506|1.903|0.946
strchr (GNU libc 2.39)|22|2.708|2.8|18.808|5.526|108.669|6.235|2.365
