        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           1 |          6.325 |          6.641 |          6.915 |          6.641 |          2.134 |          0.140 |          0.003 |
             strcmp (LI-PaRAD) |           1 |          3.785 |          4.266 |          4.626 |          4.263 |          6.670 |          0.219 |          0.015 |     +55.77%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           2 |          6.240 |          6.521 |          6.859 |          6.525 |          2.161 |          0.286 |          0.006 |
             strcmp (LI-PaRAD) |           2 |          3.785 |          4.219 |          4.625 |          4.246 |          6.366 |          0.440 |          0.028 |     +53.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           3 |          6.931 |          6.935 |          6.940 |          6.934 |          0.028 |          0.403 |          0.000 |
             strcmp (LI-PaRAD) |           3 |          3.784 |          3.788 |          3.791 |          3.788 |          0.039 |          0.738 |          0.000 |     +83.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           4 |          6.205 |          6.519 |          6.743 |          6.498 |          2.037 |          0.574 |          0.012 |
             strcmp (LI-PaRAD) |           4 |          3.787 |          4.223 |          4.626 |          4.260 |          6.569 |          0.878 |          0.058 |     +52.55%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           5 |          6.931 |          6.934 |          6.964 |          6.934 |          0.051 |          0.672 |          0.000 |
             strcmp (LI-PaRAD) |           5 |          3.784 |          3.788 |          3.807 |          3.788 |          0.066 |          1.229 |          0.001 |     +83.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           6 |          6.185 |          6.514 |          6.934 |          6.505 |          2.201 |          0.859 |          0.019 |
             strcmp (LI-PaRAD) |           6 |          3.785 |          4.317 |          4.626 |          4.269 |          7.071 |          1.316 |          0.096 |     +52.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           7 |          6.931 |          6.934 |          6.939 |          6.934 |          0.029 |          0.940 |          0.000 |
             strcmp (LI-PaRAD) |           7 |          3.784 |          3.788 |          3.794 |          3.788 |          0.041 |          1.721 |          0.001 |     +83.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           8 |          6.241 |          6.503 |          6.865 |          6.507 |          2.189 |          1.146 |          0.025 |
             strcmp (LI-PaRAD) |           8 |          3.785 |          4.298 |          4.626 |          4.270 |          7.187 |          1.754 |          0.129 |     +52.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           9 |          6.931 |          6.934 |          6.937 |          6.934 |          0.027 |          1.209 |          0.000 |
             strcmp (LI-PaRAD) |           9 |          3.784 |          3.788 |          3.791 |          3.788 |          0.039 |          2.213 |          0.001 |     +83.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |          10 |          6.169 |          6.500 |          6.879 |          6.503 |          2.288 |          1.433 |          0.033 |
             strcmp (LI-PaRAD) |          10 |          3.785 |          4.167 |          4.626 |          4.200 |          6.788 |          2.228 |          0.151 |     +54.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |          11 |          6.931 |          6.934 |          6.942 |          6.934 |          0.029 |          1.477 |          0.000 |
             strcmp (LI-PaRAD) |          11 |          3.784 |          3.789 |          3.813 |          3.789 |          0.080 |          2.704 |          0.002 |     +83.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |          12 |          6.215 |          6.490 |          6.832 |          6.494 |          2.504 |          1.722 |          0.043 |
             strcmp (LI-PaRAD) |          12 |          3.785 |          4.207 |          4.626 |          4.228 |          6.936 |          2.656 |          0.184 |     +53.60%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |          13 |          6.931 |          6.935 |          7.004 |          6.940 |          0.213 |          1.745 |          0.004 |
             strcmp (LI-PaRAD) |          13 |          3.784 |          3.788 |          3.790 |          3.788 |          0.039 |          3.196 |          0.001 |     +83.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |          14 |          6.165 |          6.495 |          6.932 |          6.502 |          2.564 |          2.007 |          0.051 |
             strcmp (LI-PaRAD) |          14 |          3.785 |          4.229 |          4.626 |          4.240 |          6.402 |          3.088 |          0.199 |     +53.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |          15 |          6.931 |          6.934 |          6.937 |          6.934 |          0.026 |          2.015 |          0.001 |
             strcmp (LI-PaRAD) |          15 |          3.784 |          3.788 |          3.791 |          3.788 |          0.042 |          3.688 |          0.002 |     +83.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |          16 |          6.167 |          6.487 |          6.812 |          6.480 |          2.279 |          2.301 |          0.052 |
             strcmp (LI-PaRAD) |          16 |          3.785 |          4.269 |          4.627 |          4.248 |          6.502 |          3.522 |          0.233 |     +52.53%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |          17 |          6.931 |          6.935 |          6.945 |          6.935 |          0.035 |          2.283 |          0.001 |
             strcmp (LI-PaRAD) |          17 |          3.784 |          3.788 |          3.793 |          3.788 |          0.046 |          4.179 |          0.002 |     +83.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |          18 |          6.184 |          6.487 |          6.806 |          6.479 |          2.103 |          2.589 |          0.054 |
             strcmp (LI-PaRAD) |          18 |          3.785 |          4.272 |          4.624 |          4.287 |          6.444 |          3.926 |          0.260 |     +51.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |          19 |          6.930 |          6.934 |          6.962 |          6.935 |          0.052 |          2.552 |          0.001 |
             strcmp (LI-PaRAD) |          19 |          3.784 |          3.789 |          3.791 |          3.788 |          0.042 |          4.671 |          0.002 |     +83.06%
