        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strcmp (GNU libc 2.39) |           1 |          2.346 |          2.350 |          2.368 |          2.351 |          0.142 |          0.396 |          0.001 |
             strcmp (LI-PaRAD) |           1 |          4.236 |          4.237 |          4.266 |          4.238 |          0.075 |          0.220 |          0.000 |     -44.53%
        strcmp (GNU libc 2.39) |           2 |          2.694 |          2.697 |          2.701 |          2.697 |          0.071 |          0.691 |          0.000 |
             strcmp (LI-PaRAD) |           2 |          4.236 |          4.237 |          4.252 |          4.238 |          0.055 |          0.440 |          0.000 |     -36.37%
        strcmp (GNU libc 2.39) |           3 |          2.351 |          2.357 |          6.234 |          2.446 |         16.343 |          1.156 |          0.089 |
             strcmp (LI-PaRAD) |           3 |          3.592 |          3.596 |          3.817 |          3.605 |          1.082 |          0.775 |          0.008 |     -32.15%
        strcmp (GNU libc 2.39) |           4 |          2.694 |          2.697 |          2.709 |          2.697 |          0.096 |          1.381 |          0.001 |
             strcmp (LI-PaRAD) |           4 |          4.236 |          4.237 |          4.241 |          4.238 |          0.037 |          0.879 |          0.000 |     -36.35%
        strcmp (GNU libc 2.39) |           5 |          2.694 |          2.697 |          2.711 |          2.697 |          0.090 |          1.727 |          0.002 |
             strcmp (LI-PaRAD) |           5 |          3.592 |          3.595 |          3.900 |          3.600 |          0.892 |          1.293 |          0.011 |     -25.10%
        strcmp (GNU libc 2.39) |           6 |          2.694 |          2.698 |          2.701 |          2.697 |          0.079 |          2.072 |          0.002 |
             strcmp (LI-PaRAD) |           6 |          4.236 |          4.237 |          4.246 |          4.238 |          0.045 |          1.319 |          0.001 |     -36.36%
        strcmp (GNU libc 2.39) |           7 |          2.694 |          2.697 |          2.702 |          2.697 |          0.074 |          2.418 |          0.002 |
             strcmp (LI-PaRAD) |           7 |          3.592 |          3.595 |          3.910 |          3.600 |          0.963 |          1.811 |          0.016 |     -25.10%
        strcmp (GNU libc 2.39) |           8 |          3.083 |          3.092 |          3.096 |          3.091 |          0.093 |          2.410 |          0.002 |
             strcmp (LI-PaRAD) |           8 |          4.236 |          4.238 |          4.325 |          4.239 |          0.209 |          1.758 |          0.004 |     -27.08%
        strcmp (GNU libc 2.39) |           9 |          2.967 |          2.971 |          3.066 |          2.972 |          0.329 |          2.820 |          0.009 |
             strcmp (LI-PaRAD) |           9 |          3.592 |          3.595 |          4.091 |          3.616 |          2.315 |          2.319 |          0.049 |     -17.81%
        strcmp (GNU libc 2.39) |          10 |          3.084 |          3.093 |          3.101 |          3.093 |          0.095 |          3.012 |          0.003 |
             strcmp (LI-PaRAD) |          10 |          4.236 |          4.238 |          4.242 |          4.237 |          0.036 |          2.198 |          0.001 |     -27.02%
        strcmp (GNU libc 2.39) |          11 |          3.079 |          3.082 |          3.086 |          3.082 |          0.065 |          3.324 |          0.002 |
             strcmp (LI-PaRAD) |          11 |          3.592 |          3.596 |          3.910 |          3.618 |          1.898 |          2.833 |          0.051 |     -14.81%
        strcmp (GNU libc 2.39) |          12 |          3.084 |          3.092 |          3.099 |          3.091 |          0.098 |          3.616 |          0.004 |
             strcmp (LI-PaRAD) |          12 |          4.236 |          4.237 |          4.241 |          4.237 |          0.032 |          2.637 |          0.001 |     -27.05%
        strcmp (GNU libc 2.39) |          13 |          3.079 |          3.082 |          3.116 |          3.082 |          0.127 |          3.928 |          0.005 |
             strcmp (LI-PaRAD) |          13 |          3.592 |          3.595 |          3.893 |          3.613 |          1.756 |          3.352 |          0.056 |     -14.70%
        strcmp (GNU libc 2.39) |          14 |          3.081 |          3.092 |          3.097 |          3.092 |          0.097 |          4.217 |          0.004 |
             strcmp (LI-PaRAD) |          14 |          4.236 |          4.237 |          4.306 |          4.238 |          0.166 |          3.076 |          0.005 |     -27.05%
        strcmp (GNU libc 2.39) |          15 |          3.079 |          3.082 |          3.086 |          3.082 |          0.066 |          4.533 |          0.003 |
             strcmp (LI-PaRAD) |          15 |          3.592 |          3.595 |          3.885 |          3.604 |          1.128 |          3.877 |          0.041 |     -14.49%
        strcmp (GNU libc 2.39) |          16 |          3.850 |          3.856 |          3.864 |          3.856 |          0.052 |          3.865 |          0.002 |
             strcmp (LI-PaRAD) |          16 |          4.236 |          4.237 |          4.415 |          4.239 |          0.418 |          3.515 |          0.014 |      -9.05%
        strcmp (GNU libc 2.39) |          17 |          3.848 |          3.852 |          3.859 |          3.852 |          0.038 |          4.110 |          0.002 |
             strcmp (LI-PaRAD) |          17 |          3.592 |          3.595 |          3.880 |          3.606 |          1.287 |          4.391 |          0.053 |      +6.82%
        strcmp (GNU libc 2.39) |          18 |          3.854 |          3.859 |          3.865 |          3.859 |          0.063 |          4.344 |          0.003 |
             strcmp (LI-PaRAD) |          18 |          4.236 |          4.238 |          4.410 |          4.239 |          0.406 |          3.954 |          0.015 |      -8.97%
        strcmp (GNU libc 2.39) |          19 |          3.848 |          3.853 |          3.855 |          3.852 |          0.035 |          4.594 |          0.002 |
             strcmp (LI-PaRAD) |          19 |          3.592 |          3.596 |          3.913 |          3.615 |          1.791 |          4.896 |          0.083 |      +6.55%
        strcmp (GNU libc 2.39) |          20 |          3.850 |          3.856 |          3.863 |          3.856 |          0.055 |          4.831 |          0.003 |
             strcmp (LI-PaRAD) |          20 |          4.235 |          4.237 |          4.411 |          4.241 |          0.572 |          4.392 |          0.024 |      -9.09%
        strcmp (GNU libc 2.39) |          21 |          3.848 |          3.852 |          3.871 |          3.853 |          0.065 |          5.076 |          0.003 |
             strcmp (LI-PaRAD) |          21 |          3.592 |          3.595 |          3.913 |          3.617 |          2.081 |          5.409 |          0.105 |      +6.52%
        strcmp (GNU libc 2.39) |          22 |          3.852 |          3.859 |          3.864 |          3.859 |          0.066 |          5.310 |          0.004 |
             strcmp (LI-PaRAD) |          22 |          4.236 |          4.238 |          4.413 |          4.243 |          0.683 |          4.830 |          0.032 |      -9.04%
        strcmp (GNU libc 2.39) |          23 |          3.848 |          3.852 |          3.855 |          3.852 |          0.037 |          5.560 |          0.002 |
             strcmp (LI-PaRAD) |          23 |          3.592 |          3.596 |          3.884 |          3.605 |          1.286 |          5.943 |          0.072 |      +6.87%
        strcmp (GNU libc 2.39) |          24 |          4.333 |          4.338 |          4.344 |          4.338 |          0.056 |          5.153 |          0.003 |
             strcmp (LI-PaRAD) |          24 |          3.592 |          3.596 |          3.886 |          3.606 |          1.253 |          6.199 |          0.074 |     +20.28%
        strcmp (GNU libc 2.39) |          25 |          4.335 |          4.339 |          4.345 |          4.339 |          0.055 |          5.366 |          0.003 |
             strcmp (LI-PaRAD) |          25 |          3.592 |          3.596 |          3.914 |          3.611 |          1.627 |          6.450 |          0.099 |     +20.18%
