ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcmp (LI-PaRAD)|1|3.785|4.516|20.628|8.599|82.846|0.171|0.077
strcmp (Arm OR 23.01)|1|6.343|6.732|22.816|13.074|60.301|0.101|0.049
strcmp (GNU libc 2.39)|1|2.414|2.444|18.457|4.78|117.966|0.332|0.118
strcmp (LI-PaRAD)|2|3.786|4.621|28.093|8.804|82.72|0.336|0.154
strcmp (Arm OR 23.01)|2|6.25|6.776|22.919|13.238|59.558|0.199|0.098
strcmp (GNU libc 2.39)|2|2.429|2.445|18.554|4.98|117.965|0.657|0.243
strcmp (LI-PaRAD)|3|3.784|3.789|19.793|7.432|90.738|0.602|0.251
strcmp (Arm OR 23.01)|3|6.931|6.945|22.97|13.826|57.271|0.281|0.139
strcmp (GNU libc 2.39)|3|2.4|2.422|18.557|4.963|118.348|0.993|0.367
strcmp (LI-PaRAD)|4|3.784|4.62|20.63|8.766|81.908|0.673|0.308
strcmp (Arm OR 23.01)|4|6.257|6.795|22.833|13.265|59.72|0.398|0.198
strcmp (GNU libc 2.39)|4|2.421|2.446|18.703|5.015|117.127|1.298|0.48
strcmp (LI-PaRAD)|5|3.785|3.789|19.793|7.433|90.737|1.003|0.419
strcmp (Arm OR 23.01)|5|6.931|6.94|22.979|13.869|57.228|0.468|0.233
strcmp (GNU libc 2.39)|5|2.383|2.422|18.683|4.92|117.92|1.66|0.612
strcmp (LI-PaRAD)|6|3.788|4.622|20.632|8.794|81.201|0.998|0.454
strcmp (Arm OR 23.01)|6|6.32|6.738|22.938|13.257|59.863|0.598|0.298
strcmp (GNU libc 2.39)|6|2.415|2.444|18.463|4.988|117.685|1.965|0.726
strcmp (LI-PaRAD)|7|3.786|3.79|23.79|7.711|89.557|1.377|0.601
strcmp (Arm OR 23.01)|7|6.781|6.951|22.993|13.749|57.831|0.661|0.326
strcmp (GNU libc 2.39)|7|2.414|2.422|18.56|4.811|118.877|2.334|0.833
strcmp (LI-PaRAD)|8|3.788|4.419|20.629|8.539|83.622|1.388|0.626
strcmp (Arm OR 23.01)|8|6.314|6.825|22.936|13.206|59.675|0.797|0.395
strcmp (GNU libc 2.39)|8|3.141|3.164|19.175|6.331|101.242|1.967|0.788
strcmp (LI-PaRAD)|9|3.784|3.79|23.789|7.631|90.778|1.786|0.766
strcmp (Arm OR 23.01)|9|6.932|6.961|30.933|13.99|57.923|0.84|0.421
strcmp (GNU libc 2.39)|9|2.988|2.996|19.059|5.857|105.041|2.37|0.903
strcmp (LI-PaRAD)|10|3.791|4.556|20.628|8.643|81.727|1.686|0.759
strcmp (Arm OR 23.01)|10|6.303|6.755|22.956|13.112|60.36|1.005|0.494
strcmp (GNU libc 2.39)|10|3.147|3.164|23.155|6.53|101.325|2.433|1.004
strcmp (LI-PaRAD)|11|3.784|3.789|19.801|7.433|90.739|2.206|0.921
strcmp (Arm OR 23.01)|11|6.931|6.963|22.979|13.91|57.331|1.028|0.513
strcmp (GNU libc 2.39)|11|2.987|2.995|19.035|6.009|104.601|2.875|1.13
strcmp (LI-PaRAD)|12|3.785|4.585|20.629|8.688|81.545|2.025|0.923
strcmp (Arm OR 23.01)|12|6.282|6.791|30.74|13.389|59.819|1.184|0.594
strcmp (GNU libc 2.39)|12|3.151|3.165|19.174|6.412|99.728|2.922|1.197
strcmp (LI-PaRAD)|13|3.785|3.79|19.795|7.75|89.551|2.556|1.12
strcmp (Arm OR 23.01)|13|6.932|6.937|22.983|13.713|57.764|1.228|0.604
strcmp (GNU libc 2.39)|13|2.985|2.996|19.034|6.008|104.614|3.399|1.336
strcmp (LI-PaRAD)|14|3.788|4.621|20.632|8.609|82.347|2.375|1.061
strcmp (Arm OR 23.01)|14|6.267|6.772|22.938|13.106|59.837|1.401|0.688
strcmp (GNU libc 2.39)|14|3.136|3.164|19.182|6.33|101.259|3.443|1.38
strcmp (LI-PaRAD)|15|3.784|3.789|19.795|7.75|89.554|2.949|1.293
strcmp (Arm OR 23.01)|15|6.779|6.94|23.01|13.87|57.281|1.404|0.699
strcmp (GNU libc 2.39)|15|2.982|2.999|19.092|6.026|104.323|3.901|1.532
strcmp (LI-PaRAD)|16|3.786|4.417|20.626|8.382|83.771|2.79|1.229
strcmp (Arm OR 23.01)|16|6.303|6.759|23.002|13.264|59.77|1.592|0.792
strcmp (GNU libc 2.39)|16|3.857|3.901|19.927|7.821|87.997|3.062|1.329
strcmp (LI-PaRAD)|17|3.785|3.79|19.794|7.394|90.378|3.411|1.42
strcmp (Arm OR 23.01)|17|6.932|6.938|26.868|13.91|57.487|1.589|0.793
strcmp (GNU libc 2.39)|17|3.626|3.637|19.854|7.29|92.544|3.539|1.492
strcmp (LI-PaRAD)|18|3.785|4.618|20.629|8.639|82.075|3.033|1.353
strcmp (Arm OR 23.01)|18|6.293|6.792|22.932|13.32|58.912|1.772|0.882
strcmp (GNU libc 2.39)|18|3.863|3.9|31.892|7.978|90.817|3.442|1.506
strcmp (LI-PaRAD)|19|3.785|3.79|19.797|7.75|89.558|3.736|1.638
strcmp (Arm OR 23.01)|19|6.931|6.966|22.979|13.867|57.212|1.777|0.884
strcmp (GNU libc 2.39)|19|3.616|3.638|19.861|7.312|92.275|3.933|1.658
strcmp (LI-PaRAD)|20|3.788|4.621|20.623|8.759|80.725|3.317|1.498
strcmp (Arm OR 23.01)|20|6.239|6.779|22.937|13.089|60.148|2.007|0.982
strcmp (GNU libc 2.39)|20|3.863|3.901|19.936|7.86|88.328|3.827|1.667
strcmp (LI-PaRAD)|21|3.785|3.79|19.799|7.671|88.95|4.133|1.802
strcmp (Arm OR 23.01)|21|6.779|6.967|22.972|13.867|57.227|1.964|0.978
strcmp (GNU libc 2.39)|21|3.623|3.638|19.856|7.299|92.464|4.363|1.84
strcmp (LI-PaRAD)|22|3.785|4.622|20.626|8.739|81.281|3.682|1.676
strcmp (Arm OR 23.01)|22|6.281|6.774|22.894|13.105|60.245|2.21|1.084
strcmp (GNU libc 2.39)|22|3.868|3.9|19.919|7.858|88.334|4.211|1.834
strcmp (LI-PaRAD)|23|3.785|3.789|19.793|7.591|90.171|4.568|1.956
strcmp (Arm OR 23.01)|23|6.931|6.943|22.995|13.913|57.34|2.149|1.073
strcmp (GNU libc 2.39)|23|3.63|3.639|19.86|7.227|91.626|4.773|2.0
