        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           1 |          5.945 |          6.015 |          6.078 |          6.015 |          0.369 |          0.155 |          0.001 |
             strcpy (LI-PaRAD) |           1 |          2.308 |          2.311 |          2.316 |          2.311 |          0.075 |          0.403 |          0.000 |    +160.20%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           2 |          5.948 |          6.017 |          6.076 |          6.016 |          0.442 |          0.310 |          0.001 |
             strcpy (LI-PaRAD) |           2 |          1.923 |          1.926 |          2.314 |          1.995 |          7.418 |          0.938 |          0.062 |    +201.53%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           3 |          5.945 |          6.011 |          6.092 |          6.012 |          0.476 |          0.465 |          0.002 |
             strcpy (LI-PaRAD) |           3 |          2.308 |          2.311 |          2.319 |          2.312 |          0.079 |          1.209 |          0.001 |    +160.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           4 |          5.962 |          6.022 |          6.059 |          6.016 |          0.403 |          0.619 |          0.003 |
             strcpy (LI-PaRAD) |           4 |          2.308 |          2.311 |          2.316 |          2.312 |          0.076 |          1.612 |          0.001 |    +160.28%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           5 |          5.952 |          6.010 |          6.066 |          6.010 |          0.429 |          0.775 |          0.003 |
             strcpy (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.315 |          2.311 |          0.061 |          2.015 |          0.001 |    +160.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           6 |          5.942 |          6.022 |          6.082 |          6.017 |          0.441 |          0.929 |          0.004 |
             strcpy (LI-PaRAD) |           6 |          2.308 |          2.311 |          2.316 |          2.311 |          0.071 |          2.418 |          0.002 |    +160.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           7 |          5.946 |          6.015 |          6.074 |          6.012 |          0.445 |          1.084 |          0.005 |
             strcpy (LI-PaRAD) |           7 |          2.310 |          2.311 |          2.316 |          2.311 |          0.066 |          2.821 |          0.002 |    +160.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           8 |          5.942 |          6.022 |          6.079 |          6.016 |          0.493 |          1.238 |          0.006 |
             strcpy (LI-PaRAD) |           8 |          2.308 |          2.311 |          2.318 |          2.311 |          0.070 |          3.224 |          0.002 |    +160.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           9 |          5.956 |          6.011 |          6.090 |          6.012 |          0.428 |          1.394 |          0.006 |
             strcpy (LI-PaRAD) |           9 |          2.308 |          2.311 |          2.317 |          2.311 |          0.069 |          3.626 |          0.003 |    +160.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          10 |          5.932 |          6.018 |          6.084 |          6.019 |          0.515 |          1.547 |          0.008 |
             strcpy (LI-PaRAD) |          10 |          1.923 |          2.310 |          2.316 |          2.138 |          8.966 |          4.391 |          0.401 |    +181.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          11 |          5.938 |          6.015 |          6.081 |          6.011 |          0.528 |          1.704 |          0.009 |
             strcpy (LI-PaRAD) |          11 |          2.308 |          2.311 |          2.316 |          2.311 |          0.074 |          4.432 |          0.003 |    +160.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          12 |          5.953 |          6.011 |          6.088 |          6.012 |          0.487 |          1.859 |          0.009 |
             strcpy (LI-PaRAD) |          12 |          2.308 |          2.311 |          2.317 |          2.312 |          0.082 |          4.835 |          0.004 |    +160.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          13 |          5.942 |          6.018 |          6.068 |          6.016 |          0.391 |          2.012 |          0.008 |
             strcpy (LI-PaRAD) |          13 |          2.308 |          2.311 |          2.316 |          2.311 |          0.076 |          5.238 |          0.004 |    +160.27%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          14 |          5.942 |          6.012 |          6.078 |          6.009 |          0.513 |          2.170 |          0.011 |
             strcpy (LI-PaRAD) |          14 |          2.308 |          2.311 |          2.316 |          2.311 |          0.072 |          5.641 |          0.004 |    +159.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          15 |          5.938 |          6.017 |          6.093 |          6.016 |          0.487 |          2.322 |          0.011 |
             strcpy (LI-PaRAD) |          15 |          2.308 |          2.311 |          2.316 |          2.311 |          0.076 |          6.044 |          0.005 |    +160.25%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          16 |          5.950 |          6.011 |          6.099 |          6.009 |          0.435 |          2.480 |          0.011 |
             strcpy (LI-PaRAD) |          16 |          2.309 |          2.311 |          2.316 |          2.311 |          0.064 |          6.447 |          0.004 |    +159.99%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          17 |          5.934 |          6.016 |          6.078 |          6.014 |          0.504 |          2.632 |          0.013 |
             strcpy (LI-PaRAD) |          17 |          2.310 |          2.311 |          2.318 |          2.311 |          0.074 |          6.849 |          0.005 |    +160.20%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          18 |          5.942 |          6.025 |          6.067 |          6.018 |          0.410 |          2.785 |          0.011 |
             strcpy (LI-PaRAD) |          18 |          2.308 |          2.311 |          2.331 |          2.311 |          0.106 |          7.252 |          0.008 |    +160.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          19 |          5.954 |          6.025 |          6.056 |          6.022 |          0.377 |          2.939 |          0.011 |
             strcpy (LI-PaRAD) |          19 |          2.308 |          2.311 |          2.316 |          2.311 |          0.071 |          7.656 |          0.005 |    +160.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          20 |          5.951 |          6.013 |          6.071 |          6.016 |          0.415 |          3.096 |          0.013 |
             strcpy (LI-PaRAD) |          20 |          2.308 |          2.311 |          2.316 |          2.311 |          0.068 |          8.059 |          0.006 |    +160.26%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          21 |          5.936 |          6.014 |          6.092 |          6.011 |          0.521 |          3.253 |          0.017 |
             strcpy (LI-PaRAD) |          21 |          2.310 |          2.311 |          2.316 |          2.311 |          0.059 |          8.462 |          0.005 |    +160.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          22 |          5.945 |          6.011 |          6.078 |          6.011 |          0.464 |          3.409 |          0.016 |
             strcpy (LI-PaRAD) |          22 |          1.923 |          2.310 |          2.316 |          2.146 |          8.893 |          9.627 |          0.878 |    +180.15%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          23 |          5.959 |          6.013 |          6.066 |          6.011 |          0.426 |          3.564 |          0.015 |
             strcpy (LI-PaRAD) |          23 |          2.310 |          2.311 |          2.315 |          2.311 |          0.063 |          9.268 |          0.006 |    +160.07%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          24 |          5.951 |          6.016 |          6.083 |          6.014 |          0.501 |          3.717 |          0.019 |
             strcpy (LI-PaRAD) |          24 |          2.310 |          2.311 |          2.316 |          2.311 |          0.070 |          9.670 |          0.007 |    +160.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          25 |          5.953 |          6.012 |          6.068 |          6.012 |          0.454 |          3.873 |          0.018 |
             strcpy (LI-PaRAD) |          25 |          2.308 |          2.311 |          2.317 |          2.312 |          0.078 |         10.073 |          0.008 |    +160.07%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          26 |          5.959 |          6.002 |          6.069 |          6.005 |          0.401 |          4.033 |          0.016 |
             strcpy (LI-PaRAD) |          26 |          2.308 |          2.311 |          2.316 |          2.311 |          0.071 |         10.477 |          0.007 |    +159.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          27 |          5.950 |          6.016 |          6.090 |          6.017 |          0.489 |          4.179 |          0.020 |
             strcpy (LI-PaRAD) |          27 |          2.308 |          2.311 |          2.316 |          2.311 |          0.070 |         10.879 |          0.008 |    +160.32%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          28 |          5.943 |          6.003 |          6.060 |          6.005 |          0.433 |          4.343 |          0.019 |
             strcpy (LI-PaRAD) |          28 |          2.308 |          2.311 |          2.315 |          2.311 |          0.074 |         11.282 |          0.008 |    +159.81%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          29 |          5.948 |          6.014 |          6.076 |          6.011 |          0.540 |          4.493 |          0.024 |
             strcpy (LI-PaRAD) |          29 |          1.923 |          1.928 |          2.315 |          2.071 |          9.043 |         13.140 |          1.136 |    +190.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          30 |          5.938 |          6.029 |          6.088 |          6.027 |          0.442 |          4.636 |          0.021 |
             strcpy (LI-PaRAD) |          30 |          1.923 |          2.311 |          2.316 |          2.253 |          6.123 |         12.455 |          0.865 |    +167.53%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          31 |          5.938 |          6.014 |          6.066 |          6.011 |          0.494 |          4.803 |          0.024 |
