        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           1 |          2.047 |          2.061 |          2.075 |          2.062 |          0.205 |          0.452 |          0.001 |
             strcpy (LI-PaRAD) |           1 |          2.308 |          2.311 |          2.315 |          2.311 |          0.062 |          0.403 |          0.000 |     -10.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           2 |          3.079 |          3.082 |          3.086 |          3.082 |          0.059 |          0.604 |          0.000 |
             strcpy (LI-PaRAD) |           2 |          2.308 |          2.311 |          2.315 |          2.311 |          0.067 |          0.806 |          0.001 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           3 |          3.079 |          3.082 |          3.085 |          3.082 |          0.060 |          0.907 |          0.001 |
             strcpy (LI-PaRAD) |           3 |          2.308 |          2.311 |          2.316 |          2.311 |          0.073 |          1.209 |          0.001 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           4 |          3.079 |          3.082 |          3.085 |          3.082 |          0.058 |          1.209 |          0.001 |
             strcpy (LI-PaRAD) |           4 |          2.308 |          2.311 |          2.318 |          2.311 |          0.077 |          1.612 |          0.001 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           5 |          3.079 |          3.082 |          3.085 |          3.082 |          0.061 |          1.511 |          0.001 |
             strcpy (LI-PaRAD) |           5 |          2.308 |          2.311 |          2.315 |          2.311 |          0.070 |          2.015 |          0.001 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           6 |          3.079 |          3.082 |          3.086 |          3.082 |          0.059 |          1.813 |          0.001 |
             strcpy (LI-PaRAD) |           6 |          2.308 |          2.311 |          2.316 |          2.311 |          0.066 |          2.418 |          0.002 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           7 |          3.079 |          3.082 |          3.085 |          3.082 |          0.060 |          2.115 |          0.001 |
             strcpy (LI-PaRAD) |           7 |          2.308 |          2.311 |          2.316 |          2.311 |          0.069 |          2.821 |          0.002 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           8 |          2.695 |          2.696 |          2.700 |          2.697 |          0.068 |          2.763 |          0.002 |
             strcpy (LI-PaRAD) |           8 |          2.308 |          2.311 |          2.316 |          2.311 |          0.071 |          3.223 |          0.002 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           9 |          2.695 |          2.697 |          2.700 |          2.697 |          0.069 |          3.108 |          0.002 |
             strcpy (LI-PaRAD) |           9 |          2.308 |          2.311 |          2.315 |          2.311 |          0.068 |          3.626 |          0.002 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          10 |          2.695 |          2.697 |          2.712 |          2.697 |          0.086 |          3.454 |          0.003 |
             strcpy (LI-PaRAD) |          10 |          2.308 |          2.311 |          2.316 |          2.311 |          0.073 |          4.029 |          0.003 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          11 |          2.695 |          2.697 |          2.701 |          2.697 |          0.065 |          3.799 |          0.002 |
             strcpy (LI-PaRAD) |          11 |          2.308 |          2.311 |          2.316 |          2.311 |          0.068 |          4.432 |          0.003 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          12 |          2.695 |          2.696 |          2.700 |          2.697 |          0.065 |          4.145 |          0.003 |
             strcpy (LI-PaRAD) |          12 |          2.308 |          2.311 |          2.318 |          2.311 |          0.073 |          4.835 |          0.004 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          13 |          2.695 |          2.696 |          2.701 |          2.697 |          0.070 |          4.490 |          0.003 |
             strcpy (LI-PaRAD) |          13 |          2.308 |          2.311 |          2.316 |          2.311 |          0.071 |          5.238 |          0.004 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          14 |          2.695 |          2.696 |          2.701 |          2.697 |          0.064 |          4.835 |          0.003 |
             strcpy (LI-PaRAD) |          14 |          2.308 |          2.311 |          2.315 |          2.311 |          0.063 |          5.641 |          0.004 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          15 |          2.694 |          2.696 |          2.724 |          2.697 |          0.115 |          5.180 |          0.006 |
             strcpy (LI-PaRAD) |          15 |          2.308 |          2.311 |          2.318 |          2.311 |          0.074 |          6.044 |          0.004 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          16 |          2.695 |          2.696 |          2.701 |          2.697 |          0.068 |          5.526 |          0.004 |
             strcpy (LI-PaRAD) |          16 |          2.308 |          2.311 |          2.315 |          2.311 |          0.068 |          6.447 |          0.004 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          17 |          2.695 |          2.695 |          2.701 |          2.697 |          0.069 |          5.871 |          0.004 |
             strcpy (LI-PaRAD) |          17 |          2.308 |          2.311 |          2.316 |          2.311 |          0.070 |          6.850 |          0.005 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          18 |          2.695 |          2.697 |          2.708 |          2.697 |          0.077 |          6.216 |          0.005 |
             strcpy (LI-PaRAD) |          18 |          2.308 |          2.311 |          2.316 |          2.311 |          0.071 |          7.253 |          0.005 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          19 |          2.695 |          2.697 |          2.700 |          2.697 |          0.062 |          6.562 |          0.004 |
             strcpy (LI-PaRAD) |          19 |          2.308 |          2.311 |          2.316 |          2.311 |          0.072 |          7.656 |          0.005 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          20 |          2.694 |          2.697 |          2.705 |          2.697 |          0.073 |          6.907 |          0.005 |
             strcpy (LI-PaRAD) |          20 |          2.308 |          2.311 |          2.316 |          2.311 |          0.072 |          8.059 |          0.006 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          21 |          2.694 |          2.695 |          2.700 |          2.697 |          0.066 |          7.253 |          0.005 |
             strcpy (LI-PaRAD) |          21 |          2.308 |          2.311 |          2.315 |          2.311 |          0.067 |          8.462 |          0.006 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          22 |          2.695 |          2.695 |          2.701 |          2.697 |          0.067 |          7.598 |          0.005 |
             strcpy (LI-PaRAD) |          22 |          2.308 |          2.311 |          2.315 |          2.311 |          0.067 |          8.865 |          0.006 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          23 |          2.695 |          2.697 |          2.700 |          2.697 |          0.062 |          7.944 |          0.005 |
             strcpy (LI-PaRAD) |          23 |          2.308 |          2.311 |          2.315 |          2.311 |          0.069 |          9.267 |          0.006 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          24 |          2.694 |          2.697 |          2.700 |          2.697 |          0.062 |          8.289 |          0.005 |
             strcpy (LI-PaRAD) |          24 |          2.308 |          2.311 |          2.321 |          2.312 |          0.085 |          9.670 |          0.008 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          25 |          2.695 |          2.696 |          2.700 |          2.697 |          0.068 |          8.634 |          0.006 |
             strcpy (LI-PaRAD) |          25 |          2.308 |          2.311 |          2.315 |          2.311 |          0.065 |         10.074 |          0.007 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          26 |          2.694 |          2.696 |          2.700 |          2.696 |          0.063 |          8.980 |          0.006 |
             strcpy (LI-PaRAD) |          26 |          2.308 |          2.311 |          2.317 |          2.311 |          0.071 |         10.476 |          0.007 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          27 |          2.695 |          2.697 |          2.702 |          2.697 |          0.067 |          9.325 |          0.006 |
             strcpy (LI-PaRAD) |          27 |          2.308 |          2.311 |          2.315 |          2.311 |          0.067 |         10.879 |          0.007 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          28 |          2.695 |          2.697 |          2.701 |          2.697 |          0.063 |          9.670 |          0.006 |
             strcpy (LI-PaRAD) |          28 |          2.308 |          2.311 |          2.317 |          2.311 |          0.075 |         11.282 |          0.008 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          29 |          2.695 |          2.697 |          2.700 |          2.697 |          0.065 |         10.016 |          0.007 |
             strcpy (LI-PaRAD) |          29 |          2.308 |          2.311 |          2.324 |          2.311 |          0.089 |         11.684 |          0.010 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          30 |          2.695 |          2.696 |          2.701 |          2.697 |          0.068 |         10.361 |          0.007 |
             strcpy (LI-PaRAD) |          30 |          2.308 |          2.311 |          2.316 |          2.311 |          0.079 |         12.087 |          0.010 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          31 |          2.695 |          2.696 |          2.724 |          2.697 |          0.121 |         10.705 |          0.013 |
             strcpy (LI-PaRAD) |          31 |          2.308 |          2.311 |          2.316 |          2.311 |          0.070 |         12.491 |          0.009 |     +16.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          32 |          3.464 |          3.467 |          3.470 |          3.467 |          0.047 |          8.596 |          0.004 |
             strcpy (LI-PaRAD) |          32 |          2.783 |          3.467 |          3.471 |          3.406 |          5.061 |          8.777 |          0.518 |      +1.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          33 |          3.464 |          3.467 |          3.469 |          3.467 |          0.047 |          8.865 |          0.004 |
             strcpy (LI-PaRAD) |          33 |          3.009 |          3.467 |          3.470 |          3.423 |          3.433 |          8.990 |          0.342 |      +1.28%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          34 |          3.464 |          3.467 |          3.470 |          3.467 |          0.049 |          9.133 |          0.004 |
             strcpy (LI-PaRAD) |          34 |          2.785 |          3.467 |          3.469 |          3.377 |          5.530 |          9.409 |          0.587 |      +2.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          35 |          3.464 |          3.467 |          3.473 |          3.467 |          0.051 |          9.402 |          0.005 |
             strcpy (LI-PaRAD) |          35 |          2.932 |          3.467 |          3.473 |          3.453 |          2.207 |          9.446 |          0.238 |      +0.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          36 |          3.464 |          3.467 |          3.470 |          3.467 |          0.045 |          9.670 |          0.004 |
             strcpy (LI-PaRAD) |          36 |          2.931 |          3.467 |          3.475 |          3.432 |          3.427 |          9.783 |          0.379 |      +1.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          37 |          3.464 |          3.467 |          3.471 |          3.467 |          0.048 |          9.939 |          0.005 |
             strcpy (LI-PaRAD) |          37 |          2.912 |          3.467 |          3.469 |          3.436 |          3.358 |         10.042 |          0.384 |      +0.91%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          38 |          3.464 |          3.467 |          3.470 |          3.467 |          0.048 |         10.208 |          0.005 |
             strcpy (LI-PaRAD) |          38 |          2.785 |          3.467 |          3.470 |          3.406 |          4.553 |         10.415 |          0.544 |      +1.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          39 |          3.464 |          3.467 |          3.470 |          3.467 |          0.049 |         10.476 |          0.005 |
             strcpy (LI-PaRAD) |          39 |          2.783 |          3.467 |          3.469 |          3.416 |          4.426 |         10.656 |          0.549 |      +1.48%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          40 |          3.464 |          3.467 |          3.470 |          3.467 |          0.049 |         10.745 |          0.005 |
             strcpy (LI-PaRAD) |          40 |          2.786 |          3.467 |          3.469 |          3.398 |          5.142 |         10.998 |          0.650 |      +2.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          41 |          3.464 |          3.467 |          3.469 |          3.467 |          0.047 |         11.014 |          0.005 |
             strcpy (LI-PaRAD) |          41 |          2.728 |          3.465 |          3.469 |          3.385 |          5.455 |         11.317 |          0.712 |      +2.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          42 |          3.463 |          3.467 |          3.470 |          3.467 |          0.048 |         11.282 |          0.005 |
             strcpy (LI-PaRAD) |          42 |          2.791 |          3.467 |          3.496 |          3.404 |          4.848 |         11.523 |          0.639 |      +1.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          43 |          3.464 |          3.467 |          3.469 |          3.467 |          0.045 |         11.551 |          0.005 |
             strcpy (LI-PaRAD) |          43 |          2.781 |          3.467 |          3.475 |          3.385 |          5.468 |         11.871 |          0.741 |      +2.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          44 |          3.464 |          3.467 |          3.471 |          3.467 |          0.049 |         11.819 |          0.006 |
             strcpy (LI-PaRAD) |          44 |          2.765 |          3.467 |          3.469 |          3.355 |          6.539 |         12.273 |          0.906 |      +3.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          45 |          3.464 |          3.467 |          3.474 |          3.467 |          0.051 |         12.088 |          0.006 |
             strcpy (LI-PaRAD) |          45 |          2.788 |          3.467 |          3.469 |          3.405 |          4.443 |         12.334 |          0.622 |      +1.81%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          46 |          3.464 |          3.467 |          3.470 |          3.467 |          0.047 |         12.357 |          0.006 |
             strcpy (LI-PaRAD) |          46 |          2.785 |          3.467 |          3.476 |          3.440 |          2.989 |         12.468 |          0.431 |      +0.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          47 |          3.464 |          3.467 |          3.473 |          3.467 |          0.051 |         12.625 |          0.006 |
             strcpy (LI-PaRAD) |          47 |          2.783 |          3.467 |          3.470 |          3.397 |          5.077 |         12.924 |          0.754 |      +2.07%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          48 |          3.854 |          3.865 |          3.871 |          3.864 |          0.082 |         11.568 |          0.009 |
             strcpy (LI-PaRAD) |          48 |          2.866 |          3.467 |          3.469 |          3.454 |          2.201 |         12.950 |          0.334 |     +11.88%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          49 |          3.856 |          3.864 |          3.871 |          3.864 |          0.078 |         11.810 |          0.009 |
             strcpy (LI-PaRAD) |          49 |          2.787 |          3.467 |          3.469 |          3.438 |          3.536 |         13.292 |          0.558 |     +12.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          50 |          3.855 |          3.865 |          3.871 |          3.864 |          0.087 |         12.051 |          0.010 |
             strcpy (LI-PaRAD) |          50 |          2.891 |          3.467 |          3.469 |          3.459 |          1.753 |         13.467 |          0.278 |     +11.71%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          51 |          3.839 |          3.848 |          3.854 |          3.848 |          0.082 |         12.343 |          0.010 |
             strcpy (LI-PaRAD) |          51 |          2.754 |          3.464 |          3.469 |          3.283 |          7.546 |         14.556 |          1.193 |     +17.21%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          52 |          3.856 |          3.864 |          3.872 |          3.864 |          0.083 |         12.534 |          0.010 |
             strcpy (LI-PaRAD) |          52 |          3.017 |          3.467 |          3.472 |          3.456 |          1.833 |         14.019 |          0.288 |     +11.80%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          53 |          3.854 |          3.864 |          3.872 |          3.863 |          0.091 |         12.776 |          0.012 |
             strcpy (LI-PaRAD) |          53 |          3.011 |          3.467 |          3.469 |          3.457 |          1.724 |         14.283 |          0.279 |     +11.76%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          54 |          3.855 |          3.864 |          3.894 |          3.864 |          0.114 |         13.016 |          0.015 |
             strcpy (LI-PaRAD) |          54 |          2.819 |          3.466 |          3.474 |          3.452 |          2.420 |         14.578 |          0.416 |     +11.93%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          55 |          3.838 |          3.848 |          3.854 |          3.848 |          0.092 |         13.312 |          0.012 |
             strcpy (LI-PaRAD) |          55 |          2.783 |          3.466 |          3.471 |          3.364 |          6.146 |         15.291 |          1.073 |     +14.38%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          56 |          3.855 |          3.863 |          3.870 |          3.863 |          0.087 |         13.501 |          0.012 |
             strcpy (LI-PaRAD) |          56 |          2.726 |          3.270 |          3.469 |          3.240 |          7.257 |         16.183 |          1.226 |     +19.22%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          57 |          3.853 |          3.863 |          3.869 |          3.862 |          0.074 |         13.745 |          0.010 |
             strcpy (LI-PaRAD) |          57 |          2.784 |          3.467 |          3.470 |          3.408 |          4.438 |         15.612 |          0.792 |     +13.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |          58 |          3.855 |          3.864 |          3.871 |          3.863 |          0.088 |         13.983 |          0.012 |
             strcpy (LI-PaRAD) |          58 |          2.785 |          3.467 |          3.480 |          3.375 |          5.729 |         16.063 |          1.041 |     +14.45%
