ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcpy (LI-PaRAD)|1|1.923|1.927|17.939|3.775|132.806|0.428|0.139
strcpy (Arm OR 23.01)|1|5.943|6.037|30.03|12.112|65.507|0.112|0.055
strcpy (GNU libc 2.39)|1|2.053|2.062|18.085|4.098|130.051|0.4|0.134
strcpy (LI-PaRAD)|2|1.923|1.927|18.199|3.846|135.372|0.858|0.28
strcpy (Arm OR 23.01)|2|5.927|6.035|30.009|12.11|65.474|0.225|0.11
strcpy (GNU libc 2.39)|2|2.05|2.061|30.075|4.202|136.477|0.8|0.27
strcpy (LI-PaRAD)|3|1.923|1.927|17.946|3.99|134.948|1.281|0.435
strcpy (Arm OR 23.01)|3|5.956|6.039|22.084|11.998|64.556|0.338|0.164
strcpy (GNU libc 2.39)|3|1.871|1.88|17.922|3.743|136.562|1.328|0.431
strcpy (LI-PaRAD)|4|1.923|1.927|18.244|3.815|134.001|1.71|0.558
strcpy (Arm OR 23.01)|4|5.934|6.04|22.051|11.994|64.57|0.45|0.219
strcpy (GNU libc 2.39)|4|1.869|1.881|17.895|3.623|138.293|1.788|0.555
strcpy (LI-PaRAD)|5|1.923|1.927|17.958|3.991|134.965|2.136|0.726
strcpy (Arm OR 23.01)|5|5.952|6.039|22.07|12.037|64.699|0.562|0.274
strcpy (GNU libc 2.39)|5|1.869|1.881|17.971|3.823|135.875|2.176|0.726
strcpy (LI-PaRAD)|6|1.923|1.927|17.972|3.729|134.289|2.575|0.825
strcpy (Arm OR 23.01)|6|5.93|6.039|22.058|12.033|64.706|0.675|0.329
strcpy (GNU libc 2.39)|6|1.869|1.881|18.33|3.804|137.083|2.637|0.867
strcpy (LI-PaRAD)|7|1.923|1.927|18.234|3.854|135.046|2.991|0.979
strcpy (Arm OR 23.01)|7|5.952|6.042|22.058|12.151|64.041|0.78|0.384
strcpy (GNU libc 2.39)|7|1.869|1.881|18.262|3.81|136.719|3.068|1.014
strcpy (LI-PaRAD)|8|1.923|1.927|18.289|3.839|135.734|3.444|1.122
strcpy (Arm OR 23.01)|8|5.937|6.048|22.042|12.034|64.683|0.9|0.438
strcpy (GNU libc 2.39)|8|1.806|1.824|18.273|3.612|138.778|3.626|1.164
strcpy (LI-PaRAD)|9|1.923|1.927|18.128|3.853|135.02|3.846|1.259
strcpy (Arm OR 23.01)|9|5.926|6.047|22.068|12.196|64.17|1.002|0.495
strcpy (GNU libc 2.39)|9|1.805|1.825|17.965|3.591|139.511|4.104|1.295
strcpy (LI-PaRAD)|10|1.923|1.927|18.068|3.845|135.34|4.289|1.4
strcpy (Arm OR 23.01)|10|5.951|6.047|22.066|11.956|64.403|1.126|0.545
strcpy (GNU libc 2.39)|10|1.806|1.824|17.949|3.728|137.735|4.504|1.489
strcpy (LI-PaRAD)|11|1.923|1.927|18.094|3.837|135.672|4.736|1.542
strcpy (Arm OR 23.01)|11|5.961|6.046|22.068|11.999|64.545|1.237|0.6
strcpy (GNU libc 2.39)|11|1.806|1.824|18.203|3.742|139.262|4.988|1.642
strcpy (LI-PaRAD)|12|1.923|1.927|21.928|4.029|136.788|5.133|1.746
strcpy (Arm OR 23.01)|12|5.971|6.033|30.011|12.077|65.343|1.349|0.658
strcpy (GNU libc 2.39)|12|1.806|1.824|18.116|3.726|139.937|5.483|1.793
strcpy (LI-PaRAD)|13|1.923|1.927|18.117|3.853|135.01|5.555|1.818
strcpy (Arm OR 23.01)|13|5.921|6.05|22.071|12.038|64.678|1.461|0.711
strcpy (GNU libc 2.39)|13|1.805|1.824|18.143|3.731|139.697|5.924|1.941
strcpy (LI-PaRAD)|14|1.923|1.927|18.023|3.844|135.293|6.005|1.96
strcpy (Arm OR 23.01)|14|5.938|6.045|22.066|11.958|64.605|1.577|0.763
strcpy (GNU libc 2.39)|14|1.805|1.824|18.183|3.723|139.087|6.367|2.089
strcpy (LI-PaRAD)|15|1.923|1.927|18.18|3.838|135.69|6.457|2.102
strcpy (Arm OR 23.01)|15|5.939|6.034|22.07|12.032|64.746|1.688|0.822
strcpy (GNU libc 2.39)|15|1.806|1.824|17.848|3.728|139.605|6.837|2.24
strcpy (LI-PaRAD)|16|1.923|1.926|17.946|3.99|134.941|6.833|2.322
strcpy (Arm OR 23.01)|16|5.952|6.049|22.058|12.038|64.663|1.798|0.875
strcpy (GNU libc 2.39)|16|2.288|2.3|18.584|4.681|122.394|5.637|2.025
strcpy (LI-PaRAD)|17|1.923|1.927|17.935|3.768|133.742|7.285|2.361
strcpy (Arm OR 23.01)|17|5.921|6.036|30.035|12.113|65.511|1.912|0.935
strcpy (GNU libc 2.39)|17|2.288|2.3|18.595|4.68|122.425|5.992|2.153
strcpy (LI-PaRAD)|18|1.923|1.927|18.172|3.853|135.024|7.692|2.517
strcpy (Arm OR 23.01)|18|5.966|6.043|22.055|12.193|64.188|2.005|0.991
strcpy (GNU libc 2.39)|18|2.288|2.3|18.522|4.639|121.685|6.348|2.273
strcpy (LI-PaRAD)|19|1.923|1.927|18.166|3.838|135.703|8.18|2.664
strcpy (Arm OR 23.01)|19|5.951|6.047|22.076|11.879|65.219|2.158|1.035
strcpy (GNU libc 2.39)|19|2.269|2.282|18.571|4.631|121.844|6.725|2.415
strcpy (LI-PaRAD)|20|1.923|1.927|17.98|3.991|134.969|8.542|2.903
strcpy (Arm OR 23.01)|20|5.933|6.045|22.065|12.035|64.679|2.249|1.094
strcpy (GNU libc 2.39)|20|2.288|2.301|18.585|4.666|121.41|7.011|2.519
strcpy (LI-PaRAD)|21|1.923|1.927|18.257|3.854|135.039|8.973|2.937
strcpy (Arm OR 23.01)|21|5.92|6.043|22.073|12.034|64.775|2.364|1.152
strcpy (GNU libc 2.39)|21|2.287|2.302|18.332|4.519|122.989|7.471|2.581
strcpy (LI-PaRAD)|22|1.923|1.927|18.144|3.846|135.351|9.436|3.08
strcpy (Arm OR 23.01)|22|5.934|6.041|22.057|12.037|64.694|2.474|1.204
strcpy (GNU libc 2.39)|22|2.286|2.3|18.326|4.491|122.406|7.832|2.701
strcpy (LI-PaRAD)|23|1.923|1.927|18.191|3.838|135.703|9.902|3.224
strcpy (Arm OR 23.01)|23|5.943|6.037|22.045|12.036|64.693|2.586|1.259
strcpy (GNU libc 2.39)|23|2.269|2.282|18.352|4.62|122.159|8.176|2.931
strcpy (LI-PaRAD)|24|1.923|1.927|18.033|3.952|134.054|10.251|3.473
