        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |           1 |          6.158 |          6.163 |          6.183 |          6.164 |          0.047 |          0.151 |          0.000 |
             strlen (LI-PaRAD) |           1 |          2.310 |          2.311 |          2.316 |          2.311 |          0.067 |          0.403 |          0.000 |    +166.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |           2 |          6.159 |          6.164 |          6.170 |          6.164 |          0.030 |          0.302 |          0.000 |
             strlen (LI-PaRAD) |           2 |          2.308 |          2.311 |          2.316 |          2.311 |          0.074 |          0.806 |          0.001 |    +166.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |           3 |          6.159 |          6.164 |          6.167 |          6.164 |          0.027 |          0.453 |          0.000 |
             strlen (LI-PaRAD) |           3 |          2.308 |          2.311 |          2.338 |          2.312 |          0.138 |          1.209 |          0.002 |    +166.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |           4 |          6.159 |          6.164 |          6.169 |          6.164 |          0.031 |          0.604 |          0.000 |
             strlen (LI-PaRAD) |           4 |          2.308 |          2.311 |          2.316 |          2.311 |          0.074 |          1.612 |          0.001 |    +166.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |           5 |          6.159 |          6.164 |          6.183 |          6.164 |          0.047 |          0.755 |          0.000 |
             strlen (LI-PaRAD) |           5 |          2.308 |          2.311 |          2.315 |          2.311 |          0.070 |          2.015 |          0.001 |    +166.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strlen (Arm OR 23.01) |           6 |          6.159 |          6.163 |          6.172 |          6.164 |          0.033 |          0.907 |          0.000 |
             strlen (LI-PaRAD) |           6 |          2.308 |          2.311 |          2.315 |          2.311 |          0.068 |          2.418 |          0.002 |    +166.67%
