        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strlen (Arm OR 23.01) |           1 |          6.039 |          6.180 |          6.548 |          6.176 |          1.867 |          0.151 |          0.003 |
             strlen (LI-PaRAD) |           1 |          2.309 |          2.311 |          2.316 |          2.311 |          0.077 |          0.403 |          0.000 |    +167.17%
         strlen (Arm OR 23.01) |           2 |          6.043 |          6.182 |          6.413 |          6.175 |          1.669 |          0.302 |          0.005 |
             strlen (LI-PaRAD) |           2 |          2.310 |          2.311 |          2.319 |          2.311 |          0.081 |          0.806 |          0.001 |    +167.14%
         strlen (Arm OR 23.01) |           3 |          6.051 |          6.132 |          6.466 |          6.162 |          1.803 |          0.454 |          0.008 |
             strlen (LI-PaRAD) |           3 |          2.310 |          2.311 |          2.317 |          2.311 |          0.079 |          1.209 |          0.001 |    +166.56%
         strlen (Arm OR 23.01) |           4 |          6.046 |          6.190 |          6.415 |          6.171 |          1.565 |          0.604 |          0.009 |
             strlen (LI-PaRAD) |           4 |          2.310 |          2.311 |          2.317 |          2.311 |          0.066 |          1.612 |          0.001 |    +167.00%
         strlen (Arm OR 23.01) |           5 |          6.044 |          6.155 |          6.550 |          6.165 |          1.794 |          0.756 |          0.013 |
             strlen (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.316 |          2.312 |          0.072 |          2.015 |          0.001 |    +166.70%
         strlen (Arm OR 23.01) |           6 |          6.050 |          6.192 |          6.441 |          6.184 |          1.889 |          0.904 |          0.017 |
             strlen (LI-PaRAD) |           6 |          2.310 |          2.311 |          2.316 |          2.311 |          0.071 |          2.418 |          0.002 |    +167.53%
         strlen (Arm OR 23.01) |           7 |          6.046 |          6.191 |          6.548 |          6.184 |          1.770 |          1.055 |          0.018 |
             strlen (LI-PaRAD) |           7 |          2.310 |          2.311 |          2.316 |          2.311 |          0.070 |          2.821 |          0.002 |    +167.55%
         strlen (Arm OR 23.01) |           8 |          6.045 |          6.191 |          6.488 |          6.188 |          1.752 |          1.204 |          0.021 |
             strlen (LI-PaRAD) |           8 |          2.310 |          2.311 |          2.316 |          2.311 |          0.071 |          3.223 |          0.002 |    +167.71%
         strlen (Arm OR 23.01) |           9 |          6.056 |          6.191 |          6.474 |          6.178 |          1.664 |          1.357 |          0.022 |
             strlen (LI-PaRAD) |           9 |          2.310 |          2.311 |          2.321 |          2.311 |          0.081 |          3.626 |          0.003 |    +167.29%
         strlen (Arm OR 23.01) |          10 |          6.039 |          6.187 |          6.489 |          6.174 |          1.698 |          1.509 |          0.025 |
             strlen (LI-PaRAD) |          10 |          2.310 |          2.311 |          2.316 |          2.311 |          0.071 |          4.029 |          0.003 |    +167.13%
         strlen (Arm OR 23.01) |          11 |          6.047 |          6.185 |          6.548 |          6.178 |          1.772 |          1.659 |          0.029 |
             strlen (LI-PaRAD) |          11 |          2.310 |          2.311 |          2.317 |          2.311 |          0.075 |          4.432 |          0.003 |    +167.29%
         strlen (Arm OR 23.01) |          12 |          6.047 |          6.144 |          6.512 |          6.152 |          1.610 |          1.817 |          0.029 |
             strlen (LI-PaRAD) |          12 |          2.310 |          2.311 |          2.316 |          2.311 |          0.071 |          4.835 |          0.003 |    +166.18%
         strlen (Arm OR 23.01) |          13 |          6.045 |          6.193 |          6.551 |          6.197 |          1.942 |          1.954 |          0.038 |
             strlen (LI-PaRAD) |          13 |          2.310 |          2.311 |          2.316 |          2.311 |          0.073 |          5.238 |          0.004 |    +168.13%
         strlen (Arm OR 23.01) |          14 |          6.045 |          6.190 |          6.546 |          6.190 |          1.932 |          2.107 |          0.040 |
             strlen (LI-PaRAD) |          14 |          2.310 |          2.311 |          2.316 |          2.311 |          0.070 |          5.641 |          0.004 |    +167.79%
         strlen (Arm OR 23.01) |          15 |          6.045 |          6.183 |          6.511 |          6.177 |          1.766 |          2.262 |          0.039 |
             strlen (LI-PaRAD) |          15 |          2.310 |          2.311 |          2.315 |          2.311 |          0.067 |          6.044 |          0.004 |    +167.24%
         strlen (Arm OR 23.01) |          16 |          6.046 |          6.139 |          6.534 |          6.167 |          1.864 |          2.417 |          0.044 |
             strlen (LI-PaRAD) |          16 |          2.310 |          2.311 |          2.316 |          2.311 |          0.071 |          6.447 |          0.005 |    +166.80%
         strlen (Arm OR 23.01) |          17 |          6.047 |          6.182 |          6.548 |          6.181 |          1.959 |          2.562 |          0.050 |
             strlen (LI-PaRAD) |          17 |          2.310 |          2.311 |          2.316 |          2.311 |          0.071 |          6.850 |          0.005 |    +167.43%
         strlen (Arm OR 23.01) |          18 |          6.044 |          6.176 |          6.431 |          6.173 |          1.757 |          2.717 |          0.047 |
             strlen (LI-PaRAD) |          18 |          2.310 |          2.311 |          2.317 |          2.311 |          0.072 |          7.253 |          0.005 |    +167.06%
         strlen (Arm OR 23.01) |          19 |          6.053 |          6.193 |          6.549 |          6.202 |          1.871 |          2.854 |          0.053 |
             strlen (LI-PaRAD) |          19 |          2.310 |          2.311 |          2.316 |          2.311 |          0.074 |          7.656 |          0.006 |    +168.31%
         strlen (Arm OR 23.01) |          20 |          6.054 |          6.190 |          6.533 |          6.193 |          1.746 |          3.009 |          0.052 |
             strlen (LI-PaRAD) |          20 |          2.310 |          2.311 |          2.316 |          2.311 |          0.068 |          8.059 |          0.006 |    +167.92%
         strlen (Arm OR 23.01) |          21 |          6.049 |          6.150 |          6.410 |          6.157 |          1.553 |          3.177 |          0.049 |
             strlen (LI-PaRAD) |          21 |          2.310 |          2.311 |          2.317 |          2.311 |          0.079 |          8.461 |          0.007 |    +166.37%
         strlen (Arm OR 23.01) |          22 |          6.045 |          6.133 |          6.515 |          6.165 |          1.777 |          3.325 |          0.058 |
             strlen (LI-PaRAD) |          22 |          2.308 |          2.311 |          2.317 |          2.311 |          0.077 |          8.864 |          0.007 |    +166.71%
         strlen (Arm OR 23.01) |          23 |          6.052 |          6.216 |          6.414 |          6.187 |          1.713 |          3.463 |          0.059 |
             strlen (LI-PaRAD) |          23 |          2.310 |          2.311 |          2.316 |          2.311 |          0.071 |          9.267 |          0.007 |    +167.67%
         strlen (Arm OR 23.01) |          24 |          6.054 |          6.170 |          6.514 |          6.169 |          1.787 |          3.624 |          0.064 |
             strlen (LI-PaRAD) |          24 |          2.310 |          2.311 |          2.316 |          2.311 |          0.069 |          9.670 |          0.007 |    +166.90%
         strlen (Arm OR 23.01) |          25 |          6.053 |          6.195 |          6.415 |          6.198 |          1.612 |          3.758 |          0.060 |
             strlen (LI-PaRAD) |          25 |          2.310 |          2.311 |          2.316 |          2.311 |          0.071 |         10.073 |          0.007 |    +168.15%
         strlen (Arm OR 23.01) |          26 |          6.043 |          6.188 |          6.546 |          6.178 |          1.862 |          3.921 |          0.072 |
             strlen (LI-PaRAD) |          26 |          2.310 |          2.311 |          2.317 |          2.311 |          0.073 |         10.476 |          0.008 |    +167.28%
         strlen (Arm OR 23.01) |          27 |          6.041 |          6.192 |          6.522 |          6.192 |          1.902 |          4.063 |          0.076 |
             strlen (LI-PaRAD) |          27 |          2.310 |          2.311 |          2.316 |          2.311 |          0.074 |         10.879 |          0.008 |    +167.87%
         strlen (Arm OR 23.01) |          28 |          6.046 |          6.190 |          6.527 |          6.189 |          1.796 |          4.215 |          0.075 |
             strlen (LI-PaRAD) |          28 |          2.308 |          2.311 |          2.316 |          2.311 |          0.075 |         11.282 |          0.008 |    +167.77%
         strlen (Arm OR 23.01) |          29 |          6.052 |          6.191 |          6.547 |          6.189 |          1.656 |          4.365 |          0.071 |
             strlen (LI-PaRAD) |          29 |          2.310 |          2.311 |          2.315 |          2.311 |          0.070 |         11.685 |          0.008 |    +167.77%
         strlen (Arm OR 23.01) |          30 |          6.054 |          6.188 |          6.530 |          6.191 |          1.988 |          4.515 |          0.089 |
             strlen (LI-PaRAD) |          30 |          2.310 |          2.311 |          2.316 |          2.311 |          0.071 |         12.088 |          0.009 |    +167.84%
         strlen (Arm OR 23.01) |          31 |          6.053 |          6.191 |          6.451 |          6.192 |          1.729 |          4.664 |          0.080 |
             strlen (LI-PaRAD) |          31 |          2.310 |          2.311 |          2.316 |          2.311 |          0.074 |         12.491 |          0.009 |    +167.91%
         strlen (Arm OR 23.01) |          32 |          7.933 |          8.012 |          8.058 |          8.008 |          0.382 |          3.722 |          0.014 |
