        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           1 |          2.161 |          2.202 |          2.219 |          2.197 |          0.589 |          0.424 |          0.003 |
             strlen (LI-PaRAD) |           1 |          2.308 |          2.311 |          2.316 |          2.311 |          0.070 |          0.403 |          0.000 |      -4.93%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           2 |          2.694 |          2.696 |          2.702 |          2.696 |          0.063 |          0.691 |          0.000 |
             strlen (LI-PaRAD) |           2 |          2.308 |          2.311 |          2.316 |          2.311 |          0.072 |          0.806 |          0.001 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           3 |          2.694 |          2.696 |          2.701 |          2.697 |          0.069 |          1.036 |          0.001 |
             strlen (LI-PaRAD) |           3 |          2.308 |          2.311 |          2.316 |          2.311 |          0.063 |          1.209 |          0.001 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           4 |          2.694 |          2.696 |          2.702 |          2.696 |          0.065 |          1.382 |          0.001 |
             strlen (LI-PaRAD) |           4 |          2.308 |          2.311 |          2.316 |          2.311 |          0.068 |          1.612 |          0.001 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           5 |          2.694 |          2.697 |          2.702 |          2.697 |          0.068 |          1.727 |          0.001 |
             strlen (LI-PaRAD) |           5 |          2.308 |          2.311 |          2.316 |          2.311 |          0.070 |          2.015 |          0.001 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           6 |          2.694 |          2.696 |          2.708 |          2.697 |          0.086 |          2.072 |          0.002 |
             strlen (LI-PaRAD) |           6 |          2.308 |          2.311 |          2.315 |          2.311 |          0.070 |          2.418 |          0.002 |     +16.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           7 |          2.694 |          2.696 |          2.700 |          2.697 |          0.066 |          2.418 |          0.002 |
             strlen (LI-PaRAD) |           7 |          2.308 |          2.311 |          2.316 |          2.311 |          0.070 |          2.821 |          0.002 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           8 |          2.694 |          2.697 |          2.712 |          2.697 |          0.087 |          2.763 |          0.002 |
             strlen (LI-PaRAD) |           8 |          2.308 |          2.311 |          2.315 |          2.311 |          0.068 |          3.224 |          0.002 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |           9 |          2.694 |          2.696 |          2.702 |          2.697 |          0.071 |          3.108 |          0.002 |
             strlen (LI-PaRAD) |           9 |          2.308 |          2.311 |          2.316 |          2.311 |          0.069 |          3.627 |          0.003 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          10 |          2.695 |          2.696 |          2.701 |          2.697 |          0.068 |          3.454 |          0.002 |
             strlen (LI-PaRAD) |          10 |          2.308 |          2.311 |          2.316 |          2.311 |          0.068 |          4.029 |          0.003 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          11 |          2.694 |          2.697 |          2.701 |          2.696 |          0.063 |          3.799 |          0.002 |
             strlen (LI-PaRAD) |          11 |          2.308 |          2.311 |          2.316 |          2.311 |          0.071 |          4.432 |          0.003 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          12 |          2.695 |          2.696 |          2.705 |          2.697 |          0.075 |          4.144 |          0.003 |
             strlen (LI-PaRAD) |          12 |          2.308 |          2.311 |          2.315 |          2.311 |          0.071 |          4.835 |          0.003 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          13 |          2.695 |          2.696 |          2.703 |          2.697 |          0.069 |          4.490 |          0.003 |
             strlen (LI-PaRAD) |          13 |          2.308 |          2.311 |          2.342 |          2.312 |          0.148 |          5.238 |          0.008 |     +16.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          14 |          2.694 |          2.696 |          2.704 |          2.697 |          0.068 |          4.835 |          0.003 |
             strlen (LI-PaRAD) |          14 |          2.308 |          2.311 |          2.316 |          2.311 |          0.071 |          5.641 |          0.004 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          15 |          2.694 |          2.696 |          2.702 |          2.697 |          0.069 |          5.181 |          0.004 |
             strlen (LI-PaRAD) |          15 |          2.308 |          2.311 |          2.315 |          2.311 |          0.065 |          6.044 |          0.004 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          16 |          3.079 |          3.082 |          3.090 |          3.082 |          0.067 |          4.835 |          0.003 |
             strlen (LI-PaRAD) |          16 |          2.308 |          2.311 |          2.321 |          2.311 |          0.080 |          6.447 |          0.005 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          17 |          3.079 |          3.082 |          3.086 |          3.082 |          0.061 |          5.137 |          0.003 |
             strlen (LI-PaRAD) |          17 |          2.308 |          2.311 |          2.316 |          2.311 |          0.072 |          6.850 |          0.005 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          18 |          3.079 |          3.082 |          3.087 |          3.082 |          0.061 |          5.440 |          0.003 |
             strlen (LI-PaRAD) |          18 |          2.308 |          2.311 |          2.316 |          2.311 |          0.068 |          7.253 |          0.005 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          19 |          3.079 |          3.082 |          3.088 |          3.082 |          0.066 |          5.742 |          0.004 |
             strlen (LI-PaRAD) |          19 |          2.308 |          2.311 |          2.320 |          2.311 |          0.088 |          7.655 |          0.007 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          20 |          3.079 |          3.082 |          3.088 |          3.082 |          0.067 |          6.044 |          0.004 |
             strlen (LI-PaRAD) |          20 |          2.308 |          2.311 |          2.318 |          2.311 |          0.075 |          8.058 |          0.006 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          21 |          3.079 |          3.082 |          3.086 |          3.082 |          0.060 |          6.346 |          0.004 |
             strlen (LI-PaRAD) |          21 |          2.308 |          2.311 |          2.318 |          2.311 |          0.074 |          8.462 |          0.006 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          22 |          3.079 |          3.082 |          3.122 |          3.082 |          0.143 |          6.648 |          0.009 |
             strlen (LI-PaRAD) |          22 |          2.308 |          2.311 |          2.316 |          2.311 |          0.070 |          8.865 |          0.006 |     +33.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          23 |          3.079 |          3.082 |          3.085 |          3.082 |          0.060 |          6.951 |          0.004 |
             strlen (LI-PaRAD) |          23 |          2.308 |          2.311 |          2.316 |          2.311 |          0.070 |          9.268 |          0.006 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          24 |          3.079 |          3.082 |          3.085 |          3.082 |          0.060 |          7.253 |          0.004 |
             strlen (LI-PaRAD) |          24 |          2.308 |          2.311 |          2.315 |          2.311 |          0.067 |          9.670 |          0.006 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          25 |          3.079 |          3.082 |          3.085 |          3.082 |          0.059 |          7.555 |          0.004 |
             strlen (LI-PaRAD) |          25 |          2.310 |          2.311 |          2.316 |          2.311 |          0.070 |         10.073 |          0.007 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          26 |          3.079 |          3.082 |          3.087 |          3.082 |          0.061 |          7.857 |          0.005 |
             strlen (LI-PaRAD) |          26 |          2.310 |          2.311 |          2.316 |          2.311 |          0.070 |         10.476 |          0.007 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strlen (GNU libc 2.39) |          27 |          3.079 |          3.082 |          3.092 |          3.082 |          0.069 |          8.159 |          0.006 |
             strlen (LI-PaRAD) |          27 |          2.308 |          2.311 |          2.315 |          2.311 |          0.069 |         10.879 |          0.007 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
