ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strlen (LI-PaRAD)|1|2.244|2.247|18.297|4.468|124.393|0.364|0.126
strlen (Arm OR 23.01)|1|6.154|6.167|22.219|12.146|63.804|0.11|0.053
strlen (GNU libc 2.39)|1|2.161|2.201|18.214|4.258|126.507|0.376|0.125
strlen (LI-PaRAD)|2|2.244|2.247|18.283|4.469|124.36|0.727|0.252
strlen (Arm OR 23.01)|2|6.159|6.167|30.165|12.502|63.398|0.216|0.107
strlen (GNU libc 2.39)|2|2.174|2.204|18.554|4.382|125.045|0.744|0.258
strlen (LI-PaRAD)|3|2.244|2.248|18.313|4.467|124.456|1.092|0.378
strlen (Arm OR 23.01)|3|6.158|6.166|22.173|12.303|63.309|0.327|0.16
strlen (GNU libc 2.39)|3|2.115|2.206|22.206|4.395|125.066|1.108|0.385
strlen (LI-PaRAD)|4|2.244|2.248|18.306|4.467|124.421|1.455|0.504
strlen (Arm OR 23.01)|4|6.157|6.166|22.173|12.303|63.309|0.436|0.213
strlen (GNU libc 2.39)|4|2.165|2.204|18.393|4.418|125.892|1.488|0.518
strlen (LI-PaRAD)|5|2.244|2.248|18.263|4.467|124.404|1.819|0.631
strlen (Arm OR 23.01)|5|6.155|6.165|22.17|12.343|63.434|0.545|0.267
strlen (GNU libc 2.39)|5|2.164|2.204|18.22|4.259|126.474|1.878|0.627
strlen (LI-PaRAD)|6|2.246|2.248|18.257|4.468|124.379|2.182|0.756
strlen (Arm OR 23.01)|6|6.159|6.167|22.173|12.343|63.426|0.654|0.32
strlen (GNU libc 2.39)|6|2.163|2.205|18.213|4.259|126.427|2.253|0.752
strlen (LI-PaRAD)|7|2.244|2.247|18.278|4.624|123.69|2.523|0.909
strlen (Arm OR 23.01)|7|6.154|6.167|22.176|12.343|63.431|0.763|0.374
strlen (GNU libc 2.39)|7|2.163|2.206|18.641|4.442|125.217|2.581|0.903
strlen (LI-PaRAD)|8|2.244|2.247|18.31|4.469|124.366|2.908|1.008
strlen (Arm OR 23.01)|8|6.159|6.167|22.171|12.343|63.43|0.872|0.427
strlen (GNU libc 2.39)|8|2.171|2.204|18.396|4.434|125.361|2.958|1.033
strlen (LI-PaRAD)|9|2.244|2.248|30.249|4.549|129.476|3.27|1.135
