        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strncmp (Arm OR 23.01) |           1 |          6.623 |          6.959 |          7.221 |          6.929 |          1.982 |          0.134 |          0.003 |
            strncmp (LI-PaRAD) |           1 |          4.236 |          4.237 |          4.244 |          4.238 |          0.041 |          0.220 |          0.000 |     +63.51%
        strncmp (Arm OR 23.01) |           2 |          6.635 |          6.926 |          7.225 |          6.923 |          1.910 |          0.269 |          0.005 |
            strncmp (LI-PaRAD) |           2 |          4.236 |          4.237 |          4.243 |          4.237 |          0.039 |          0.440 |          0.000 |     +63.37%
        strncmp (Arm OR 23.01) |           3 |          6.674 |          6.843 |          6.936 |          6.829 |          1.000 |          0.409 |          0.004 |
            strncmp (LI-PaRAD) |           3 |          4.236 |          4.237 |          4.242 |          4.238 |          0.039 |          0.659 |          0.000 |     +61.16%
        strncmp (Arm OR 23.01) |           4 |          6.589 |          6.962 |          7.225 |          6.934 |          2.167 |          0.537 |          0.012 |
            strncmp (LI-PaRAD) |           4 |          4.236 |          4.237 |          4.242 |          4.238 |          0.037 |          0.879 |          0.000 |     +63.64%
        strncmp (Arm OR 23.01) |           5 |          6.677 |          6.847 |          6.938 |          6.848 |          1.031 |          0.680 |          0.007 |
            strncmp (LI-PaRAD) |           5 |          4.236 |          4.238 |          4.243 |          4.238 |          0.037 |          1.099 |          0.000 |     +61.60%
        strncmp (Arm OR 23.01) |           6 |          6.626 |          6.933 |          7.222 |          6.933 |          2.197 |          0.806 |          0.018 |
            strncmp (LI-PaRAD) |           6 |          4.234 |          4.237 |          4.242 |          4.238 |          0.038 |          1.319 |          0.001 |     +63.60%
        strncmp (Arm OR 23.01) |           7 |          6.645 |          6.844 |          6.938 |          6.829 |          1.066 |          0.955 |          0.010 |
            strncmp (LI-PaRAD) |           7 |          4.236 |          4.237 |          4.243 |          4.237 |          0.036 |          1.538 |          0.001 |     +61.17%
        strncmp (Arm OR 23.01) |           8 |          6.610 |          6.936 |          7.224 |          6.943 |          2.110 |          1.074 |          0.023 |
            strncmp (LI-PaRAD) |           8 |          4.236 |          4.238 |          4.242 |          4.237 |          0.036 |          1.758 |          0.001 |     +63.84%
        strncmp (Arm OR 23.01) |           9 |          6.680 |          6.859 |          6.937 |          6.869 |          0.842 |          1.220 |          0.010 |
            strncmp (LI-PaRAD) |           9 |          4.236 |          4.238 |          4.243 |          4.238 |          0.035 |          1.978 |          0.001 |     +62.10%
        strncmp (Arm OR 23.01) |          10 |          6.610 |          6.908 |          7.209 |          6.915 |          1.987 |          1.347 |          0.027 |
            strncmp (LI-PaRAD) |          10 |          4.236 |          4.237 |          4.244 |          4.238 |          0.038 |          2.198 |          0.001 |     +63.17%
        strncmp (Arm OR 23.01) |          11 |          6.673 |          6.846 |          6.937 |          6.841 |          0.974 |          1.498 |          0.015 |
            strncmp (LI-PaRAD) |          11 |          4.235 |          4.237 |          4.243 |          4.237 |          0.038 |          2.418 |          0.001 |     +61.44%
        strncmp (Arm OR 23.01) |          12 |          6.625 |          6.915 |          7.224 |          6.925 |          1.964 |          1.614 |          0.032 |
            strncmp (LI-PaRAD) |          12 |          4.236 |          4.237 |          4.244 |          4.238 |          0.041 |          2.637 |          0.001 |     +63.43%
        strncmp (Arm OR 23.01) |          13 |          6.673 |          6.852 |          6.936 |          6.859 |          0.905 |          1.765 |          0.016 |
            strncmp (LI-PaRAD) |          13 |          4.236 |          4.237 |          4.244 |          4.238 |          0.037 |          2.857 |          0.001 |     +61.87%
        strncmp (Arm OR 23.01) |          14 |          6.605 |          6.926 |          7.220 |          6.916 |          2.114 |          1.886 |          0.040 |
            strncmp (LI-PaRAD) |          14 |          4.236 |          4.238 |          4.242 |          4.238 |          0.035 |          3.077 |          0.001 |     +63.20%
        strncmp (Arm OR 23.01) |          15 |          6.671 |          6.847 |          6.936 |          6.843 |          1.054 |          2.042 |          0.022 |
            strncmp (LI-PaRAD) |          15 |          4.235 |          4.237 |          4.242 |          4.237 |          0.035 |          3.297 |          0.001 |     +61.48%
        strncmp (Arm OR 23.01) |          16 |          6.560 |          6.918 |          7.224 |          6.920 |          2.233 |          2.154 |          0.048 |
            strncmp (LI-PaRAD) |          16 |          4.235 |          4.237 |          4.241 |          4.238 |          0.034 |          3.516 |          0.001 |     +63.30%
        strncmp (Arm OR 23.01) |          17 |          6.644 |          6.849 |          6.938 |          6.854 |          0.948 |          2.310 |          0.022 |
            strncmp (LI-PaRAD) |          17 |          4.236 |          4.237 |          4.242 |          4.238 |          0.037 |          3.736 |          0.001 |     +61.75%
        strncmp (Arm OR 23.01) |          18 |          6.624 |          6.951 |          7.225 |          6.929 |          2.113 |          2.421 |          0.051 |
            strncmp (LI-PaRAD) |          18 |          4.236 |          4.238 |          4.242 |          4.237 |          0.035 |          3.956 |          0.001 |     +63.51%
        strncmp (Arm OR 23.01) |          19 |          6.641 |          6.842 |          6.936 |          6.829 |          1.038 |          2.591 |          0.027 |
            strncmp (LI-PaRAD) |          19 |          4.236 |          4.237 |          4.242 |          4.238 |          0.035 |          4.176 |          0.001 |     +61.15%
        strncmp (Arm OR 23.01) |          20 |          6.571 |          6.928 |          7.222 |          6.925 |          2.194 |          2.691 |          0.059 |
            strncmp (LI-PaRAD) |          20 |          4.235 |          4.237 |          4.242 |          4.237 |          0.037 |          4.396 |          0.002 |     +63.43%
        strncmp (Arm OR 23.01) |          21 |          6.723 |          6.850 |          6.937 |          6.861 |          0.862 |          2.851 |          0.025 |
            strncmp (LI-PaRAD) |          21 |          4.236 |          4.238 |          4.244 |          4.238 |          0.038 |          4.615 |          0.002 |     +61.90%
        strncmp (Arm OR 23.01) |          22 |          6.585 |          6.938 |          7.220 |          6.940 |          1.955 |          2.954 |          0.058 |
            strncmp (LI-PaRAD) |          22 |          4.235 |          4.237 |          4.242 |          4.237 |          0.034 |          4.835 |          0.002 |     +63.77%
        strncmp (Arm OR 23.01) |          23 |          6.677 |          6.843 |          6.936 |          6.827 |          0.978 |          3.138 |          0.031 |
            strncmp (LI-PaRAD) |          23 |          4.235 |          4.235 |          4.240 |          4.236 |          0.024 |          5.057 |          0.001 |     +61.17%
        strncmp (Arm OR 23.01) |          24 |          6.706 |          6.852 |          6.936 |          6.854 |          0.912 |          3.262 |          0.030 |
            strncmp (LI-PaRAD) |          24 |          4.235 |          4.237 |          4.394 |          4.239 |          0.370 |          5.273 |          0.019 |     +61.68%
        strncmp (Arm OR 23.01) |          25 |          6.680 |          6.852 |          6.939 |          6.854 |          0.978 |          3.397 |          0.033 |
            strncmp (LI-PaRAD) |          25 |          4.235 |          4.238 |          4.241 |          4.238 |          0.036 |          5.494 |          0.002 |     +61.74%
        strncmp (Arm OR 23.01) |          26 |          6.643 |          6.841 |          6.938 |          6.819 |          1.081 |          3.552 |          0.039 |
            strncmp (LI-PaRAD) |          26 |          4.236 |          4.237 |          4.393 |          4.239 |          0.366 |          5.712 |          0.020 |     +60.86%
        strncmp (Arm OR 23.01) |          27 |          6.683 |          6.844 |          6.936 |          6.847 |          0.968 |          3.673 |          0.036 |
            strncmp (LI-PaRAD) |          27 |          4.236 |          4.237 |          4.268 |          4.238 |          0.079 |          5.934 |          0.005 |     +61.57%
        strncmp (Arm OR 23.01) |          28 |          6.643 |          6.852 |          6.936 |          6.848 |          0.981 |          3.808 |          0.038 |
            strncmp (LI-PaRAD) |          28 |          4.235 |          4.238 |          4.242 |          4.237 |          0.038 |          6.154 |          0.002 |     +61.61%
        strncmp (Arm OR 23.01) |          29 |          6.645 |          6.849 |          6.936 |          6.847 |          0.982 |          3.945 |          0.039 |
            strncmp (LI-PaRAD) |          29 |          4.236 |          4.237 |          4.242 |          4.237 |          0.037 |          6.374 |          0.002 |     +61.57%
        strncmp (Arm OR 23.01) |          30 |          6.698 |          6.849 |          6.937 |          6.845 |          0.935 |          4.082 |          0.038 |
            strncmp (LI-PaRAD) |          30 |          4.236 |          4.237 |          4.242 |          4.237 |          0.036 |          6.593 |          0.002 |     +61.54%
        strncmp (Arm OR 23.01) |          31 |          6.709 |          6.853 |          6.937 |          6.858 |          0.970 |          4.210 |          0.041 |
            strncmp (LI-PaRAD) |          31 |          4.236 |          4.237 |          4.243 |          4.238 |          0.038 |          6.813 |          0.003 |     +61.85%
        strncmp (Arm OR 23.01) |          32 |          6.679 |          6.848 |          6.941 |          6.841 |          1.036 |          4.357 |          0.045 |
            strncmp (LI-PaRAD) |          32 |          4.235 |          4.238 |          4.242 |          4.238 |          0.035 |          7.033 |          0.002 |     +61.44%
