        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           1 |          3.335 |          3.345 |          3.359 |          3.345 |          0.133 |          0.278 |          0.000 |
            strncmp (LI-PaRAD) |           1 |          4.235 |          4.237 |          4.242 |          4.237 |          0.032 |          0.220 |          0.000 |     -21.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           2 |          3.292 |          3.335 |          3.349 |          3.329 |          0.447 |          0.560 |          0.003 |
            strncmp (LI-PaRAD) |           2 |          4.235 |          4.237 |          4.242 |          4.237 |          0.034 |          0.440 |          0.000 |     -21.44%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           3 |          3.289 |          3.324 |          3.340 |          3.322 |          0.365 |          0.841 |          0.003 |
            strncmp (LI-PaRAD) |           3 |          4.235 |          4.238 |          4.373 |          4.241 |          0.425 |          0.659 |          0.003 |     -21.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           4 |          3.290 |          3.336 |          3.348 |          3.332 |          0.422 |          1.118 |          0.005 |
            strncmp (LI-PaRAD) |           4 |          4.236 |          4.237 |          4.242 |          4.237 |          0.034 |          0.879 |          0.000 |     -21.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           5 |          3.284 |          3.324 |          3.340 |          3.320 |          0.461 |          1.403 |          0.006 |
            strncmp (LI-PaRAD) |           5 |          4.236 |          4.238 |          4.243 |          4.237 |          0.035 |          1.099 |          0.000 |     -21.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           6 |          3.292 |          3.336 |          3.359 |          3.329 |          0.496 |          1.679 |          0.008 |
            strncmp (LI-PaRAD) |           6 |          4.236 |          4.237 |          4.242 |          4.237 |          0.034 |          1.319 |          0.000 |     -21.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           7 |          3.286 |          3.324 |          3.339 |          3.318 |          0.484 |          1.965 |          0.010 |
            strncmp (LI-PaRAD) |           7 |          4.236 |          4.238 |          4.383 |          4.242 |          0.507 |          1.537 |          0.008 |     -21.78%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           8 |          3.291 |          3.335 |          3.345 |          3.329 |          0.448 |          2.238 |          0.010 |
            strncmp (LI-PaRAD) |           8 |          4.236 |          4.237 |          4.241 |          4.237 |          0.030 |          1.758 |          0.001 |     -21.44%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncmp (GNU libc 2.39) |           9 |          4.107 |          4.154 |          4.167 |          4.149 |          0.341 |          2.020 |          0.007 |
