ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strncmp (LI-PaRAD)|1|4.236|4.238|4.243|4.238|0.041|0.22|0.0
strncmp (GNU libc 2.39)|1|2.952|2.956|2.966|2.956|0.097|0.315|0.0
strncmp (Arm OR 23.01)|1|6.623|6.959|7.221|6.929|1.982|0.134|0.003
strncmp (LI-PaRAD)|2|4.235|4.237|4.245|4.238|0.042|0.44|0.0
strncmp (GNU libc 2.39)|2|2.952|2.957|2.962|2.956|0.074|0.63|0.0
strncmp (Arm OR 23.01)|2|6.635|6.926|7.225|6.923|1.91|0.269|0.005
strncmp (LI-PaRAD)|3|4.235|4.238|4.274|4.238|0.094|0.659|0.001
strncmp (GNU libc 2.39)|3|2.917|2.951|2.957|2.95|0.135|0.947|0.001
strncmp (Arm OR 23.01)|3|6.674|6.843|6.936|6.829|1.0|0.409|0.004
strncmp (LI-PaRAD)|4|4.236|4.238|4.242|4.238|0.035|0.879|0.0
strncmp (GNU libc 2.39)|4|2.952|2.955|2.959|2.955|0.071|1.261|0.001
strncmp (Arm OR 23.01)|4|6.589|6.962|7.225|6.934|2.167|0.537|0.012
strncmp (LI-PaRAD)|5|4.236|4.238|4.407|4.243|0.666|1.098|0.007
strncmp (GNU libc 2.39)|5|2.949|2.953|2.957|2.952|0.072|1.577|0.001
strncmp (Arm OR 23.01)|5|6.677|6.847|6.938|6.848|1.031|0.68|0.007
strncmp (LI-PaRAD)|6|4.236|4.238|4.242|4.238|0.035|1.319|0.0
strncmp (GNU libc 2.39)|6|2.953|2.956|2.961|2.956|0.077|1.89|0.001
strncmp (Arm OR 23.01)|6|6.626|6.933|7.222|6.933|2.197|0.806|0.018
strncmp (LI-PaRAD)|7|4.236|4.237|4.243|4.238|0.042|1.538|0.001
strncmp (GNU libc 2.39)|7|2.948|2.951|2.956|2.951|0.07|2.209|0.002
strncmp (Arm OR 23.01)|7|6.645|6.844|6.938|6.829|1.066|0.955|0.01
strncmp (LI-PaRAD)|8|4.235|4.237|4.242|4.238|0.038|1.758|0.001
strncmp (GNU libc 2.39)|8|2.952|2.955|2.959|2.955|0.074|2.522|0.002
strncmp (Arm OR 23.01)|8|6.61|6.936|7.224|6.943|2.11|1.074|0.023
strncmp (LI-PaRAD)|9|4.235|4.238|4.398|4.239|0.379|1.977|0.007
strncmp (GNU libc 2.39)|9|3.872|3.895|3.927|3.893|0.173|2.153|0.004
strncmp (Arm OR 23.01)|9|6.68|6.859|6.937|6.869|0.842|1.22|0.01
strncmp (LI-PaRAD)|10|4.236|4.238|4.244|4.238|0.037|2.198|0.001
strncmp (GNU libc 2.39)|10|3.887|3.921|3.925|3.919|0.175|2.377|0.004
strncmp (Arm OR 23.01)|10|6.61|6.908|7.209|6.915|1.987|1.347|0.027
strncmp (LI-PaRAD)|11|4.236|4.237|4.243|4.238|0.042|2.417|0.001
strncmp (GNU libc 2.39)|11|3.88|3.895|3.897|3.894|0.075|2.631|0.002
strncmp (Arm OR 23.01)|11|6.673|6.846|6.937|6.841|0.974|1.498|0.015
strncmp (LI-PaRAD)|12|4.236|4.238|4.245|4.238|0.038|2.637|0.001
strncmp (GNU libc 2.39)|12|3.905|3.92|3.928|3.92|0.069|2.851|0.002
strncmp (Arm OR 23.01)|12|6.625|6.915|7.224|6.925|1.964|1.614|0.032
strncmp (LI-PaRAD)|13|4.236|4.238|4.314|4.239|0.184|2.856|0.005
strncmp (GNU libc 2.39)|13|3.877|3.895|3.899|3.893|0.133|3.11|0.004
strncmp (Arm OR 23.01)|13|6.673|6.852|6.936|6.859|0.905|1.765|0.016
strncmp (LI-PaRAD)|14|4.235|4.238|4.242|4.238|0.038|3.077|0.001
strncmp (GNU libc 2.39)|14|3.885|3.92|3.947|3.919|0.211|3.327|0.007
strncmp (Arm OR 23.01)|14|6.605|6.926|7.22|6.916|2.114|1.886|0.04
strncmp (LI-PaRAD)|15|4.236|4.238|4.242|4.238|0.035|3.297|0.001
strncmp (GNU libc 2.39)|15|3.877|3.894|3.915|3.894|0.113|3.587|0.004
strncmp (Arm OR 23.01)|15|6.671|6.847|6.936|6.843|1.054|2.042|0.022
strncmp (LI-PaRAD)|16|4.235|4.238|4.247|4.238|0.043|3.516|0.002
strncmp (GNU libc 2.39)|16|3.893|3.92|3.922|3.919|0.093|3.802|0.004
strncmp (Arm OR 23.01)|16|6.56|6.918|7.224|6.92|2.233|2.154|0.048
strncmp (LI-PaRAD)|17|4.236|4.238|4.412|4.24|0.412|3.734|0.015
strncmp (GNU libc 2.39)|17|4.904|4.923|5.242|4.947|1.235|3.201|0.038
strncmp (Arm OR 23.01)|17|6.644|6.849|6.938|6.854|0.948|2.31|0.022
strncmp (LI-PaRAD)|18|4.236|4.238|4.267|4.238|0.078|3.956|0.003
strncmp (GNU libc 2.39)|18|4.942|4.958|5.032|4.967|0.426|3.375|0.014
strncmp (Arm OR 23.01)|18|6.624|6.951|7.225|6.929|2.113|2.421|0.051
strncmp (LI-PaRAD)|19|4.236|4.238|4.283|4.238|0.112|4.175|0.005
strncmp (GNU libc 2.39)|19|4.903|4.932|5.19|4.953|1.242|3.573|0.044
strncmp (Arm OR 23.01)|19|6.641|6.842|6.936|6.829|1.038|2.591|0.027
strncmp (LI-PaRAD)|20|4.236|4.237|4.242|4.238|0.039|4.395|0.002
strncmp (GNU libc 2.39)|20|4.948|4.96|5.033|4.971|0.445|3.747|0.017
strncmp (Arm OR 23.01)|20|6.571|6.928|7.222|6.925|2.194|2.691|0.059
strncmp (LI-PaRAD)|21|4.236|4.238|4.244|4.238|0.039|4.615|0.002
strncmp (GNU libc 2.39)|21|4.888|4.918|5.062|4.927|0.532|3.97|0.021
strncmp (Arm OR 23.01)|21|6.723|6.85|6.937|6.861|0.862|2.851|0.025
strncmp (LI-PaRAD)|22|4.235|4.238|4.242|4.238|0.036|4.835|0.002
strncmp (GNU libc 2.39)|22|4.942|4.994|5.269|5.024|1.714|4.079|0.069
strncmp (Arm OR 23.01)|22|6.585|6.938|7.22|6.94|1.955|2.954|0.058
strncmp (LI-PaRAD)|23|4.235|4.238|4.349|4.239|0.264|5.053|0.013
strncmp (GNU libc 2.39)|23|4.903|4.93|5.183|4.955|1.287|4.324|0.055
strncmp (Arm OR 23.01)|23|6.677|6.843|6.936|6.827|0.978|3.138|0.031
strncmp (LI-PaRAD)|24|4.236|4.237|4.242|4.238|0.035|5.274|0.002
strncmp (GNU libc 2.39)|24|4.903|4.943|5.177|4.965|1.414|4.503|0.063
strncmp (Arm OR 23.01)|24|6.706|6.852|6.936|6.854|0.912|3.262|0.03
strncmp (LI-PaRAD)|25|4.235|4.238|4.41|4.24|0.407|5.492|0.022
strncmp (GNU libc 2.39)|25|5.983|5.986|5.99|5.986|0.027|3.89|0.001
strncmp (Arm OR 23.01)|25|6.68|6.852|6.939|6.854|0.978|3.397|0.033
strncmp (LI-PaRAD)|26|4.236|4.237|4.397|4.24|0.391|5.711|0.022
strncmp (GNU libc 2.39)|26|5.943|5.965|5.988|5.97|0.199|4.056|0.008
strncmp (Arm OR 23.01)|26|6.643|6.841|6.938|6.819|1.081|3.552|0.039
strncmp (LI-PaRAD)|27|4.235|4.238|4.269|4.238|0.087|5.933|0.005
strncmp (GNU libc 2.39)|27|5.925|5.953|5.975|5.952|0.18|4.225|0.008
strncmp (Arm OR 23.01)|27|6.683|6.844|6.936|6.847|0.968|3.673|0.036
strncmp (LI-PaRAD)|28|4.236|4.238|4.245|4.238|0.038|6.154|0.002
strncmp (GNU libc 2.39)|28|5.94|5.963|5.985|5.963|0.11|4.373|0.005
strncmp (Arm OR 23.01)|28|6.643|6.852|6.936|6.848|0.981|3.808|0.038
strncmp (LI-PaRAD)|29|4.235|4.237|4.245|4.237|0.038|6.374|0.002
strncmp (GNU libc 2.39)|29|5.923|5.955|6.001|5.954|0.203|4.536|0.009
strncmp (Arm OR 23.01)|29|6.645|6.849|6.936|6.847|0.982|3.945|0.039
strncmp (LI-PaRAD)|30|4.235|4.236|4.242|4.237|0.032|6.594|0.002
strncmp (GNU libc 2.39)|30|5.943|5.96|6.026|5.961|0.145|4.687|0.007
strncmp (Arm OR 23.01)|30|6.698|6.849|6.937|6.845|0.935|4.082|0.038
strncmp (LI-PaRAD)|31|4.235|4.237|4.242|4.238|0.038|6.813|0.003
strncmp (GNU libc 2.39)|31|5.914|5.953|5.987|5.952|0.206|4.851|0.01
strncmp (Arm OR 23.01)|31|6.709|6.853|6.937|6.858|0.97|4.21|0.041
strncmp (LI-PaRAD)|32|4.235|4.238|4.242|4.238|0.041|7.032|0.003
strncmp (GNU libc 2.39)|32|5.944|5.963|6.031|5.964|0.158|4.997|0.008
strncmp (Arm OR 23.01)|32|6.679|6.848|6.941|6.841|1.036|4.357|0.045
strncmp (LI-PaRAD)|33|7.227|7.319|7.322|7.307|0.307|4.206|0.013
strncmp (GNU libc 2.39)|33|7.136|7.142|7.175|7.142|0.084|4.303|0.004
strncmp (Arm OR 23.01)|33|10.705|10.786|10.858|10.783|0.192|2.85|0.005
strncmp (LI-PaRAD)|34|7.19|7.311|7.322|7.288|0.497|4.345|0.022
strncmp (GNU libc 2.39)|34|7.109|7.145|7.18|7.141|0.186|4.435|0.008
strncmp (Arm OR 23.01)|34|10.706|10.786|10.857|10.777|0.257|2.938|0.008
strncmp (LI-PaRAD)|35|7.213|7.319|7.322|7.306|0.336|4.461|0.015
strncmp (GNU libc 2.39)|35|7.136|7.142|7.176|7.143|0.092|4.563|0.004
strncmp (Arm OR 23.01)|35|10.707|10.786|10.859|10.781|0.232|3.023|0.007
strncmp (LI-PaRAD)|36|7.206|7.315|7.324|7.294|0.414|4.597|0.019
strncmp (GNU libc 2.39)|36|7.109|7.144|7.155|7.14|0.17|4.696|0.008
