        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |           1 |          4.451 |          4.470 |          4.491 |          4.469 |          0.212 |          0.208 |          0.000 |
            strncpy (LI-PaRAD) |           1 |          2.308 |          2.311 |          2.316 |          2.311 |          0.072 |          0.403 |          0.000 |     +93.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |           2 |          4.629 |          4.646 |          4.660 |          4.645 |          0.155 |          0.401 |          0.001 |
            strncpy (LI-PaRAD) |           2 |          2.308 |          2.311 |          2.317 |          2.312 |          0.078 |          0.806 |          0.001 |    +100.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |           3 |          4.625 |          4.640 |          4.658 |          4.640 |          0.154 |          0.602 |          0.001 |
            strncpy (LI-PaRAD) |           3 |          2.308 |          2.311 |          2.317 |          2.312 |          0.082 |          1.209 |          0.001 |    +100.72%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |           4 |          4.621 |          4.623 |          4.628 |          4.623 |          0.043 |          0.806 |          0.000 |
            strncpy (LI-PaRAD) |           4 |          2.308 |          2.311 |          2.316 |          2.311 |          0.065 |          1.612 |          0.001 |    +100.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |           5 |          4.620 |          4.622 |          4.627 |          4.623 |          0.038 |          1.007 |          0.000 |
            strncpy (LI-PaRAD) |           5 |          2.308 |          2.311 |          2.316 |          2.311 |          0.072 |          2.015 |          0.001 |    +100.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |           6 |          4.620 |          4.623 |          4.631 |          4.623 |          0.045 |          1.209 |          0.001 |
            strncpy (LI-PaRAD) |           6 |          2.308 |          2.311 |          2.316 |          2.311 |          0.073 |          2.418 |          0.002 |    +100.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncpy (Arm OR 23.01) |           7 |          4.620 |          4.622 |          4.636 |          4.623 |          0.051 |          1.410 |          0.001 |
