        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strncpy (Arm OR 23.01) |           1 |          4.750 |          4.787 |          4.828 |          4.787 |          0.174 |          0.195 |          0.000 |
            strncpy (LI-PaRAD) |           1 |          2.310 |          2.312 |          2.323 |          2.313 |          0.106 |          0.403 |          0.000 |    +107.01%
        strncpy (Arm OR 23.01) |           2 |          4.698 |          4.707 |          4.725 |          4.708 |          0.095 |          0.396 |          0.000 |
            strncpy (LI-PaRAD) |           2 |          2.310 |          2.311 |          2.318 |          2.312 |          0.074 |          0.806 |          0.001 |    +103.66%
        strncpy (Arm OR 23.01) |           3 |          4.804 |          4.819 |          4.827 |          4.818 |          0.101 |          0.580 |          0.001 |
            strncpy (LI-PaRAD) |           3 |          2.317 |          2.396 |          2.459 |          2.386 |          1.276 |          1.171 |          0.015 |    +101.94%
        strncpy (Arm OR 23.01) |           4 |          4.623 |          4.626 |          4.631 |          4.626 |          0.050 |          0.805 |          0.000 |
            strncpy (LI-PaRAD) |           4 |          2.310 |          2.312 |          2.326 |          2.313 |          0.126 |          1.611 |          0.002 |    +100.03%
        strncpy (Arm OR 23.01) |           5 |          4.622 |          4.624 |          4.628 |          4.624 |          0.044 |          1.007 |          0.000 |
            strncpy (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.317 |          2.312 |          0.085 |          2.014 |          0.002 |    +100.00%
        strncpy (Arm OR 23.01) |           6 |          4.621 |          4.624 |          4.628 |          4.624 |          0.045 |          1.208 |          0.001 |
            strncpy (LI-PaRAD) |           6 |          2.310 |          2.311 |          2.316 |          2.312 |          0.073 |          2.417 |          0.002 |    +100.02%
        strncpy (Arm OR 23.01) |           7 |          4.623 |          4.626 |          4.637 |          4.626 |          0.050 |          1.409 |          0.001 |
