        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           1 |          4.462 |          4.483 |          4.522 |          4.483 |          0.190 |          0.208 |          0.000 |
            strncpy (LI-PaRAD) |           1 |          2.308 |          2.311 |          2.316 |          2.311 |          0.068 |          0.403 |          0.000 |     +93.95%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           2 |          4.625 |          4.640 |          4.657 |          4.639 |          0.139 |          0.402 |          0.001 |
            strncpy (LI-PaRAD) |           2 |          2.308 |          2.311 |          2.315 |          2.311 |          0.067 |          0.806 |          0.001 |    +100.70%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           3 |          4.625 |          4.641 |          4.656 |          4.641 |          0.173 |          0.602 |          0.001 |
            strncpy (LI-PaRAD) |           3 |          2.308 |          2.311 |          2.315 |          2.311 |          0.069 |          1.209 |          0.001 |    +100.78%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           4 |          4.621 |          4.623 |          4.632 |          4.623 |          0.042 |          0.806 |          0.000 |
            strncpy (LI-PaRAD) |           4 |          2.308 |          2.311 |          2.316 |          2.311 |          0.074 |          1.612 |          0.001 |    +100.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           5 |          4.621 |          4.623 |          4.628 |          4.623 |          0.041 |          1.007 |          0.000 |
            strncpy (LI-PaRAD) |           5 |          2.308 |          2.311 |          2.316 |          2.311 |          0.072 |          2.015 |          0.001 |    +100.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           6 |          4.621 |          4.623 |          4.628 |          4.623 |          0.040 |          1.209 |          0.000 |
            strncpy (LI-PaRAD) |           6 |          2.308 |          2.311 |          2.316 |          2.311 |          0.075 |          2.418 |          0.002 |    +100.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           7 |          4.621 |          4.623 |          4.653 |          4.623 |          0.077 |          1.410 |          0.001 |
            strncpy (LI-PaRAD) |           7 |          2.308 |          2.311 |          2.316 |          2.311 |          0.073 |          2.820 |          0.002 |    +100.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           8 |          4.238 |          4.239 |          4.245 |          4.240 |          0.036 |          1.757 |          0.001 |
            strncpy (LI-PaRAD) |           8 |          2.308 |          2.311 |          2.316 |          2.311 |          0.070 |          3.224 |          0.002 |     +83.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           9 |          4.237 |          4.239 |          4.243 |          4.239 |          0.035 |          1.977 |          0.001 |
            strncpy (LI-PaRAD) |           9 |          2.308 |          2.311 |          2.316 |          2.312 |          0.075 |          3.626 |          0.003 |     +83.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          10 |          4.237 |          4.239 |          4.244 |          4.239 |          0.038 |          2.197 |          0.001 |
            strncpy (LI-PaRAD) |          10 |          2.308 |          2.311 |          2.325 |          2.312 |          0.094 |          4.029 |          0.004 |     +83.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          11 |          4.237 |          4.239 |          4.245 |          4.240 |          0.038 |          2.416 |          0.001 |
