ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strncpy (LI-PaRAD)|1|1.923|1.927|18.062|3.992|135.003|0.427|0.145
strncpy (Arm OR 23.01)|1|4.451|4.478|20.495|8.909|80.807|0.163|0.073
strncpy (GNU libc 2.39)|1|4.445|4.476|20.498|8.907|80.842|0.163|0.073
strncpy (LI-PaRAD)|2|1.923|1.927|18.15|3.949|134.268|0.856|0.29
strncpy (Arm OR 23.01)|2|4.464|4.495|28.497|8.812|82.081|0.328|0.144
strncpy (GNU libc 2.39)|2|4.46|4.487|32.483|9.003|82.561|0.325|0.146
strncpy (LI-PaRAD)|3|1.923|1.927|17.988|3.804|134.244|1.287|0.419
strncpy (Arm OR 23.01)|3|4.45|4.479|28.484|8.994|81.918|0.488|0.22
strncpy (GNU libc 2.39)|3|4.452|4.477|28.482|8.952|81.772|0.489|0.22
strncpy (LI-PaRAD)|4|1.923|1.927|18.138|3.841|135.521|1.719|0.561
strncpy (Arm OR 23.01)|4|4.005|4.046|20.167|8.166|86.107|0.731|0.323
strncpy (GNU libc 2.39)|4|4.007|4.046|20.075|8.005|86.712|0.739|0.319
strncpy (LI-PaRAD)|5|1.923|1.927|17.988|3.84|135.443|2.148|0.7
strncpy (Arm OR 23.01)|5|4.024|4.095|20.538|8.203|85.79|0.907|0.4
strncpy (GNU libc 2.39)|5|4.018|4.058|20.078|7.98|86.227|0.921|0.396
strncpy (LI-PaRAD)|6|1.923|1.927|18.01|3.84|135.471|2.579|0.841
strncpy (Arm OR 23.01)|6|4.022|4.077|20.419|8.194|85.848|1.09|0.481
strncpy (GNU libc 2.39)|6|4.041|4.057|20.254|8.18|85.987|1.094|0.483
strncpy (LI-PaRAD)|7|1.923|1.926|18.05|3.844|135.326|3.003|0.98
strncpy (Arm OR 23.01)|7|4.007|4.049|20.386|8.17|86.138|1.28|0.565
strncpy (GNU libc 2.39)|7|4.007|4.047|20.438|8.133|85.855|1.28|0.563
strncpy (LI-PaRAD)|8|1.923|1.927|18.31|3.847|135.412|3.432|1.12
strncpy (Arm OR 23.01)|8|3.856|3.885|19.975|7.859|88.267|1.53|0.667
strncpy (GNU libc 2.39)|8|3.859|3.889|19.974|7.864|88.219|1.529|0.666
strncpy (LI-PaRAD)|9|1.923|1.927|18.111|4.003|134.527|3.823|1.304
strncpy (Arm OR 23.01)|9|3.869|3.917|20.081|7.804|87.778|1.716|0.741
strncpy (GNU libc 2.39)|9|3.87|3.923|20.12|7.882|88.058|1.713|0.745
strncpy (LI-PaRAD)|10|1.923|1.927|18.298|3.851|135.26|4.282|1.4
strncpy (Arm OR 23.01)|10|3.873|3.908|19.99|7.839|87.749|1.905|0.826
strncpy (GNU libc 2.39)|10|3.868|3.936|19.995|7.886|87.933|1.9|0.826
strncpy (LI-PaRAD)|11|1.923|1.927|18.293|3.771|133.907|4.715|1.528
strncpy (Arm OR 23.01)|11|3.853|3.89|20.242|7.868|88.3|2.103|0.916
strncpy (GNU libc 2.39)|11|3.851|3.939|19.978|7.835|87.767|2.097|0.91
strncpy (LI-PaRAD)|12|1.923|1.927|18.688|3.82|134.2|5.13|1.674
strncpy (Arm OR 23.01)|12|3.857|3.886|27.872|7.942|89.696|2.293|1.003
strncpy (GNU libc 2.39)|12|3.856|3.914|23.893|7.87|88.402|2.289|0.996
strncpy (LI-PaRAD)|13|1.923|1.927|17.942|3.808|134.057|5.568|1.814
strncpy (Arm OR 23.01)|13|3.883|3.91|27.924|7.925|89.207|2.473|1.077
strncpy (GNU libc 2.39)|13|3.865|3.919|23.897|7.92|88.684|2.475|1.079
strncpy (LI-PaRAD)|14|1.923|1.927|18.073|3.845|135.32|6.005|1.96
strncpy (Arm OR 23.01)|14|3.874|3.913|20.099|7.886|88.039|2.663|1.158
strncpy (GNU libc 2.39)|14|3.869|3.929|20.151|7.768|87.113|2.667|1.15
strncpy (LI-PaRAD)|15|1.923|1.927|18.19|3.846|135.376|6.435|2.101
strncpy (Arm OR 23.01)|15|3.861|3.909|20.03|7.827|87.839|2.865|1.243
strncpy (GNU libc 2.39)|15|3.858|3.896|19.978|7.863|88.209|2.866|1.248
strncpy (LI-PaRAD)|16|1.923|1.927|17.96|3.84|135.471|6.877|2.242
strncpy (Arm OR 23.01)|16|3.464|3.468|19.693|6.96|95.435|3.524|1.464
strncpy (GNU libc 2.39)|16|3.464|3.469|19.488|6.883|94.557|3.523|1.455
strncpy (LI-PaRAD)|17|1.923|1.927|17.962|3.99|134.947|7.26|2.467
strncpy (Arm OR 23.01)|17|5.057|5.075|33.081|10.259|75.548|2.369|1.114
strncpy (GNU libc 2.39)|17|5.051|5.071|21.081|10.136|73.839|2.374|1.11
strncpy (LI-PaRAD)|18|1.923|1.927|18.002|3.991|134.98|7.688|2.613
strncpy (Arm OR 23.01)|18|5.056|5.075|21.088|9.982|74.321|2.536|1.164
strncpy (GNU libc 2.39)|18|5.051|5.07|21.082|10.136|73.848|2.514|1.176
strncpy (LI-PaRAD)|19|1.923|1.927|18.263|3.854|135.076|8.12|2.658
strncpy (Arm OR 23.01)|19|5.046|5.066|21.079|10.131|73.877|2.656|1.243
strncpy (GNU libc 2.39)|19|5.046|5.067|21.079|10.132|73.875|2.655|1.242
strncpy (LI-PaRAD)|20|1.923|1.927|17.979|3.836|135.631|8.612|2.804
strncpy (Arm OR 23.01)|20|4.937|4.968|20.976|9.873|75.128|2.875|1.328
strncpy (GNU libc 2.39)|20|4.943|4.97|20.98|10.033|74.579|2.845|1.339
strncpy (LI-PaRAD)|21|1.923|1.927|18.065|3.987|135.153|8.986|3.05
strncpy (Arm OR 23.01)|21|5.055|5.075|21.09|10.101|73.62|2.932|1.367
strncpy (GNU libc 2.39)|21|5.05|5.07|21.086|10.136|73.851|2.933|1.372
strncpy (LI-PaRAD)|22|1.923|1.927|18.059|3.837|135.665|9.472|3.084
strncpy (Arm OR 23.01)|22|5.058|5.076|21.088|10.101|73.611|3.071|1.432
strncpy (GNU libc 2.39)|22|5.053|5.07|21.083|10.136|73.834|3.072|1.437
strncpy (LI-PaRAD)|23|1.923|1.927|18.274|3.99|135.228|9.842|3.341
strncpy (Arm OR 23.01)|23|5.045|5.066|21.079|10.052|73.496|3.219|1.498
strncpy (GNU libc 2.39)|23|5.048|5.066|21.08|10.291|73.322|3.182|1.516
strncpy (LI-PaRAD)|24|1.923|1.927|18.151|3.988|135.176|10.27|3.486
strncpy (Arm OR 23.01)|24|4.932|4.968|20.975|9.873|75.122|3.449|1.594
strncpy (GNU libc 2.39)|24|4.932|4.97|20.977|9.875|75.119|3.449|1.594
strncpy (LI-PaRAD)|25|1.923|1.927|21.927|3.844|136.11|10.726|3.497
strncpy (Arm OR 23.01)|25|5.054|5.075|21.088|10.1|73.622|3.491|1.628
strncpy (GNU libc 2.39)|25|5.049|5.069|21.083|10.096|73.658|3.494|1.63
strncpy (LI-PaRAD)|26|1.923|1.927|21.928|3.884|137.089|11.152|3.648
strncpy (Arm OR 23.01)|26|5.047|5.066|21.079|10.131|73.248|3.616|1.696
strncpy (GNU libc 2.39)|26|5.046|5.066|37.078|10.093|77.023|3.667|1.69
strncpy (LI-PaRAD)|27|1.923|1.927|18.067|3.988|135.165|11.553|3.921
strncpy (Arm OR 23.01)|27|5.056|5.075|25.084|10.141|74.017|3.768|1.761
strncpy (GNU libc 2.39)|27|5.051|5.071|21.082|10.095|73.653|3.773|1.76
strncpy (LI-PaRAD)|28|1.923|1.927|18.147|3.842|135.535|12.034|3.924
strncpy (Arm OR 23.01)|28|4.91|4.969|20.976|9.873|75.13|4.025|1.86
strncpy (GNU libc 2.39)|28|4.933|4.969|20.982|9.992|74.394|3.987|1.872
strncpy (LI-PaRAD)|29|1.923|1.927|18.129|3.715|135.052|12.54|3.996
strncpy (Arm OR 23.01)|29|5.055|5.075|21.121|10.14|73.807|4.046|1.892
strncpy (GNU libc 2.39)|29|5.052|5.072|21.084|10.096|73.656|4.052|1.89
strncpy (LI-PaRAD)|30|1.923|1.926|18.01|3.987|135.134|12.837|4.357
strncpy (Arm OR 23.01)|30|5.047|5.066|33.053|10.092|76.202|4.229|1.953
strncpy (GNU libc 2.39)|30|5.048|5.066|21.079|10.132|73.874|4.192|1.962
strncpy (LI-PaRAD)|31|1.923|1.927|18.195|3.849|135.206|13.274|4.339
strncpy (Arm OR 23.01)|31|5.054|5.074|21.088|10.14|73.815|4.326|2.023
strncpy (GNU libc 2.39)|31|5.051|5.07|21.083|10.136|73.841|4.329|2.025
strncpy (LI-PaRAD)|32|2.983|2.986|18.995|5.996|104.821|8.399|3.304
strncpy (Arm OR 23.01)|32|4.937|4.968|20.978|9.873|75.129|4.599|2.125
strncpy (GNU libc 2.39)|32|4.932|4.969|32.973|10.032|76.476|4.567|2.132
strncpy (LI-PaRAD)|33|4.384|4.415|20.445|8.844|81.387|5.456|2.459
strncpy (Arm OR 23.01)|33|5.959|5.997|22.004|12.012|64.866|3.726|1.817
strncpy (GNU libc 2.39)|33|5.956|5.995|22.0|12.163|64.369|3.692|1.829
strncpy (LI-PaRAD)|34|4.384|4.416|20.433|8.687|81.913|5.676|2.504
strncpy (Arm OR 23.01)|34|5.949|5.984|21.997|11.877|65.07|3.865|1.864
strncpy (GNU libc 2.39)|34|5.957|5.99|22.006|11.845|65.427|3.882|1.866
strncpy (LI-PaRAD)|35|4.387|4.419|20.439|8.648|81.652|5.846|2.571
strncpy (Arm OR 23.01)|35|5.961|5.998|22.009|12.009|64.881|3.953|1.929
strncpy (GNU libc 2.39)|35|5.958|5.989|22.005|11.843|65.43|3.997|1.921
strncpy (LI-PaRAD)|36|4.381|4.415|20.43|8.844|81.395|5.953|2.683
strncpy (Arm OR 23.01)|36|5.716|5.738|21.751|11.593|66.832|4.272|2.086
strncpy (GNU libc 2.39)|36|5.718|5.748|21.754|11.6|66.775|4.267|2.082
strncpy (LI-PaRAD)|37|4.384|4.416|20.436|8.843|81.366|6.117|2.756
strncpy (Arm OR 23.01)|37|5.967|6.003|22.014|12.015|64.844|4.175|2.036
strncpy (GNU libc 2.39)|37|5.954|5.99|22.001|12.002|64.922|4.184|2.042
strncpy (LI-PaRAD)|38|4.386|4.412|20.432|8.962|80.609|6.227|2.857
strncpy (Arm OR 23.01)|38|5.95|5.985|21.992|11.838|65.448|4.342|2.088
strncpy (GNU libc 2.39)|38|5.951|5.988|22.001|12.001|64.92|4.297|2.097
strncpy (LI-PaRAD)|39|4.384|4.415|20.466|8.805|81.148|6.452|2.899
strncpy (Arm OR 23.01)|39|5.956|5.993|25.977|11.848|65.584|4.452|2.138
strncpy (GNU libc 2.39)|39|5.953|5.994|22.011|12.006|64.901|4.407|2.151
strncpy (LI-PaRAD)|40|4.383|4.414|20.436|8.843|81.393|6.615|2.981
strncpy (Arm OR 23.01)|40|5.722|5.745|21.748|11.52|66.69|4.752|2.303
strncpy (GNU libc 2.39)|40|5.727|5.755|21.763|11.491|66.859|4.755|2.291
strncpy (LI-PaRAD)|41|4.383|4.414|20.433|8.844|81.395|6.78|3.056
strncpy (Arm OR 23.01)|41|5.96|5.995|37.989|12.006|67.579|4.672|2.259
strncpy (GNU libc 2.39)|41|5.97|6.01|26.003|11.905|65.616|4.664|2.244
strncpy (LI-PaRAD)|42|4.382|4.415|20.419|8.843|81.387|6.945|3.13
strncpy (Arm OR 23.01)|42|5.975|6.017|22.027|11.906|64.934|4.755|2.29
strncpy (GNU libc 2.39)|42|5.968|6.017|22.024|12.021|64.821|4.736|2.309
strncpy (LI-PaRAD)|43|4.381|4.413|20.437|8.805|81.175|7.117|3.198
strncpy (Arm OR 23.01)|43|5.976|6.018|22.029|11.983|64.696|4.852|2.359
strncpy (GNU libc 2.39)|43|5.972|6.014|22.021|12.021|64.81|4.848|2.363
strncpy (LI-PaRAD)|44|4.384|4.418|20.458|8.806|81.134|7.278|3.27
strncpy (Arm OR 23.01)|44|5.722|5.744|21.751|11.52|66.693|5.227|2.533
strncpy (GNU libc 2.39)|44|5.724|5.758|21.768|11.61|66.732|5.207|2.539
strncpy (LI-PaRAD)|45|4.383|4.414|20.426|8.683|81.932|7.517|3.316
strncpy (Arm OR 23.01)|45|5.963|5.991|22.004|12.003|64.896|5.086|2.482
strncpy (GNU libc 2.39)|45|5.971|6.013|22.024|11.98|64.712|5.08|2.47
strncpy (LI-PaRAD)|46|4.383|4.415|20.421|8.842|81.39|7.608|3.428
strncpy (Arm OR 23.01)|46|5.978|6.018|22.026|12.183|64.288|5.133|2.54
strncpy (GNU libc 2.39)|46|5.97|6.012|22.024|12.022|64.829|5.187|2.529
strncpy (LI-PaRAD)|47|4.384|4.416|20.429|8.725|81.408|7.801|3.466
strncpy (Arm OR 23.01)|47|5.977|6.019|22.028|12.024|64.819|5.298|2.583
strncpy (GNU libc 2.39)|47|5.971|6.014|22.022|12.141|64.184|5.251|2.592
strncpy (LI-PaRAD)|48|4.382|4.414|28.414|8.884|82.366|7.936|3.579
strncpy (Arm OR 23.01)|48|5.718|5.743|29.739|11.478|67.999|5.748|2.763
strncpy (GNU libc 2.39)|48|5.71|5.747|21.757|11.444|67.292|5.744|2.758
strncpy (LI-PaRAD)|49|4.381|4.414|20.434|8.803|81.148|8.109|3.644
strncpy (Arm OR 23.01)|49|6.582|6.594|22.601|13.125|59.996|4.908|2.413
strncpy (GNU libc 2.39)|49|6.578|6.59|22.603|13.242|59.876|4.888|2.432
strncpy (LI-PaRAD)|50|4.388|4.416|20.427|8.845|81.363|8.265|3.724
