        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           1 |          5.527 |          5.778 |          5.929 |          5.758 |          1.175 |          0.162 |          0.002 |
            strnlen (LI-PaRAD) |           1 |          2.722 |          2.889 |          2.893 |          2.883 |          0.852 |          0.323 |          0.003 |     +99.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           2 |          5.774 |          5.779 |          5.785 |          5.778 |          0.038 |          0.322 |          0.000 |
            strnlen (LI-PaRAD) |           2 |          2.722 |          2.889 |          2.893 |          2.886 |          0.716 |          0.646 |          0.005 |    +100.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           3 |          5.666 |          5.778 |          5.786 |          5.776 |          0.270 |          0.484 |          0.001 |
            strnlen (LI-PaRAD) |           3 |          2.794 |          2.889 |          2.893 |          2.887 |          0.402 |          0.968 |          0.004 |    +100.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           4 |          5.609 |          5.779 |          5.783 |          5.773 |          0.461 |          0.645 |          0.003 |
            strnlen (LI-PaRAD) |           4 |          2.790 |          2.890 |          2.894 |          2.888 |          0.376 |          1.290 |          0.005 |     +99.92%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           5 |          5.608 |          5.779 |          5.784 |          5.771 |          0.544 |          0.807 |          0.004 |
            strnlen (LI-PaRAD) |           5 |          2.801 |          2.889 |          2.893 |          2.888 |          0.311 |          1.612 |          0.005 |     +99.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           6 |          5.666 |          5.779 |          5.783 |          5.776 |          0.274 |          0.967 |          0.003 |
            strnlen (LI-PaRAD) |           6 |          2.776 |          2.889 |          2.895 |          2.886 |          0.651 |          1.936 |          0.013 |    +100.14%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           7 |          5.663 |          5.779 |          5.787 |          5.777 |          0.248 |          1.129 |          0.003 |
            strnlen (LI-PaRAD) |           7 |          2.727 |          2.889 |          2.897 |          2.885 |          0.741 |          2.260 |          0.018 |    +100.20%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           8 |          5.609 |          5.779 |          5.808 |          5.774 |          0.469 |          1.290 |          0.006 |
            strnlen (LI-PaRAD) |           8 |          2.774 |          2.889 |          2.896 |          2.886 |          0.608 |          2.582 |          0.016 |    +100.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           9 |          5.609 |          5.779 |          5.782 |          5.775 |          0.411 |          1.451 |          0.006 |
            strnlen (LI-PaRAD) |           9 |          2.737 |          2.890 |          2.893 |          2.887 |          0.545 |          2.903 |          0.017 |    +100.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          10 |          5.695 |          5.779 |          5.783 |          5.777 |          0.189 |          1.612 |          0.003 |
            strnlen (LI-PaRAD) |          10 |          2.776 |          2.889 |          2.893 |          2.886 |          0.608 |          3.227 |          0.020 |    +100.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          11 |          5.606 |          5.779 |          5.783 |          5.777 |          0.299 |          1.773 |          0.005 |
            strnlen (LI-PaRAD) |          11 |          2.722 |          2.890 |          2.893 |          2.886 |          0.677 |          3.550 |          0.025 |    +100.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          12 |          5.662 |          5.779 |          5.818 |          5.777 |          0.291 |          1.935 |          0.006 |
            strnlen (LI-PaRAD) |          12 |          2.743 |          2.889 |          2.896 |          2.883 |          0.872 |          3.877 |          0.035 |    +100.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          13 |          5.608 |          5.778 |          5.790 |          5.775 |          0.338 |          2.096 |          0.007 |
            strnlen (LI-PaRAD) |          13 |          2.775 |          2.889 |          2.893 |          2.887 |          0.468 |          4.193 |          0.020 |    +100.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          14 |          5.619 |          5.779 |          5.789 |          5.777 |          0.277 |          2.257 |          0.006 |
            strnlen (LI-PaRAD) |          14 |          2.823 |          2.889 |          2.893 |          2.887 |          0.352 |          4.516 |          0.016 |    +100.08%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          15 |          5.606 |          5.779 |          5.849 |          5.770 |          0.653 |          2.421 |          0.016 |
            strnlen (LI-PaRAD) |          15 |          2.818 |          2.889 |          2.893 |          2.888 |          0.256 |          4.837 |          0.013 |     +99.75%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          16 |          5.606 |          5.779 |          5.785 |          5.771 |          0.535 |          2.582 |          0.014 |
            strnlen (LI-PaRAD) |          16 |          2.777 |          2.890 |          2.896 |          2.887 |          0.547 |          5.161 |          0.029 |     +99.88%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          17 |          5.499 |          5.779 |          5.817 |          5.772 |          0.574 |          2.743 |          0.016 |
            strnlen (LI-PaRAD) |          17 |          2.720 |          2.889 |          2.895 |          2.887 |          0.648 |          5.485 |          0.037 |     +99.97%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          18 |          5.608 |          5.779 |          5.783 |          5.775 |          0.359 |          2.903 |          0.011 |
            strnlen (LI-PaRAD) |          18 |          2.722 |          2.890 |          2.893 |          2.886 |          0.719 |          5.810 |          0.044 |    +100.15%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          19 |          5.767 |          5.779 |          5.789 |          5.779 |          0.043 |          3.062 |          0.001 |
            strnlen (LI-PaRAD) |          19 |          2.754 |          2.889 |          2.896 |          2.885 |          0.738 |          6.134 |          0.047 |    +100.30%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          20 |          5.650 |          5.779 |          5.782 |          5.777 |          0.223 |          3.224 |          0.007 |
            strnlen (LI-PaRAD) |          20 |          2.730 |          2.890 |          2.893 |          2.886 |          0.736 |          6.455 |          0.050 |    +100.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          21 |          5.638 |          5.779 |          5.784 |          5.776 |          0.316 |          3.386 |          0.011 |
