        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strnlen (Arm OR 23.01) |           1 |          5.776 |          6.291 |          6.552 |          6.284 |          3.027 |          0.148 |          0.005 |
            strnlen (LI-PaRAD) |           1 |          2.754 |          2.889 |          2.896 |          2.883 |          0.790 |          0.323 |          0.003 |    +117.98%
        strnlen (Arm OR 23.01) |           2 |          5.776 |          6.270 |          6.551 |          6.225 |          3.332 |          0.300 |          0.010 |
            strnlen (LI-PaRAD) |           2 |          2.879 |          2.890 |          2.893 |          2.889 |          0.074 |          0.645 |          0.000 |    +115.46%
        strnlen (Arm OR 23.01) |           3 |          5.776 |          6.271 |          6.552 |          6.249 |          3.464 |          0.448 |          0.016 |
            strnlen (LI-PaRAD) |           3 |          2.798 |          2.890 |          2.893 |          2.887 |          0.462 |          0.968 |          0.005 |    +116.48%
        strnlen (Arm OR 23.01) |           4 |          5.776 |          6.269 |          6.551 |          6.196 |          3.372 |          0.602 |          0.020 |
            strnlen (LI-PaRAD) |           4 |          2.768 |          2.890 |          2.893 |          2.885 |          0.651 |          1.291 |          0.009 |    +114.79%
        strnlen (Arm OR 23.01) |           5 |          5.780 |          6.256 |          6.552 |          6.246 |          3.263 |          0.746 |          0.024 |
            strnlen (LI-PaRAD) |           5 |          2.772 |          2.890 |          2.894 |          2.887 |          0.531 |          1.613 |          0.009 |    +116.38%
        strnlen (Arm OR 23.01) |           6 |          5.775 |          6.249 |          6.552 |          6.236 |          3.204 |          0.897 |          0.029 |
            strnlen (LI-PaRAD) |           6 |          2.753 |          2.889 |          2.895 |          2.883 |          0.817 |          1.939 |          0.016 |    +116.35%
        strnlen (Arm OR 23.01) |           7 |          5.775 |          6.269 |          6.551 |          6.239 |          3.347 |          1.046 |          0.035 |
            strnlen (LI-PaRAD) |           7 |          2.744 |          2.890 |          2.894 |          2.884 |          0.866 |          2.261 |          0.020 |    +116.33%
        strnlen (Arm OR 23.01) |           8 |          5.776 |          6.271 |          6.552 |          6.238 |          3.313 |          1.196 |          0.040 |
            strnlen (LI-PaRAD) |           8 |          2.757 |          2.889 |          2.893 |          2.885 |          0.621 |          2.583 |          0.017 |    +116.23%
        strnlen (Arm OR 23.01) |           9 |          5.776 |          6.249 |          6.550 |          6.200 |          3.043 |          1.353 |          0.042 |
            strnlen (LI-PaRAD) |           9 |          2.742 |          2.889 |          2.892 |          2.882 |          0.853 |          2.908 |          0.026 |    +115.10%
        strnlen (Arm OR 23.01) |          10 |          5.777 |          6.248 |          6.551 |          6.207 |          3.158 |          1.502 |          0.048 |
            strnlen (LI-PaRAD) |          10 |          2.741 |          2.887 |          2.905 |          2.869 |          1.467 |          3.247 |          0.049 |    +116.36%
        strnlen (Arm OR 23.01) |          11 |          5.774 |          6.249 |          6.552 |          6.224 |          3.083 |          1.647 |          0.051 |
            strnlen (LI-PaRAD) |          11 |          2.742 |          2.841 |          2.893 |          2.835 |          1.754 |          3.615 |          0.064 |    +119.56%
        strnlen (Arm OR 23.01) |          12 |          5.776 |          6.272 |          6.551 |          6.267 |          3.256 |          1.785 |          0.059 |
            strnlen (LI-PaRAD) |          12 |          2.697 |          2.848 |          2.892 |          2.835 |          1.810 |          3.943 |          0.072 |    +121.04%
        strnlen (Arm OR 23.01) |          13 |          5.775 |          6.268 |          6.549 |          6.248 |          3.196 |          1.940 |          0.062 |
            strnlen (LI-PaRAD) |          13 |          2.746 |          2.855 |          2.892 |          2.836 |          1.796 |          4.271 |          0.077 |    +120.34%
        strnlen (Arm OR 23.01) |          14 |          5.783 |          6.271 |          6.552 |          6.245 |          3.212 |          2.090 |          0.068 |
            strnlen (LI-PaRAD) |          14 |          2.695 |          2.845 |          2.892 |          2.835 |          1.750 |          4.600 |          0.081 |    +120.29%
        strnlen (Arm OR 23.01) |          15 |          5.779 |          6.271 |          6.552 |          6.257 |          3.299 |          2.235 |          0.075 |
            strnlen (LI-PaRAD) |          15 |          2.743 |          2.848 |          2.896 |          2.836 |          1.733 |          4.928 |          0.086 |    +120.66%
        strnlen (Arm OR 23.01) |          16 |          5.777 |          6.270 |          6.550 |          6.265 |          3.331 |          2.381 |          0.080 |
            strnlen (LI-PaRAD) |          16 |          2.696 |          2.855 |          2.894 |          2.837 |          1.809 |          5.255 |          0.096 |    +120.85%
        strnlen (Arm OR 23.01) |          17 |          5.779 |          6.270 |          6.552 |          6.245 |          3.471 |          2.538 |          0.088 |
            strnlen (LI-PaRAD) |          17 |          2.745 |          2.862 |          2.893 |          2.840 |          1.726 |          5.576 |          0.097 |    +119.88%
        strnlen (Arm OR 23.01) |          18 |          5.773 |          6.268 |          6.553 |          6.253 |          3.145 |          2.684 |          0.085 |
            strnlen (LI-PaRAD) |          18 |          2.743 |          2.836 |          2.892 |          2.829 |          1.703 |          5.927 |          0.101 |    +121.02%
        strnlen (Arm OR 23.01) |          19 |          5.774 |          6.281 |          6.552 |          6.281 |          3.180 |          2.820 |          0.091 |
            strnlen (LI-PaRAD) |          19 |          2.695 |          2.839 |          2.893 |          2.829 |          1.844 |          6.257 |          0.116 |    +122.00%
        strnlen (Arm OR 23.01) |          20 |          5.774 |          6.271 |          6.551 |          6.256 |          3.263 |          2.980 |          0.098 |
            strnlen (LI-PaRAD) |          20 |          2.696 |          2.845 |          2.893 |          2.837 |          1.777 |          6.568 |          0.118 |    +120.56%
        strnlen (Arm OR 23.01) |          21 |          5.777 |          6.249 |          6.552 |          6.220 |          3.222 |          3.148 |          0.102 |
            strnlen (LI-PaRAD) |          21 |          2.695 |          2.833 |          2.893 |          2.829 |          1.792 |          6.915 |          0.125 |    +119.86%
        strnlen (Arm OR 23.01) |          22 |          5.776 |          6.269 |          6.551 |          6.265 |          3.100 |          3.274 |          0.103 |
            strnlen (LI-PaRAD) |          22 |          2.745 |          2.833 |          2.892 |          2.830 |          1.729 |          7.241 |          0.125 |    +121.36%
        strnlen (Arm OR 23.01) |          23 |          5.779 |          6.252 |          6.551 |          6.230 |          3.395 |          3.442 |          0.118 |
            strnlen (LI-PaRAD) |          23 |          2.808 |          2.890 |          2.893 |          2.886 |          0.542 |          7.423 |          0.041 |    +115.90%
        strnlen (Arm OR 23.01) |          24 |          5.774 |          6.265 |          6.552 |          6.247 |          3.482 |          3.582 |          0.126 |
            strnlen (LI-PaRAD) |          24 |          2.739 |          2.841 |          2.894 |          2.834 |          1.780 |          7.890 |          0.141 |    +120.43%
        strnlen (Arm OR 23.01) |          25 |          5.774 |          6.293 |          6.551 |          6.253 |          3.364 |          3.728 |          0.127 |
            strnlen (LI-PaRAD) |          25 |          2.741 |          2.850 |          2.892 |          2.836 |          1.785 |          8.212 |          0.147 |    +120.48%
        strnlen (Arm OR 23.01) |          26 |          5.776 |          6.268 |          6.552 |          6.241 |          3.310 |          3.884 |          0.131 |
            strnlen (LI-PaRAD) |          26 |          2.758 |          2.889 |          2.895 |          2.884 |          0.782 |          8.398 |          0.068 |    +116.43%
        strnlen (Arm OR 23.01) |          27 |          5.778 |          6.261 |          6.552 |          6.214 |          3.541 |          4.052 |          0.144 |
            strnlen (LI-PaRAD) |          27 |          2.760 |          2.890 |          2.893 |          2.884 |          0.733 |          8.719 |          0.066 |    +115.45%
        strnlen (Arm OR 23.01) |          28 |          5.779 |          6.265 |          6.549 |          6.247 |          3.082 |          4.178 |          0.129 |
            strnlen (LI-PaRAD) |          28 |          2.695 |          2.859 |          2.892 |          2.837 |          1.924 |          9.194 |          0.179 |    +120.18%
        strnlen (Arm OR 23.01) |          29 |          5.792 |          6.255 |          6.551 |          6.248 |          3.294 |          4.327 |          0.142 |
            strnlen (LI-PaRAD) |          29 |          2.703 |          2.856 |          2.895 |          2.840 |          1.762 |          9.513 |          0.170 |    +119.99%
        strnlen (Arm OR 23.01) |          30 |          5.780 |          6.266 |          6.552 |          6.253 |          3.047 |          4.473 |          0.138 |
            strnlen (LI-PaRAD) |          30 |          2.743 |          2.853 |          2.893 |          2.840 |          1.688 |          9.840 |          0.167 |    +120.14%
        strnlen (Arm OR 23.01) |          31 |          5.780 |          6.271 |          6.551 |          6.261 |          3.126 |          4.615 |          0.145 |
            strnlen (LI-PaRAD) |          31 |          2.698 |          2.830 |          2.892 |          2.828 |          1.774 |         10.213 |          0.182 |    +121.43%
        strnlen (Arm OR 23.01) |          32 |          6.425 |          6.428 |          6.467 |          6.429 |          0.068 |          4.636 |          0.003 |
            strnlen (LI-PaRAD) |          32 |          3.079 |          3.082 |          3.085 |          3.082 |          0.065 |          9.671 |          0.006 |    +108.61%
        strnlen (Arm OR 23.01) |          33 |          6.929 |          6.934 |          6.938 |          6.934 |          0.029 |          4.432 |          0.001 |
            strnlen (LI-PaRAD) |          33 |          4.236 |          4.238 |          4.244 |          4.238 |          0.039 |          7.252 |          0.003 |     +63.62%
        strnlen (Arm OR 23.01) |          34 |          6.930 |          6.934 |          6.938 |          6.934 |          0.026 |          4.567 |          0.001 |
            strnlen (LI-PaRAD) |          34 |          4.236 |          4.274 |          4.338 |          4.272 |          0.672 |          7.413 |          0.050 |     +62.31%
        strnlen (Arm OR 23.01) |          35 |          6.930 |          6.934 |          6.967 |          6.934 |          0.055 |          4.701 |          0.003 |
            strnlen (LI-PaRAD) |          35 |          4.236 |          4.247 |          4.335 |          4.261 |          0.657 |          7.650 |          0.050 |     +62.73%
        strnlen (Arm OR 23.01) |          36 |          6.930 |          6.934 |          6.937 |          6.934 |          0.027 |          4.835 |          0.001 |
            strnlen (LI-PaRAD) |          36 |          4.236 |          4.238 |          4.243 |          4.238 |          0.038 |          7.912 |          0.003 |     +63.62%
        strnlen (Arm OR 23.01) |          37 |          6.930 |          6.934 |          6.938 |          6.934 |          0.028 |          4.970 |          0.001 |
            strnlen (LI-PaRAD) |          37 |          4.235 |          4.238 |          4.243 |          4.238 |          0.038 |          8.131 |          0.003 |     +63.62%
