        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           1 |          1.884 |          1.893 |          1.904 |          1.893 |          0.179 |          0.492 |          0.001 |
            strnlen (LI-PaRAD) |           1 |          2.773 |          2.889 |          2.893 |          2.888 |          0.403 |          0.322 |          0.001 |     -34.46%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           2 |          2.694 |          2.696 |          2.701 |          2.697 |          0.065 |          0.691 |          0.000 |
            strnlen (LI-PaRAD) |           2 |          2.887 |          2.889 |          2.893 |          2.889 |          0.063 |          0.645 |          0.000 |      -6.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           3 |          2.695 |          2.696 |          2.700 |          2.697 |          0.063 |          1.036 |          0.001 |
            strnlen (LI-PaRAD) |           3 |          2.887 |          2.889 |          2.897 |          2.889 |          0.068 |          0.967 |          0.001 |      -6.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           4 |          2.694 |          2.696 |          2.701 |          2.696 |          0.066 |          1.382 |          0.001 |
            strnlen (LI-PaRAD) |           4 |          2.860 |          2.889 |          2.893 |          2.889 |          0.117 |          1.290 |          0.002 |      -6.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           5 |          2.694 |          2.696 |          2.701 |          2.697 |          0.066 |          1.727 |          0.001 |
            strnlen (LI-PaRAD) |           5 |          2.771 |          2.889 |          2.893 |          2.886 |          0.561 |          1.613 |          0.009 |      -6.58%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           6 |          2.695 |          2.696 |          2.738 |          2.697 |          0.167 |          2.072 |          0.003 |
            strnlen (LI-PaRAD) |           6 |          2.803 |          2.889 |          2.893 |          2.888 |          0.302 |          1.935 |          0.006 |      -6.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           7 |          2.695 |          2.696 |          2.700 |          2.696 |          0.062 |          2.418 |          0.002 |
            strnlen (LI-PaRAD) |           7 |          2.887 |          2.889 |          2.893 |          2.889 |          0.061 |          2.257 |          0.001 |      -6.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           8 |          2.695 |          2.696 |          2.703 |          2.697 |          0.070 |          2.763 |          0.002 |
            strnlen (LI-PaRAD) |           8 |          2.887 |          2.889 |          2.892 |          2.889 |          0.060 |          2.579 |          0.002 |      -6.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strnlen (GNU libc 2.39) |           9 |          2.695 |          2.696 |          2.700 |          2.697 |          0.064 |          3.108 |          0.002 |
            strnlen (LI-PaRAD) |           9 |          2.848 |          2.889 |          2.893 |          2.889 |          0.154 |          2.902 |          0.005 |      -6.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
