ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strnlen (LI-PaRAD)|1|2.745|2.889|2.893|2.874|1.24|0.324|0.004
strnlen (GNU libc 2.39)|1|2.026|2.042|2.066|2.042|0.392|0.456|0.002
strnlen (Arm OR 23.01)|1|5.776|6.291|6.552|6.284|3.027|0.148|0.005
strnlen (LI-PaRAD)|2|2.767|2.888|2.894|2.879|0.986|0.647|0.007
strnlen (GNU libc 2.39)|2|2.023|2.04|2.053|2.038|0.376|0.914|0.003
strnlen (Arm OR 23.01)|2|5.776|6.27|6.551|6.225|3.332|0.3|0.01
strnlen (LI-PaRAD)|3|2.755|2.89|2.897|2.886|0.644|0.968|0.006
strnlen (GNU libc 2.39)|3|2.695|2.696|2.701|2.697|0.078|1.036|0.001
strnlen (Arm OR 23.01)|3|5.776|6.271|6.552|6.249|3.464|0.448|0.016
strnlen (LI-PaRAD)|4|2.88|2.89|2.894|2.889|0.076|1.289|0.001
strnlen (GNU libc 2.39)|4|2.695|2.697|2.7|2.697|0.067|1.381|0.001
strnlen (Arm OR 23.01)|4|5.776|6.269|6.551|6.196|3.372|0.602|0.02
strnlen (LI-PaRAD)|5|2.695|2.889|2.893|2.88|1.128|1.617|0.019
strnlen (GNU libc 2.39)|5|2.695|2.697|2.709|2.697|0.092|1.727|0.002
strnlen (Arm OR 23.01)|5|5.78|6.256|6.552|6.246|3.263|0.746|0.024
strnlen (LI-PaRAD)|6|2.764|2.89|2.893|2.884|0.793|1.937|0.016
strnlen (GNU libc 2.39)|6|2.695|2.697|2.701|2.697|0.067|2.072|0.001
strnlen (Arm OR 23.01)|6|5.775|6.249|6.552|6.236|3.204|0.897|0.029
strnlen (LI-PaRAD)|7|2.758|2.89|2.893|2.885|0.688|2.26|0.016
strnlen (GNU libc 2.39)|7|2.695|2.697|2.701|2.697|0.071|2.417|0.002
strnlen (Arm OR 23.01)|7|5.775|6.269|6.551|6.239|3.347|1.046|0.035
strnlen (LI-PaRAD)|8|2.747|2.889|2.893|2.876|1.247|2.591|0.033
strnlen (GNU libc 2.39)|8|2.695|2.697|2.701|2.697|0.067|2.763|0.002
strnlen (Arm OR 23.01)|8|5.776|6.271|6.552|6.238|3.313|1.196|0.04
strnlen (LI-PaRAD)|9|2.763|2.89|2.898|2.886|0.628|2.905|0.019
strnlen (GNU libc 2.39)|9|2.695|2.697|2.702|2.697|0.069|3.108|0.002
strnlen (Arm OR 23.01)|9|5.776|6.249|6.55|6.2|3.043|1.353|0.042
strnlen (LI-PaRAD)|10|2.763|2.89|2.893|2.888|0.443|3.225|0.015
strnlen (GNU libc 2.39)|10|2.694|2.697|2.701|2.697|0.072|3.454|0.002
strnlen (Arm OR 23.01)|10|5.777|6.248|6.551|6.207|3.158|1.502|0.048
strnlen (LI-PaRAD)|11|2.767|2.89|2.893|2.885|0.603|3.551|0.022
strnlen (GNU libc 2.39)|11|2.694|2.697|2.704|2.697|0.074|3.799|0.003
strnlen (Arm OR 23.01)|11|5.774|6.249|6.552|6.224|3.083|1.647|0.051
strnlen (LI-PaRAD)|12|2.774|2.89|2.893|2.886|0.66|3.873|0.026
strnlen (GNU libc 2.39)|12|2.694|2.697|2.704|2.697|0.074|4.144|0.003
strnlen (Arm OR 23.01)|12|5.776|6.272|6.551|6.267|3.256|1.785|0.059
strnlen (LI-PaRAD)|13|2.756|2.89|2.893|2.878|1.076|4.208|0.046
strnlen (GNU libc 2.39)|13|2.695|2.696|2.701|2.697|0.069|4.49|0.003
strnlen (Arm OR 23.01)|13|5.775|6.268|6.549|6.248|3.196|1.94|0.062
strnlen (LI-PaRAD)|14|2.754|2.89|2.894|2.882|0.957|4.525|0.045
strnlen (GNU libc 2.39)|14|2.694|2.696|2.702|2.697|0.079|4.835|0.004
strnlen (Arm OR 23.01)|14|5.783|6.271|6.552|6.245|3.212|2.09|0.068
strnlen (LI-PaRAD)|15|2.705|2.888|2.894|2.877|1.197|4.857|0.06
strnlen (GNU libc 2.39)|15|2.694|2.697|2.732|2.697|0.146|5.18|0.008
strnlen (Arm OR 23.01)|15|5.779|6.271|6.552|6.257|3.299|2.235|0.075
strnlen (LI-PaRAD)|16|2.76|2.89|2.893|2.886|0.554|5.163|0.03
strnlen (GNU libc 2.39)|16|2.695|2.697|2.702|2.697|0.069|5.526|0.004
strnlen (Arm OR 23.01)|16|5.777|6.27|6.55|6.265|3.331|2.381|0.08
strnlen (LI-PaRAD)|17|2.796|2.889|2.893|2.886|0.521|5.486|0.029
strnlen (GNU libc 2.39)|17|3.079|3.083|3.103|3.082|0.091|5.137|0.005
strnlen (Arm OR 23.01)|17|5.779|6.27|6.552|6.245|3.471|2.538|0.088
strnlen (LI-PaRAD)|18|2.746|2.888|2.893|2.872|1.439|5.839|0.087
strnlen (GNU libc 2.39)|18|3.079|3.083|3.088|3.082|0.067|5.439|0.004
strnlen (Arm OR 23.01)|18|5.773|6.268|6.553|6.253|3.145|2.684|0.085
strnlen (LI-PaRAD)|19|2.789|2.89|2.932|2.888|0.423|6.127|0.027
strnlen (GNU libc 2.39)|19|3.079|3.083|3.089|3.082|0.069|5.741|0.004
strnlen (Arm OR 23.01)|19|5.774|6.281|6.552|6.281|3.18|2.82|0.091
strnlen (LI-PaRAD)|20|2.768|2.889|2.893|2.886|0.602|6.455|0.04
strnlen (GNU libc 2.39)|20|3.079|3.082|3.085|3.082|0.062|6.044|0.004
strnlen (Arm OR 23.01)|20|5.774|6.271|6.551|6.256|3.263|2.98|0.098
strnlen (LI-PaRAD)|21|2.762|2.888|2.894|2.877|1.09|6.799|0.076
strnlen (GNU libc 2.39)|21|3.079|3.083|3.086|3.082|0.064|6.346|0.004
strnlen (Arm OR 23.01)|21|5.777|6.249|6.552|6.22|3.222|3.148|0.102
strnlen (LI-PaRAD)|22|2.759|2.89|2.9|2.885|0.733|7.102|0.054
strnlen (GNU libc 2.39)|22|3.079|3.082|3.086|3.082|0.062|6.648|0.004
strnlen (Arm OR 23.01)|22|5.776|6.269|6.551|6.265|3.1|3.274|0.103
strnlen (LI-PaRAD)|23|2.742|2.889|2.893|2.879|1.09|7.441|0.084
strnlen (GNU libc 2.39)|23|3.079|3.082|3.086|3.082|0.062|6.95|0.004
strnlen (Arm OR 23.01)|23|5.779|6.252|6.551|6.23|3.395|3.442|0.118
strnlen (LI-PaRAD)|24|2.755|2.889|2.893|2.875|1.248|7.776|0.1
strnlen (GNU libc 2.39)|24|3.079|3.083|3.085|3.082|0.064|7.252|0.005
