        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           1 |          7.058 |          7.302 |          7.579 |          7.300 |          1.585 |          0.128 |          0.002 |
            strrchr (LI-PaRAD) |           1 |          5.063 |          5.279 |          5.418 |          5.294 |          1.750 |          0.176 |          0.003 |     +37.89%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           2 |          6.933 |          7.273 |          7.612 |          7.275 |          1.825 |          0.256 |          0.005 |
            strrchr (LI-PaRAD) |           2 |          5.005 |          5.264 |          5.410 |          5.230 |          1.984 |          0.356 |          0.007 |     +39.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           3 |          6.935 |          7.257 |          7.590 |          7.260 |          1.790 |          0.385 |          0.007 |
            strrchr (LI-PaRAD) |           3 |          4.959 |          5.217 |          5.410 |          5.215 |          2.100 |          0.536 |          0.011 |     +39.20%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           4 |          7.022 |          7.262 |          7.565 |          7.266 |          1.689 |          0.513 |          0.009 |
            strrchr (LI-PaRAD) |           4 |          4.991 |          5.266 |          5.410 |          5.243 |          2.017 |          0.711 |          0.014 |     +38.59%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           5 |          7.015 |          7.217 |          7.577 |          7.241 |          1.701 |          0.643 |          0.011 |
            strrchr (LI-PaRAD) |           5 |          5.009 |          5.229 |          5.410 |          5.212 |          2.128 |          0.894 |          0.019 |     +38.92%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           6 |          6.935 |          7.234 |          7.543 |          7.232 |          1.540 |          0.773 |          0.012 |
            strrchr (LI-PaRAD) |           6 |          5.032 |          5.261 |          5.411 |          5.235 |          1.943 |          1.068 |          0.021 |     +38.14%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           7 |          6.933 |          7.179 |          7.470 |          7.188 |          1.394 |          0.907 |          0.013 |
            strrchr (LI-PaRAD) |           7 |          5.030 |          5.252 |          5.410 |          5.228 |          1.892 |          1.248 |          0.024 |     +37.50%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           8 |          6.931 |          7.160 |          7.603 |          7.184 |          1.622 |          1.037 |          0.017 |
            strrchr (LI-PaRAD) |           8 |          5.013 |          5.268 |          5.409 |          5.240 |          2.128 |          1.423 |          0.030 |     +37.11%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           9 |          6.948 |          7.171 |          7.556 |          7.178 |          1.461 |          1.168 |          0.017 |
            strrchr (LI-PaRAD) |           9 |          4.934 |          5.015 |          5.348 |          5.074 |          1.925 |          1.653 |          0.031 |     +41.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          10 |          6.973 |          7.235 |          7.551 |          7.257 |          1.494 |          1.284 |          0.019 |
            strrchr (LI-PaRAD) |          10 |          4.982 |          5.264 |          5.413 |          5.230 |          2.044 |          1.782 |          0.037 |     +38.76%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          11 |          7.017 |          7.262 |          7.596 |          7.264 |          1.632 |          1.411 |          0.023 |
            strrchr (LI-PaRAD) |          11 |          5.013 |          5.258 |          5.416 |          5.224 |          2.063 |          1.962 |          0.041 |     +39.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          12 |          7.022 |          7.277 |          7.511 |          7.269 |          1.532 |          1.538 |          0.024 |
            strrchr (LI-PaRAD) |          12 |          4.974 |          5.245 |          5.410 |          5.224 |          2.117 |          2.140 |          0.046 |     +39.14%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          13 |          7.020 |          7.240 |          7.523 |          7.264 |          1.533 |          1.667 |          0.025 |
            strrchr (LI-PaRAD) |          13 |          5.034 |          5.269 |          5.409 |          5.250 |          1.941 |          2.307 |          0.045 |     +38.36%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          14 |          6.933 |          7.229 |          7.530 |          7.231 |          1.581 |          1.804 |          0.029 |
