        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           1 |          2.384 |          2.390 |          2.401 |          2.390 |          0.129 |          0.390 |          0.001 |
            strrchr (LI-PaRAD) |           1 |          4.980 |          5.125 |          5.405 |          5.144 |          1.869 |          0.181 |          0.003 |     -53.54%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           2 |          3.079 |          3.082 |          3.087 |          3.082 |          0.064 |          0.604 |          0.000 |
            strrchr (LI-PaRAD) |           2 |          4.958 |          5.168 |          5.395 |          5.174 |          1.938 |          0.360 |          0.007 |     -40.44%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           3 |          3.079 |          3.082 |          3.088 |          3.082 |          0.063 |          0.907 |          0.001 |
            strrchr (LI-PaRAD) |           3 |          4.948 |          5.158 |          5.407 |          5.177 |          2.115 |          0.540 |          0.011 |     -40.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           4 |          3.079 |          3.082 |          3.086 |          3.082 |          0.058 |          1.209 |          0.001 |
            strrchr (LI-PaRAD) |           4 |          4.972 |          5.174 |          5.395 |          5.178 |          2.112 |          0.720 |          0.015 |     -40.48%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           5 |          3.079 |          3.082 |          3.086 |          3.082 |          0.055 |          1.511 |          0.001 |
            strrchr (LI-PaRAD) |           5 |          4.955 |          5.134 |          5.395 |          5.151 |          1.963 |          0.904 |          0.018 |     -40.18%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           6 |          3.079 |          3.082 |          3.087 |          3.082 |          0.061 |          1.813 |          0.001 |
            strrchr (LI-PaRAD) |           6 |          4.959 |          5.120 |          5.390 |          5.124 |          1.595 |          1.091 |          0.017 |     -39.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           7 |          2.622 |          3.082 |          3.086 |          3.077 |          1.487 |          2.119 |          0.037 |
            strrchr (LI-PaRAD) |           7 |          4.959 |          5.118 |          5.408 |          5.135 |          2.004 |          1.270 |          0.025 |     -40.08%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           8 |          3.079 |          3.082 |          3.108 |          3.082 |          0.107 |          2.417 |          0.003 |
            strrchr (LI-PaRAD) |           8 |          5.022 |          5.230 |          5.409 |          5.254 |          1.808 |          1.419 |          0.026 |     -41.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |           9 |          3.079 |          3.082 |          3.085 |          3.082 |          0.061 |          2.720 |          0.002 |
            strrchr (LI-PaRAD) |           9 |          4.943 |          5.168 |          5.410 |          5.163 |          2.016 |          1.624 |          0.033 |     -40.31%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          10 |          3.079 |          3.082 |          3.088 |          3.082 |          0.063 |          3.022 |          0.002 |
            strrchr (LI-PaRAD) |          10 |          4.958 |          5.132 |          5.404 |          5.144 |          1.946 |          1.811 |          0.035 |     -40.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          11 |          3.079 |          3.082 |          3.086 |          3.082 |          0.061 |          3.324 |          0.002 |
            strrchr (LI-PaRAD) |          11 |          4.985 |          5.106 |          5.381 |          5.133 |          1.868 |          1.996 |          0.037 |     -39.96%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          12 |          3.079 |          3.082 |          3.085 |          3.082 |          0.059 |          3.627 |          0.002 |
            strrchr (LI-PaRAD) |          12 |          4.954 |          5.114 |          5.403 |          5.136 |          1.986 |          2.177 |          0.043 |     -40.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          13 |          3.079 |          3.082 |          3.085 |          3.082 |          0.058 |          3.929 |          0.002 |
            strrchr (LI-PaRAD) |          13 |          4.926 |          5.131 |          5.404 |          5.139 |          1.936 |          2.357 |          0.045 |     -40.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          14 |          3.079 |          3.082 |          3.088 |          3.082 |          0.062 |          4.231 |          0.003 |
            strrchr (LI-PaRAD) |          14 |          4.986 |          5.158 |          5.404 |          5.157 |          1.961 |          2.529 |          0.049 |     -40.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          15 |          3.079 |          3.082 |          3.086 |          3.082 |          0.060 |          4.533 |          0.003 |
            strrchr (LI-PaRAD) |          15 |          4.985 |          5.146 |          5.394 |          5.151 |          1.696 |          2.713 |          0.046 |     -40.18%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          16 |          3.849 |          3.852 |          3.856 |          3.852 |          0.033 |          3.868 |          0.001 |
            strrchr (LI-PaRAD) |          16 |          4.937 |          5.162 |          5.404 |          5.164 |          1.916 |          2.887 |          0.055 |     -25.40%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          17 |          3.848 |          3.853 |          3.866 |          3.852 |          0.049 |          4.110 |          0.002 |
            strrchr (LI-PaRAD) |          17 |          4.986 |          5.127 |          5.407 |          5.149 |          1.986 |          3.076 |          0.061 |     -25.18%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          18 |          3.849 |          3.852 |          3.855 |          3.852 |          0.033 |          4.352 |          0.001 |
            strrchr (LI-PaRAD) |          18 |          4.986 |          5.130 |          5.406 |          5.148 |          1.949 |          3.258 |          0.063 |     -25.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          19 |          3.849 |          3.853 |          3.856 |          3.852 |          0.036 |          4.593 |          0.002 |
            strrchr (LI-PaRAD) |          19 |          4.967 |          5.133 |          5.393 |          5.156 |          1.952 |          3.433 |          0.066 |     -25.28%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          20 |          3.849 |          3.853 |          3.855 |          3.852 |          0.034 |          4.835 |          0.002 |
            strrchr (LI-PaRAD) |          20 |          4.937 |          5.105 |          5.395 |          5.122 |          2.046 |          3.638 |          0.074 |     -24.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          21 |          3.848 |          3.853 |          3.860 |          3.852 |          0.040 |          5.077 |          0.002 |
            strrchr (LI-PaRAD) |          21 |          4.984 |          5.133 |          5.404 |          5.148 |          1.753 |          3.800 |          0.066 |     -25.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          22 |          3.849 |          3.853 |          3.858 |          3.852 |          0.036 |          5.319 |          0.002 |
            strrchr (LI-PaRAD) |          22 |          4.993 |          5.126 |          5.395 |          5.140 |          1.902 |          3.988 |          0.075 |     -25.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          23 |          3.848 |          3.852 |          3.856 |          3.852 |          0.036 |          5.561 |          0.002 |
            strrchr (LI-PaRAD) |          23 |          4.976 |          5.175 |          5.392 |          5.163 |          1.929 |          4.150 |          0.080 |     -25.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          24 |          3.849 |          3.852 |          3.860 |          3.852 |          0.034 |          5.802 |          0.002 |
            strrchr (LI-PaRAD) |          24 |          4.931 |          5.109 |          5.392 |          5.133 |          1.914 |          4.356 |          0.083 |     -24.94%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          25 |          3.849 |          3.852 |          3.855 |          3.852 |          0.035 |          6.044 |          0.002 |
            strrchr (LI-PaRAD) |          25 |          5.017 |          5.194 |          5.404 |          5.187 |          1.976 |          4.491 |          0.088 |     -25.73%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strrchr (GNU libc 2.39) |          26 |          3.849 |          3.852 |          3.879 |          3.852 |          0.075 |          6.286 |          0.005 |
