ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strrchr (LI-PaRAD)|1|5.39|5.393|5.4|5.393|0.041|0.173|0.0
strrchr (GNU libc 2.39)|1|2.471|2.482|2.502|2.483|0.322|0.375|0.001
strrchr (Arm OR 23.01)|1|7.195|7.54|7.897|7.542|2.026|0.124|0.003
strrchr (LI-PaRAD)|2|5.39|5.394|5.402|5.394|0.045|0.345|0.0
strrchr (GNU libc 2.39)|2|3.079|3.082|3.086|3.082|0.061|0.604|0.0
strrchr (Arm OR 23.01)|2|7.277|7.599|7.9|7.593|1.822|0.245|0.004
strrchr (LI-PaRAD)|3|5.389|5.393|5.397|5.393|0.035|0.518|0.0
strrchr (GNU libc 2.39)|3|3.079|3.082|3.087|3.082|0.066|0.907|0.001
strrchr (Arm OR 23.01)|3|7.271|7.587|7.896|7.592|1.596|0.368|0.006
strrchr (LI-PaRAD)|4|5.39|5.394|5.398|5.393|0.037|0.691|0.0
strrchr (GNU libc 2.39)|4|3.079|3.082|3.089|3.082|0.07|1.209|0.001
strrchr (Arm OR 23.01)|4|7.219|7.61|7.899|7.61|1.853|0.49|0.009
strrchr (LI-PaRAD)|5|5.39|5.394|5.397|5.393|0.036|0.863|0.0
strrchr (GNU libc 2.39)|5|3.079|3.082|3.089|3.082|0.066|1.511|0.001
strrchr (Arm OR 23.01)|5|7.252|7.58|7.898|7.566|1.953|0.616|0.012
strrchr (LI-PaRAD)|6|5.39|5.394|5.397|5.393|0.041|1.036|0.0
strrchr (GNU libc 2.39)|6|3.079|3.082|3.092|3.082|0.069|1.813|0.001
strrchr (Arm OR 23.01)|6|7.229|7.614|7.898|7.62|1.973|0.734|0.015
strrchr (LI-PaRAD)|7|5.39|5.393|5.425|5.394|0.07|1.209|0.001
strrchr (GNU libc 2.39)|7|3.079|3.082|3.085|3.082|0.063|2.115|0.001
strrchr (Arm OR 23.01)|7|7.21|7.584|7.898|7.581|2.041|0.86|0.018
strrchr (LI-PaRAD)|8|5.39|5.394|5.399|5.393|0.036|1.381|0.0
strrchr (GNU libc 2.39)|8|3.079|3.082|3.086|3.082|0.064|2.418|0.002
