        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        memcmp (GNU libc 2.39) |           1 |          2.310 |          2.311 |          2.321 |          2.312 |          0.090 |          0.403 |          0.000 |
             memcmp (LI-PaRAD) |           1 |          3.079 |          3.082 |          3.102 |          3.082 |          0.093 |          0.302 |          0.000 |     -25.00%
        memcmp (GNU libc 2.39) |           2 |          3.464 |          3.467 |          3.471 |          3.467 |          0.057 |          0.537 |          0.000 |
             memcmp (LI-PaRAD) |           2 |          3.079 |          3.082 |          3.097 |          3.082 |          0.078 |          0.604 |          0.000 |     +12.49%
        memcmp (GNU libc 2.39) |           3 |          3.464 |          3.467 |          3.494 |          3.468 |          0.100 |          0.806 |          0.001 |
             memcmp (LI-PaRAD) |           3 |          3.079 |          3.083 |          3.086 |          3.082 |          0.072 |          0.906 |          0.001 |     +12.50%
        memcmp (GNU libc 2.39) |           4 |          3.079 |          3.082 |          3.087 |          3.082 |          0.076 |          1.209 |          0.001 |
             memcmp (LI-PaRAD) |           4 |          3.079 |          3.083 |          3.094 |          3.083 |          0.082 |          1.209 |          0.001 |      -0.00%
        memcmp (GNU libc 2.39) |           5 |          3.079 |          3.083 |          3.086 |          3.082 |          0.071 |          1.511 |          0.001 |
             memcmp (LI-PaRAD) |           5 |          3.079 |          3.083 |          3.088 |          3.082 |          0.072 |          1.511 |          0.001 |      -0.00%
        memcmp (GNU libc 2.39) |           6 |          3.079 |          3.082 |          3.090 |          3.082 |          0.071 |          1.813 |          0.001 |
             memcmp (LI-PaRAD) |           6 |          3.079 |          3.082 |          3.087 |          3.082 |          0.069 |          1.813 |          0.001 |      -0.00%
        memcmp (GNU libc 2.39) |           7 |          3.079 |          3.082 |          3.096 |          3.082 |          0.081 |          2.115 |          0.002 |
             memcmp (LI-PaRAD) |           7 |          3.079 |          3.082 |          3.091 |          3.082 |          0.077 |          2.115 |          0.002 |      -0.01%
        memcmp (GNU libc 2.39) |           8 |          2.695 |          2.697 |          2.703 |          2.697 |          0.080 |          2.763 |          0.002 |
             memcmp (LI-PaRAD) |           8 |          3.079 |          3.082 |          3.086 |          3.082 |          0.067 |          2.417 |          0.002 |     -12.50%
        memcmp (GNU libc 2.39) |           9 |          1.995 |          1.998 |          2.701 |          2.067 |         10.000 |          4.087 |          0.322 |
             memcmp (LI-PaRAD) |           9 |          3.079 |          3.082 |          3.144 |          3.083 |          0.212 |          2.719 |          0.006 |     -32.96%
        memcmp (GNU libc 2.39) |          10 |          2.695 |          2.697 |          2.702 |          2.697 |          0.077 |          3.453 |          0.003 |
             memcmp (LI-PaRAD) |          10 |          3.079 |          3.083 |          3.089 |          3.082 |          0.071 |          3.022 |          0.002 |     -12.50%
        memcmp (GNU libc 2.39) |          11 |          1.991 |          2.000 |          2.702 |          2.201 |         14.399 |          4.741 |          0.602 |
