        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |           1 |          1.923 |          1.926 |          1.948 |          1.926 |          0.153 |          0.483 |          0.001 |
             memcpy (LI-PaRAD) |           1 |          2.308 |          2.311 |          2.316 |          2.311 |          0.064 |          0.403 |          0.000 |     -16.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |           2 |          2.308 |          2.311 |          2.316 |          2.311 |          0.066 |          0.806 |          0.001 |
             memcpy (LI-PaRAD) |           2 |          2.308 |          2.311 |          2.315 |          2.311 |          0.068 |          0.806 |          0.001 |      -0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |           3 |          2.308 |          2.311 |          2.315 |          2.311 |          0.067 |          1.209 |          0.001 |
             memcpy (LI-PaRAD) |           3 |          2.308 |          2.311 |          2.315 |          2.311 |          0.069 |          1.209 |          0.001 |      -0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |           4 |          2.308 |          2.311 |          2.315 |          2.311 |          0.067 |          1.612 |          0.001 |
             memcpy (LI-PaRAD) |           4 |          2.308 |          2.311 |          2.315 |          2.311 |          0.066 |          1.612 |          0.001 |      +0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |           5 |          2.308 |          2.311 |          2.315 |          2.311 |          0.064 |          2.015 |          0.001 |
             memcpy (LI-PaRAD) |           5 |          2.308 |          2.311 |          2.316 |          2.311 |          0.068 |          2.015 |          0.001 |      +0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         memcpy (Arm OR 23.01) |           6 |          2.308 |          2.311 |          2.318 |          2.311 |          0.076 |          2.418 |          0.002 |
             memcpy (LI-PaRAD) |           6 |          2.308 |          2.311 |          2.315 |          2.311 |          0.069 |          2.418 |          0.002 |      +0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
