        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         memcpy (Arm OR 23.01) |           1 |          2.504 |          2.506 |          2.536 |          2.507 |          0.158 |          0.371 |          0.001 |
             memcpy (LI-PaRAD) |           1 |          2.310 |          2.311 |          2.499 |          2.313 |          0.811 |          0.403 |          0.003 |      +8.37%
         memcpy (Arm OR 23.01) |           2 |          2.504 |          2.506 |          2.517 |          2.507 |          0.080 |          0.743 |          0.001 |
             memcpy (LI-PaRAD) |           2 |          2.310 |          2.311 |          2.316 |          2.312 |          0.074 |          0.806 |          0.001 |      +8.44%
         memcpy (Arm OR 23.01) |           3 |          2.450 |          2.505 |          2.511 |          2.505 |          0.233 |          1.115 |          0.003 |
             memcpy (LI-PaRAD) |           3 |          2.310 |          2.311 |          2.508 |          2.314 |          0.850 |          1.208 |          0.009 |      +8.28%
         memcpy (Arm OR 23.01) |           4 |          2.364 |          2.508 |          2.514 |          2.505 |          0.651 |          1.487 |          0.010 |
             memcpy (LI-PaRAD) |           4 |          2.310 |          2.311 |          2.316 |          2.311 |          0.068 |          1.612 |          0.001 |      +8.38%
         memcpy (Arm OR 23.01) |           5 |          2.503 |          2.505 |          2.511 |          2.506 |          0.081 |          1.858 |          0.002 |
             memcpy (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.503 |          2.314 |          0.827 |          2.013 |          0.015 |      +8.32%
         memcpy (Arm OR 23.01) |           6 |          2.504 |          2.507 |          2.515 |          2.507 |          0.098 |          2.229 |          0.002 |
             memcpy (LI-PaRAD) |           6 |          2.310 |          2.311 |          2.318 |          2.312 |          0.077 |          2.417 |          0.002 |      +8.47%
         memcpy (Arm OR 23.01) |           7 |          2.503 |          2.505 |          2.511 |          2.506 |          0.076 |          2.602 |          0.002 |
             memcpy (LI-PaRAD) |           7 |          2.310 |          2.311 |          2.502 |          2.313 |          0.821 |          2.818 |          0.021 |      +8.31%
         memcpy (Arm OR 23.01) |           8 |          2.319 |          2.507 |          2.515 |          2.505 |          0.759 |          2.974 |          0.024 |
             memcpy (LI-PaRAD) |           8 |          2.310 |          2.311 |          2.316 |          2.311 |          0.068 |          3.223 |          0.002 |      +8.39%
         memcpy (Arm OR 23.01) |           9 |          2.365 |          2.505 |          2.511 |          2.505 |          0.567 |          3.347 |          0.020 |
             memcpy (LI-PaRAD) |           9 |          2.310 |          2.311 |          2.317 |          2.312 |          0.082 |          3.626 |          0.003 |      +8.35%
         memcpy (Arm OR 23.01) |          10 |          2.504 |          2.506 |          2.700 |          2.509 |          0.771 |          3.713 |          0.027 |
             memcpy (LI-PaRAD) |          10 |          2.310 |          2.311 |          2.316 |          2.312 |          0.073 |          4.029 |          0.003 |      +8.52%
         memcpy (Arm OR 23.01) |          11 |          2.503 |          2.505 |          2.511 |          2.506 |          0.078 |          4.088 |          0.003 |
             memcpy (LI-PaRAD) |          11 |          2.310 |          2.311 |          2.317 |          2.312 |          0.073 |          4.432 |          0.003 |      +8.41%
         memcpy (Arm OR 23.01) |          12 |          2.356 |          2.509 |          2.697 |          2.504 |          1.336 |          4.465 |          0.060 |
             memcpy (LI-PaRAD) |          12 |          2.310 |          2.311 |          2.317 |          2.312 |          0.082 |          4.835 |          0.004 |      +8.31%
         memcpy (Arm OR 23.01) |          13 |          2.447 |          2.505 |          2.511 |          2.505 |          0.249 |          4.832 |          0.012 |
             memcpy (LI-PaRAD) |          13 |          2.310 |          2.311 |          2.317 |          2.312 |          0.084 |          5.238 |          0.004 |      +8.39%
         memcpy (Arm OR 23.01) |          14 |          2.411 |          2.506 |          2.702 |          2.508 |          0.873 |          5.200 |          0.043 |
             memcpy (LI-PaRAD) |          14 |          2.310 |          2.311 |          2.316 |          2.311 |          0.072 |          5.641 |          0.004 |      +8.49%
         memcpy (Arm OR 23.01) |          15 |          2.427 |          2.505 |          2.510 |          2.505 |          0.320 |          5.577 |          0.018 |
             memcpy (LI-PaRAD) |          15 |          2.310 |          2.311 |          2.317 |          2.312 |          0.079 |          6.043 |          0.005 |      +8.37%
         memcpy (Arm OR 23.01) |          16 |          2.315 |          2.509 |          2.701 |          2.503 |          1.446 |          5.954 |          0.088 |
