        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           1 |          1.923 |          1.926 |          1.940 |          1.926 |          0.129 |          0.483 |          0.001 |
             memcpy (LI-PaRAD) |           1 |          1.667 |          2.310 |          2.315 |          2.104 |         14.256 |          0.453 |          0.072 |      -8.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           2 |          3.079 |          3.082 |          3.086 |          3.082 |          0.061 |          0.604 |          0.000 |
             memcpy (LI-PaRAD) |           2 |          2.308 |          2.311 |          2.330 |          2.312 |          0.109 |          0.806 |          0.001 |     +33.32%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           3 |          3.079 |          3.082 |          3.093 |          3.082 |          0.070 |          0.907 |          0.001 |
             memcpy (LI-PaRAD) |           3 |          2.310 |          2.311 |          2.315 |          2.311 |          0.062 |          1.209 |          0.001 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           4 |          3.079 |          3.082 |          3.087 |          3.082 |          0.062 |          1.209 |          0.001 |
             memcpy (LI-PaRAD) |           4 |          2.310 |          2.311 |          2.316 |          2.311 |          0.067 |          1.612 |          0.001 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           5 |          3.079 |          3.082 |          3.088 |          3.082 |          0.067 |          1.511 |          0.001 |
             memcpy (LI-PaRAD) |           5 |          2.308 |          2.311 |          2.316 |          2.311 |          0.067 |          2.015 |          0.001 |     +33.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           6 |          3.079 |          3.082 |          3.085 |          3.082 |          0.055 |          1.813 |          0.001 |
             memcpy (LI-PaRAD) |           6 |          2.308 |          2.311 |          2.316 |          2.311 |          0.073 |          2.418 |          0.002 |     +33.32%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           7 |          3.079 |          3.082 |          3.086 |          3.082 |          0.064 |          2.115 |          0.001 |
             memcpy (LI-PaRAD) |           7 |          2.308 |          2.311 |          2.316 |          2.311 |          0.073 |          2.820 |          0.002 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           8 |          2.694 |          2.696 |          2.701 |          2.697 |          0.066 |          2.763 |          0.002 |
             memcpy (LI-PaRAD) |           8 |          2.309 |          2.311 |          2.316 |          2.311 |          0.061 |          3.224 |          0.002 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |           9 |          2.694 |          2.696 |          2.713 |          2.697 |          0.095 |          3.108 |          0.003 |
             memcpy (LI-PaRAD) |           9 |          2.310 |          2.311 |          2.314 |          2.311 |          0.060 |          3.627 |          0.002 |     +16.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |          10 |          2.695 |          2.696 |          2.700 |          2.696 |          0.058 |          3.454 |          0.002 |
             memcpy (LI-PaRAD) |          10 |          2.308 |          2.311 |          2.315 |          2.311 |          0.071 |          4.029 |          0.003 |     +16.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        memcpy (GNU libc 2.39) |          11 |          2.694 |          2.696 |          2.701 |          2.697 |          0.064 |          3.799 |          0.002 |
