ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
memcpy (LI-PaRAD)|1|1.667|1.67|17.949|3.415|146.932|0.503|0.158
memcpy (Arm OR 23.01)|1|1.923|1.927|17.939|3.67|136.52|0.436|0.135
memcpy (GNU libc 2.39)|1|1.923|1.927|17.942|3.987|135.114|0.428|0.145
memcpy (LI-PaRAD)|2|1.667|1.67|17.913|3.434|145.951|0.996|0.318
memcpy (Arm OR 23.01)|2|1.923|1.927|18.071|3.802|134.446|0.86|0.279
memcpy (GNU libc 2.39)|2|1.923|1.927|18.306|3.832|136.074|0.864|0.281
memcpy (LI-PaRAD)|3|1.667|1.671|17.677|3.426|146.15|1.499|0.476
memcpy (Arm OR 23.01)|3|1.923|1.927|18.222|3.842|135.549|1.289|0.42
memcpy (GNU libc 2.39)|3|1.923|1.927|17.938|3.828|135.965|1.296|0.421
memcpy (LI-PaRAD)|4|1.667|1.67|18.088|3.455|145.05|1.974|0.637
memcpy (Arm OR 23.01)|4|1.923|1.927|17.958|3.951|134.039|1.709|0.579
memcpy (GNU libc 2.39)|4|1.538|1.542|17.665|3.088|152.335|2.199|0.66
memcpy (LI-PaRAD)|5|1.667|1.671|17.688|3.445|145.186|2.475|0.795
memcpy (Arm OR 23.01)|5|1.923|1.927|17.933|3.828|135.959|2.161|0.702
memcpy (GNU libc 2.39)|5|1.538|1.542|18.396|3.157|152.848|2.723|0.839
memcpy (LI-PaRAD)|6|1.667|1.67|17.954|3.441|145.628|2.979|0.953
memcpy (Arm OR 23.01)|6|1.923|1.927|18.203|3.854|135.038|2.564|0.839
memcpy (GNU libc 2.39)|6|1.538|1.542|18.603|3.182|151.7|3.237|1.019
memcpy (LI-PaRAD)|7|1.667|1.67|17.733|3.438|145.563|3.477|1.112
memcpy (Arm OR 23.01)|7|1.923|1.927|18.033|3.852|134.985|2.992|0.979
memcpy (GNU libc 2.39)|7|1.538|1.542|18.481|3.192|151.012|3.758|1.196
memcpy (LI-PaRAD)|8|1.667|1.67|18.249|3.444|145.751|3.973|1.271
memcpy (Arm OR 23.01)|8|1.923|1.927|17.935|3.828|135.942|3.457|1.122
memcpy (GNU libc 2.39)|8|1.346|1.349|17.656|2.779|165.248|5.066|1.459
memcpy (LI-PaRAD)|9|1.667|1.67|17.896|3.44|145.627|4.47|1.43
memcpy (Arm OR 23.01)|9|1.923|1.927|18.164|3.774|132.848|3.849|1.252
memcpy (GNU libc 2.39)|9|1.346|1.349|17.358|2.617|166.048|5.761|1.556
memcpy (LI-PaRAD)|10|1.667|1.671|18.184|3.298|145.822|4.984|1.53
memcpy (Arm OR 23.01)|10|1.923|1.927|17.939|3.947|134.194|4.28|1.448
memcpy (GNU libc 2.39)|10|1.346|1.35|17.859|2.779|161.265|6.226|1.87
memcpy (LI-PaRAD)|11|1.667|1.67|18.092|3.296|145.804|5.485|1.684
memcpy (Arm OR 23.01)|11|1.923|1.927|17.952|3.99|134.957|4.698|1.596
memcpy (GNU libc 2.39)|11|1.346|1.349|17.807|2.78|165.48|6.973|2.007
memcpy (LI-PaRAD)|12|1.667|1.67|18.066|3.296|145.794|5.984|1.837
memcpy (Arm OR 23.01)|12|1.923|1.926|18.301|3.99|135.24|5.136|1.743
memcpy (GNU libc 2.39)|12|1.346|1.349|17.801|2.779|165.413|7.606|2.189
memcpy (LI-PaRAD)|13|1.667|1.67|18.049|3.415|143.828|6.418|2.064
memcpy (Arm OR 23.01)|13|1.923|1.927|18.292|3.871|134.696|5.576|1.858
memcpy (GNU libc 2.39)|13|1.346|1.349|29.351|2.948|173.062|8.053|2.462
memcpy (LI-PaRAD)|14|1.667|1.67|17.718|3.38|145.307|7.02|2.211
memcpy (Arm OR 23.01)|14|1.923|1.927|18.172|3.838|135.71|6.028|1.963
memcpy (GNU libc 2.39)|14|1.346|1.349|18.276|2.784|165.701|8.874|2.554
memcpy (LI-PaRAD)|15|1.667|1.67|17.724|3.426|146.207|7.497|2.379
memcpy (Arm OR 23.01)|15|1.923|1.927|18.252|3.842|135.57|6.447|2.102
memcpy (GNU libc 2.39)|15|1.346|1.349|18.212|2.831|162.51|9.293|2.83
memcpy (LI-PaRAD)|16|1.667|1.671|18.104|3.43|146.344|7.994|2.537
memcpy (Arm OR 23.01)|16|1.923|1.927|18.159|3.846|135.357|6.862|2.24
memcpy (GNU libc 2.39)|16|1.154|1.157|17.225|2.437|178.363|11.87|3.306
memcpy (LI-PaRAD)|17|1.667|1.67|21.696|3.472|147.89|8.468|2.703
memcpy (Arm OR 23.01)|17|1.923|1.927|18.312|3.847|135.422|7.293|2.381
memcpy (GNU libc 2.39)|17|1.154|1.157|17.187|2.424|179.274|12.685|3.467
memcpy (LI-PaRAD)|18|1.667|1.67|18.211|3.306|145.867|9.042|2.801
memcpy (Arm OR 23.01)|18|1.923|1.927|18.144|3.842|135.527|7.736|2.522
memcpy (GNU libc 2.39)|18|1.154|1.157|29.165|2.459|189.856|13.13|3.766
memcpy (LI-PaRAD)|19|1.667|1.67|17.839|3.439|145.597|9.437|3.02
memcpy (Arm OR 23.01)|19|1.923|1.927|18.094|4.004|134.5|8.067|2.751
memcpy (GNU libc 2.39)|19|1.154|1.157|18.3|2.47|177.31|13.948|4.027
memcpy (LI-PaRAD)|20|1.667|1.67|18.309|3.438|146.11|9.963|3.175
memcpy (Arm OR 23.01)|20|1.923|1.927|17.997|3.812|133.905|8.549|2.789
memcpy (GNU libc 2.39)|20|1.154|1.157|17.281|2.437|178.404|14.843|4.134
memcpy (LI-PaRAD)|21|1.666|1.67|17.75|3.426|146.216|10.495|3.33
memcpy (Arm OR 23.01)|21|1.923|1.927|18.305|3.851|135.261|8.992|2.94
memcpy (GNU libc 2.39)|21|1.154|1.157|18.018|2.331|176.302|15.407|4.327
memcpy (LI-PaRAD)|22|1.667|1.67|18.121|3.43|146.366|10.993|3.489
memcpy (Arm OR 23.01)|22|1.923|1.927|18.171|3.806|134.302|9.439|3.072
memcpy (GNU libc 2.39)|22|1.154|1.157|17.611|2.327|175.969|16.142|4.532
memcpy (LI-PaRAD)|23|1.667|1.67|17.885|3.421|146.586|11.529|3.643
memcpy (Arm OR 23.01)|23|1.923|1.926|17.944|3.847|135.133|9.85|3.219
memcpy (GNU libc 2.39)|23|1.154|1.157|17.815|2.465|176.943|16.883|4.873
memcpy (LI-PaRAD)|24|1.667|1.67|17.836|3.427|146.235|11.992|3.805
memcpy (Arm OR 23.01)|24|1.923|1.927|17.957|3.844|135.275|10.293|3.36
memcpy (GNU libc 2.39)|24|1.154|1.157|17.167|2.266|180.308|18.076|4.601
memcpy (LI-PaRAD)|25|1.667|1.67|18.18|3.312|143.505|12.508|3.925
memcpy (Arm OR 23.01)|25|1.923|1.927|18.198|3.846|135.378|10.725|3.501
memcpy (GNU libc 2.39)|25|1.154|1.157|18.291|2.493|175.521|18.152|5.417
memcpy (LI-PaRAD)|26|1.667|1.67|17.927|3.422|146.595|13.032|4.117
memcpy (Arm OR 23.01)|26|1.923|1.927|17.974|3.847|135.136|11.134|3.639
memcpy (GNU libc 2.39)|26|1.154|1.157|18.302|2.323|177.525|19.18|5.291
memcpy (LI-PaRAD)|27|1.667|1.67|18.218|3.418|147.065|13.576|4.272
memcpy (Arm OR 23.01)|27|1.923|1.927|18.074|3.797|134.615|11.63|3.775
memcpy (GNU libc 2.39)|27|1.154|1.157|17.591|2.463|176.803|19.82|5.72
memcpy (LI-PaRAD)|28|1.667|1.671|17.827|3.375|145.655|14.078|4.415
memcpy (Arm OR 23.01)|28|1.923|1.926|21.932|3.881|137.32|12.033|3.931
memcpy (GNU libc 2.39)|28|1.154|1.157|18.176|2.434|179.94|20.885|5.712
memcpy (LI-PaRAD)|29|1.667|1.671|18.028|3.423|146.633|14.533|4.592
memcpy (Arm OR 23.01)|29|1.923|1.927|18.027|3.801|134.404|12.464|4.05
memcpy (GNU libc 2.39)|29|1.154|1.157|17.166|2.266|180.351|21.852|5.562
memcpy (LI-PaRAD)|30|1.667|1.67|17.917|3.428|146.275|14.992|4.757
memcpy (Arm OR 23.01)|30|1.923|1.927|18.011|3.844|135.315|12.87|4.201
memcpy (GNU libc 2.39)|30|1.154|1.157|17.797|2.34|175.185|21.891|6.254
memcpy (LI-PaRAD)|31|1.667|1.671|18.238|3.431|146.401|15.489|4.916
memcpy (Arm OR 23.01)|31|1.923|1.927|18.24|3.846|135.394|13.298|4.342
memcpy (GNU libc 2.39)|31|1.154|1.157|18.257|2.469|177.276|22.758|6.57
memcpy (LI-PaRAD)|32|1.667|1.67|18.014|3.416|146.975|16.091|5.062
