        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           1 |          7.248 |          7.399 |          7.632 |          7.404 |          1.112 |          0.126 |          0.001 |
             strchr (LI-PaRAD) |           1 |          4.364 |          4.445 |          4.568 |          4.454 |          1.037 |          0.209 |          0.002 |     +66.21%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           2 |          7.288 |          7.406 |          7.700 |          7.421 |          1.256 |          0.251 |          0.003 |
             strchr (LI-PaRAD) |           2 |          4.364 |          4.445 |          4.585 |          4.450 |          1.069 |          0.419 |          0.004 |     +66.78%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           3 |          7.263 |          7.399 |          7.620 |          7.409 |          1.040 |          0.377 |          0.004 |
             strchr (LI-PaRAD) |           3 |          4.364 |          4.454 |          4.604 |          4.460 |          1.158 |          0.627 |          0.007 |     +66.12%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           4 |          7.264 |          7.398 |          7.638 |          7.402 |          0.946 |          0.503 |          0.005 |
             strchr (LI-PaRAD) |           4 |          4.364 |          4.442 |          4.561 |          4.449 |          1.096 |          0.837 |          0.009 |     +66.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           5 |          7.215 |          7.402 |          7.704 |          7.416 |          1.174 |          0.628 |          0.007 |
             strchr (LI-PaRAD) |           5 |          4.364 |          4.440 |          4.593 |          4.455 |          1.085 |          1.045 |          0.011 |     +66.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           6 |          7.294 |          7.437 |          7.641 |          7.433 |          1.210 |          0.752 |          0.009 |
             strchr (LI-PaRAD) |           6 |          4.365 |          4.451 |          4.581 |          4.459 |          1.027 |          1.253 |          0.013 |     +66.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           7 |          7.314 |          7.404 |          7.615 |          7.407 |          0.987 |          0.880 |          0.009 |
             strchr (LI-PaRAD) |           7 |          4.364 |          4.445 |          4.602 |          4.455 |          1.123 |          1.463 |          0.016 |     +66.26%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           8 |          7.288 |          7.421 |          7.676 |          7.426 |          1.153 |          1.003 |          0.011 |
             strchr (LI-PaRAD) |           8 |          4.364 |          4.442 |          4.599 |          4.452 |          1.103 |          1.674 |          0.018 |     +66.81%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |           9 |          7.305 |          7.401 |          7.665 |          7.419 |          1.118 |          1.130 |          0.012 |
             strchr (LI-PaRAD) |           9 |          4.364 |          4.445 |          4.602 |          4.459 |          1.147 |          1.880 |          0.021 |     +66.36%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          10 |          7.264 |          7.417 |          7.652 |          7.423 |          1.177 |          1.255 |          0.015 |
             strchr (LI-PaRAD) |          10 |          4.365 |          4.444 |          4.598 |          4.453 |          1.101 |          2.092 |          0.023 |     +66.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          11 |          7.244 |          7.413 |          7.593 |          7.415 |          0.956 |          1.382 |          0.013 |
             strchr (LI-PaRAD) |          11 |          4.364 |          4.445 |          4.572 |          4.451 |          0.947 |          2.302 |          0.022 |     +66.61%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          12 |          7.315 |          7.400 |          7.642 |          7.411 |          1.103 |          1.508 |          0.017 |
             strchr (LI-PaRAD) |          12 |          4.364 |          4.446 |          4.571 |          4.449 |          1.079 |          2.512 |          0.027 |     +66.59%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          13 |          7.262 |          7.402 |          7.671 |          7.413 |          1.075 |          1.633 |          0.017 |
             strchr (LI-PaRAD) |          13 |          4.364 |          4.445 |          4.593 |          4.448 |          0.924 |          2.722 |          0.025 |     +66.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          14 |          7.278 |          7.415 |          7.616 |          7.418 |          1.094 |          1.758 |          0.019 |
             strchr (LI-PaRAD) |          14 |          4.364 |          4.445 |          4.568 |          4.449 |          1.095 |          2.931 |          0.032 |     +66.72%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          15 |          7.261 |          7.397 |          7.673 |          7.425 |          1.314 |          1.882 |          0.024 |
             strchr (LI-PaRAD) |          15 |          4.364 |          4.446 |          4.575 |          4.450 |          1.072 |          3.140 |          0.034 |     +66.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          16 |          7.237 |          7.418 |          7.678 |          7.426 |          1.215 |          2.007 |          0.024 |
             strchr (LI-PaRAD) |          16 |          4.364 |          4.432 |          4.561 |          4.434 |          1.117 |          3.361 |          0.037 |     +67.49%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          17 |          7.210 |          7.381 |          7.660 |          7.397 |          1.118 |          2.141 |          0.024 |
             strchr (LI-PaRAD) |          17 |          4.365 |          4.443 |          4.583 |          4.454 |          1.061 |          3.555 |          0.037 |     +66.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          18 |          7.278 |          7.404 |          7.661 |          7.415 |          1.124 |          2.261 |          0.025 |
             strchr (LI-PaRAD) |          18 |          4.365 |          4.445 |          4.583 |          4.453 |          1.088 |          3.765 |          0.041 |     +66.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          19 |          7.288 |          7.399 |          7.608 |          7.403 |          1.041 |          2.390 |          0.025 |
             strchr (LI-PaRAD) |          19 |          4.364 |          4.435 |          4.592 |          4.444 |          0.967 |          3.982 |          0.038 |     +66.59%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          20 |          7.262 |          7.400 |          7.620 |          7.408 |          1.044 |          2.515 |          0.026 |
             strchr (LI-PaRAD) |          20 |          4.364 |          4.445 |          4.573 |          4.455 |          1.120 |          4.181 |          0.047 |     +66.27%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          21 |          7.238 |          7.414 |          7.665 |          7.423 |          1.209 |          2.635 |          0.032 |
             strchr (LI-PaRAD) |          21 |          4.364 |          4.433 |          4.605 |          4.439 |          1.149 |          4.407 |          0.050 |     +67.22%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          22 |          7.264 |          7.429 |          7.661 |          7.422 |          1.140 |          2.761 |          0.031 |
             strchr (LI-PaRAD) |          22 |          4.364 |          4.446 |          4.571 |          4.451 |          1.026 |          4.604 |          0.047 |     +66.75%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strchr (Arm OR 23.01) |          23 |          7.250 |          7.396 |          7.616 |          7.407 |          1.059 |          2.892 |          0.030 |
             strchr (LI-PaRAD) |          23 |          4.363 |          4.433 |          4.607 |          4.443 |          1.177 |          4.822 |          0.056 |     +66.73%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
