        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strchr (Arm OR 23.01) |           1 |          7.525 |          7.704 |          7.709 |          7.679 |          0.508 |          0.121 |          0.001 |
             strchr (LI-PaRAD) |           1 |          4.589 |          4.623 |          4.688 |          4.627 |          0.444 |          0.201 |          0.001 |     +65.96%
         strchr (Arm OR 23.01) |           2 |          7.323 |          7.655 |          7.711 |          7.639 |          0.972 |          0.244 |          0.002 |
             strchr (LI-PaRAD) |           2 |          4.573 |          4.623 |          4.749 |          4.632 |          0.743 |          0.402 |          0.003 |     +64.93%
         strchr (Arm OR 23.01) |           3 |          7.379 |          7.654 |          7.707 |          7.639 |          0.912 |          0.366 |          0.003 |
             strchr (LI-PaRAD) |           3 |          4.572 |          4.624 |          4.757 |          4.638 |          0.870 |          0.602 |          0.005 |     +64.69%
         strchr (Arm OR 23.01) |           4 |          7.371 |          7.654 |          7.707 |          7.631 |          0.985 |          0.488 |          0.005 |
             strchr (LI-PaRAD) |           4 |          4.582 |          4.624 |          4.735 |          4.639 |          0.716 |          0.803 |          0.006 |     +64.49%
         strchr (Arm OR 23.01) |           5 |          7.407 |          7.655 |          7.709 |          7.641 |          0.913 |          0.609 |          0.006 |
             strchr (LI-PaRAD) |           5 |          4.572 |          4.625 |          4.752 |          4.638 |          0.838 |          1.004 |          0.008 |     +64.77%
         strchr (Arm OR 23.01) |           6 |          7.329 |          7.655 |          7.707 |          7.643 |          0.962 |          0.731 |          0.007 |
             strchr (LI-PaRAD) |           6 |          4.575 |          4.623 |          4.705 |          4.629 |          0.542 |          1.207 |          0.007 |     +65.12%
         strchr (Arm OR 23.01) |           7 |          7.252 |          7.655 |          7.707 |          7.638 |          1.003 |          0.854 |          0.009 |
             strchr (LI-PaRAD) |           7 |          4.572 |          4.626 |          4.754 |          4.637 |          0.740 |          1.406 |          0.010 |     +64.70%
         strchr (Arm OR 23.01) |           8 |          7.347 |          7.657 |          7.707 |          7.649 |          0.918 |          0.974 |          0.009 |
             strchr (LI-PaRAD) |           8 |          4.573 |          4.625 |          4.752 |          4.645 |          0.869 |          1.604 |          0.014 |     +64.68%
         strchr (Arm OR 23.01) |           9 |          7.409 |          7.670 |          7.708 |          7.655 |          0.866 |          1.095 |          0.010 |
             strchr (LI-PaRAD) |           9 |          4.573 |          4.623 |          4.694 |          4.630 |          0.557 |          1.811 |          0.010 |     +65.35%
         strchr (Arm OR 23.01) |          10 |          7.434 |          7.655 |          7.709 |          7.645 |          0.906 |          1.218 |          0.011 |
             strchr (LI-PaRAD) |          10 |          4.573 |          4.625 |          4.750 |          4.639 |          0.819 |          2.008 |          0.016 |     +64.79%
         strchr (Arm OR 23.01) |          11 |          7.361 |          7.656 |          7.707 |          7.650 |          0.849 |          1.339 |          0.012 |
             strchr (LI-PaRAD) |          11 |          4.573 |          4.640 |          4.752 |          4.648 |          0.913 |          2.204 |          0.020 |     +64.58%
         strchr (Arm OR 23.01) |          12 |          7.433 |          7.675 |          7.707 |          7.655 |          0.812 |          1.460 |          0.012 |
             strchr (LI-PaRAD) |          12 |          4.573 |          4.626 |          4.747 |          4.636 |          0.820 |          2.411 |          0.020 |     +65.10%
         strchr (Arm OR 23.01) |          13 |          7.215 |          7.667 |          7.707 |          7.638 |          1.263 |          1.585 |          0.021 |
             strchr (LI-PaRAD) |          13 |          4.573 |          4.626 |          4.755 |          4.641 |          0.919 |          2.609 |          0.024 |     +64.58%
         strchr (Arm OR 23.01) |          14 |          7.300 |          7.655 |          7.707 |          7.643 |          1.085 |          1.706 |          0.019 |
             strchr (LI-PaRAD) |          14 |          4.572 |          4.626 |          4.755 |          4.645 |          0.844 |          2.807 |          0.023 |     +64.55%
         strchr (Arm OR 23.01) |          15 |          7.432 |          7.671 |          7.707 |          7.657 |          0.824 |          1.824 |          0.015 |
             strchr (LI-PaRAD) |          15 |          4.572 |          4.625 |          4.750 |          4.639 |          0.842 |          3.012 |          0.025 |     +65.06%
         strchr (Arm OR 23.01) |          16 |          7.319 |          7.655 |          7.707 |          7.650 |          0.926 |          1.948 |          0.018 |
             strchr (LI-PaRAD) |          16 |          4.573 |          4.625 |          4.753 |          4.641 |          0.884 |          3.211 |          0.028 |     +64.84%
         strchr (Arm OR 23.01) |          17 |          7.368 |          7.677 |          7.706 |          7.657 |          0.839 |          2.068 |          0.018 |
             strchr (LI-PaRAD) |          17 |          4.582 |          4.624 |          4.714 |          4.636 |          0.636 |          3.415 |          0.022 |     +65.16%
         strchr (Arm OR 23.01) |          18 |          7.381 |          7.678 |          7.731 |          7.661 |          0.805 |          2.188 |          0.018 |
             strchr (LI-PaRAD) |          18 |          4.573 |          4.624 |          4.745 |          4.640 |          0.867 |          3.613 |          0.031 |     +65.12%
         strchr (Arm OR 23.01) |          19 |          7.396 |          7.671 |          7.707 |          7.641 |          1.088 |          2.316 |          0.026 |
             strchr (LI-PaRAD) |          19 |          4.573 |          4.624 |          4.754 |          4.642 |          0.934 |          3.813 |          0.035 |     +64.62%
         strchr (Arm OR 23.01) |          20 |          7.382 |          7.655 |          7.708 |          7.649 |          0.876 |          2.435 |          0.022 |
             strchr (LI-PaRAD) |          20 |          4.573 |          4.623 |          4.726 |          4.629 |          0.708 |          4.024 |          0.028 |     +65.23%
         strchr (Arm OR 23.01) |          21 |          7.267 |          7.655 |          7.707 |          7.641 |          1.148 |          2.560 |          0.030 |
             strchr (LI-PaRAD) |          21 |          4.588 |          4.626 |          4.751 |          4.644 |          0.812 |          4.211 |          0.034 |     +64.51%
