        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strchr (GNU libc 2.39) |           1 |          2.103 |          2.108 |          2.147 |          2.110 |          0.338 |          0.441 |          0.001 |
             strchr (LI-PaRAD) |           1 |          4.573 |          4.623 |          4.734 |          4.632 |          0.622 |          0.201 |          0.001 |     -54.45%
        strchr (GNU libc 2.39) |           2 |          2.694 |          2.697 |          2.701 |          2.697 |          0.071 |          0.691 |          0.000 |
             strchr (LI-PaRAD) |           2 |          4.573 |          4.624 |          4.745 |          4.640 |          0.872 |          0.402 |          0.003 |     -41.87%
        strchr (GNU libc 2.39) |           3 |          2.694 |          2.697 |          2.710 |          2.697 |          0.089 |          1.036 |          0.001 |
             strchr (LI-PaRAD) |           3 |          4.580 |          4.622 |          4.727 |          4.626 |          0.483 |          0.604 |          0.003 |     -41.70%
        strchr (GNU libc 2.39) |           4 |          2.694 |          2.696 |          2.706 |          2.697 |          0.082 |          1.381 |          0.001 |
             strchr (LI-PaRAD) |           4 |          4.572 |          4.622 |          4.754 |          4.627 |          0.675 |          0.805 |          0.005 |     -41.72%
        strchr (GNU libc 2.39) |           5 |          2.694 |          2.697 |          2.701 |          2.697 |          0.072 |          1.727 |          0.001 |
             strchr (LI-PaRAD) |           5 |          4.572 |          4.623 |          4.754 |          4.628 |          0.761 |          1.006 |          0.008 |     -41.73%
        strchr (GNU libc 2.39) |           6 |          2.694 |          2.697 |          2.723 |          2.697 |          0.121 |          2.072 |          0.002 |
             strchr (LI-PaRAD) |           6 |          4.573 |          4.626 |          4.759 |          4.648 |          0.954 |          1.202 |          0.011 |     -41.97%
        strchr (GNU libc 2.39) |           7 |          2.694 |          2.697 |          2.708 |          2.697 |          0.087 |          2.417 |          0.002 |
             strchr (LI-PaRAD) |           7 |          4.572 |          4.625 |          4.752 |          4.639 |          0.889 |          1.405 |          0.012 |     -41.87%
        strchr (GNU libc 2.39) |           8 |          2.694 |          2.697 |          2.704 |          2.697 |          0.084 |          2.763 |          0.002 |
             strchr (LI-PaRAD) |           8 |          4.572 |          4.625 |          4.751 |          4.639 |          0.861 |          1.606 |          0.014 |     -41.87%
        strchr (GNU libc 2.39) |           9 |          2.694 |          2.697 |          2.708 |          2.697 |          0.088 |          3.108 |          0.003 |
             strchr (LI-PaRAD) |           9 |          4.572 |          4.623 |          4.753 |          4.637 |          0.929 |          1.808 |          0.017 |     -41.84%
        strchr (GNU libc 2.39) |          10 |          2.694 |          2.697 |          2.709 |          2.697 |          0.085 |          3.454 |          0.003 |
             strchr (LI-PaRAD) |          10 |          4.600 |          4.623 |          4.751 |          4.628 |          0.513 |          2.013 |          0.010 |     -41.73%
        strchr (GNU libc 2.39) |          11 |          2.105 |          2.697 |          2.701 |          2.686 |          2.815 |          3.818 |          0.134 |
             strchr (LI-PaRAD) |          11 |          4.573 |          4.624 |          4.744 |          4.634 |          0.753 |          2.211 |          0.017 |     -42.03%
        strchr (GNU libc 2.39) |          12 |          2.694 |          2.697 |          2.703 |          2.697 |          0.079 |          4.144 |          0.003 |
             strchr (LI-PaRAD) |          12 |          4.572 |          4.623 |          4.757 |          4.632 |          0.762 |          2.413 |          0.018 |     -41.77%
        strchr (GNU libc 2.39) |          13 |          2.694 |          2.697 |          2.701 |          2.697 |          0.070 |          4.490 |          0.003 |
