ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strchr (LI-PaRAD)|1|4.573|4.623|4.734|4.632|0.622|0.201|0.001
strchr (GNU libc 2.39)|1|2.103|2.108|2.147|2.11|0.338|0.441|0.001
strchr (Arm OR 23.01)|1|7.525|7.704|7.709|7.679|0.508|0.121|0.001
strchr (LI-PaRAD)|2|4.573|4.624|4.745|4.64|0.872|0.402|0.003
strchr (GNU libc 2.39)|2|2.694|2.697|2.701|2.697|0.071|0.691|0.0
strchr (Arm OR 23.01)|2|7.323|7.655|7.711|7.639|0.972|0.244|0.002
strchr (LI-PaRAD)|3|4.58|4.622|4.727|4.626|0.483|0.604|0.003
strchr (GNU libc 2.39)|3|2.694|2.697|2.71|2.697|0.089|1.036|0.001
strchr (Arm OR 23.01)|3|7.379|7.654|7.707|7.639|0.912|0.366|0.003
strchr (LI-PaRAD)|4|4.572|4.622|4.754|4.627|0.675|0.805|0.005
strchr (GNU libc 2.39)|4|2.694|2.696|2.706|2.697|0.082|1.381|0.001
strchr (Arm OR 23.01)|4|7.371|7.654|7.707|7.631|0.985|0.488|0.005
strchr (LI-PaRAD)|5|4.572|4.623|4.754|4.628|0.761|1.006|0.008
strchr (GNU libc 2.39)|5|2.694|2.697|2.701|2.697|0.072|1.727|0.001
strchr (Arm OR 23.01)|5|7.407|7.655|7.709|7.641|0.913|0.609|0.006
strchr (LI-PaRAD)|6|4.573|4.626|4.759|4.648|0.954|1.202|0.011
strchr (GNU libc 2.39)|6|2.694|2.697|2.723|2.697|0.121|2.072|0.002
strchr (Arm OR 23.01)|6|7.329|7.655|7.707|7.643|0.962|0.731|0.007
strchr (LI-PaRAD)|7|4.572|4.625|4.752|4.639|0.889|1.405|0.012
strchr (GNU libc 2.39)|7|2.694|2.697|2.708|2.697|0.087|2.417|0.002
strchr (Arm OR 23.01)|7|7.252|7.655|7.707|7.638|1.003|0.854|0.009
strchr (LI-PaRAD)|8|4.572|4.625|4.751|4.639|0.861|1.606|0.014
strchr (GNU libc 2.39)|8|2.694|2.697|2.704|2.697|0.084|2.763|0.002
strchr (Arm OR 23.01)|8|7.347|7.657|7.707|7.649|0.918|0.974|0.009
strchr (LI-PaRAD)|9|4.572|4.623|4.753|4.637|0.929|1.808|0.017
strchr (GNU libc 2.39)|9|2.694|2.697|2.708|2.697|0.088|3.108|0.003
strchr (Arm OR 23.01)|9|7.409|7.67|7.708|7.655|0.866|1.095|0.01
strchr (LI-PaRAD)|10|4.6|4.623|4.751|4.628|0.513|2.013|0.01
strchr (GNU libc 2.39)|10|2.694|2.697|2.709|2.697|0.085|3.454|0.003
strchr (Arm OR 23.01)|10|7.434|7.655|7.709|7.645|0.906|1.218|0.011
strchr (LI-PaRAD)|11|4.573|4.624|4.744|4.634|0.753|2.211|0.017
strchr (GNU libc 2.39)|11|2.105|2.697|2.701|2.686|2.815|3.818|0.134
strchr (Arm OR 23.01)|11|7.361|7.656|7.707|7.65|0.849|1.339|0.012
strchr (LI-PaRAD)|12|4.572|4.623|4.757|4.632|0.762|2.413|0.018
strchr (GNU libc 2.39)|12|2.694|2.697|2.703|2.697|0.079|4.144|0.003
strchr (Arm OR 23.01)|12|7.433|7.675|7.707|7.655|0.812|1.46|0.012
strchr (LI-PaRAD)|13|4.572|4.624|4.75|4.634|0.782|2.613|0.02
strchr (GNU libc 2.39)|13|2.694|2.697|2.701|2.697|0.07|4.49|0.003
strchr (Arm OR 23.01)|13|7.215|7.667|7.707|7.638|1.263|1.585|0.021
strchr (LI-PaRAD)|14|4.572|4.625|4.755|4.64|0.896|2.81|0.025
strchr (GNU libc 2.39)|14|2.694|2.697|2.707|2.697|0.081|4.835|0.004
strchr (Arm OR 23.01)|14|7.3|7.655|7.707|7.643|1.085|1.706|0.019
strchr (LI-PaRAD)|15|4.572|4.625|4.752|4.637|0.852|3.013|0.025
strchr (GNU libc 2.39)|15|2.694|2.697|2.709|2.697|0.09|5.18|0.005
strchr (Arm OR 23.01)|15|7.432|7.671|7.707|7.657|0.824|1.824|0.015
strchr (LI-PaRAD)|16|4.572|4.624|4.723|4.631|0.712|3.218|0.023
strchr (GNU libc 2.39)|16|3.079|3.082|3.09|3.082|0.073|4.835|0.004
strchr (Arm OR 23.01)|16|7.319|7.655|7.707|7.65|0.926|1.948|0.018
strchr (LI-PaRAD)|17|4.573|4.626|4.734|4.636|0.79|3.415|0.027
strchr (GNU libc 2.39)|17|3.079|3.082|3.114|3.082|0.123|5.136|0.006
strchr (Arm OR 23.01)|17|7.368|7.677|7.706|7.657|0.839|2.068|0.018
strchr (LI-PaRAD)|18|4.573|4.623|4.726|4.631|0.708|3.62|0.026
strchr (GNU libc 2.39)|18|3.079|3.082|3.086|3.082|0.065|5.439|0.004
strchr (Arm OR 23.01)|18|7.381|7.678|7.731|7.661|0.805|2.188|0.018
strchr (LI-PaRAD)|19|4.573|4.63|4.751|4.646|0.809|3.809|0.031
strchr (GNU libc 2.39)|19|3.079|3.082|3.093|3.082|0.073|5.741|0.004
strchr (Arm OR 23.01)|19|7.396|7.671|7.707|7.641|1.088|2.316|0.026
strchr (LI-PaRAD)|20|4.572|4.625|4.727|4.633|0.756|4.02|0.03
strchr (GNU libc 2.39)|20|3.079|3.082|3.087|3.082|0.066|6.044|0.004
strchr (Arm OR 23.01)|20|7.382|7.655|7.708|7.649|0.876|2.435|0.022
strchr (LI-PaRAD)|21|4.573|4.623|4.726|4.625|0.609|4.229|0.026
strchr (GNU libc 2.39)|21|3.079|3.082|3.101|3.082|0.096|6.345|0.006
strchr (Arm OR 23.01)|21|7.267|7.655|7.707|7.641|1.148|2.56|0.03
strchr (LI-PaRAD)|22|4.572|4.623|4.73|4.628|0.701|4.427|0.031
strchr (GNU libc 2.39)|22|3.079|3.082|3.088|3.082|0.07|6.648|0.005
strchr (Arm OR 23.01)|22|7.414|7.673|9.489|7.683|2.481|2.668|0.055
strchr (LI-PaRAD)|23|4.572|4.623|4.74|4.636|0.833|4.621|0.038
