        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           1 |          6.930 |          6.935 |          6.966 |          6.937 |          0.126 |          0.134 |          0.000 |
             strcmp (LI-PaRAD) |           1 |          3.785 |          3.788 |          3.797 |          3.788 |          0.044 |          0.246 |          0.000 |     +83.12%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           2 |          6.931 |          6.935 |          6.969 |          6.935 |          0.058 |          0.269 |          0.000 |
             strcmp (LI-PaRAD) |           2 |          3.785 |          3.788 |          3.794 |          3.788 |          0.039 |          0.492 |          0.000 |     +83.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           3 |          6.931 |          6.935 |          6.971 |          6.934 |          0.059 |          0.403 |          0.000 |
             strcmp (LI-PaRAD) |           3 |          3.784 |          3.788 |          3.791 |          3.788 |          0.036 |          0.738 |          0.000 |     +83.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           4 |          6.930 |          6.934 |          6.937 |          6.934 |          0.027 |          0.537 |          0.000 |
             strcmp (LI-PaRAD) |           4 |          3.784 |          3.788 |          3.817 |          3.788 |          0.085 |          0.983 |          0.001 |     +83.03%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           5 |          6.930 |          6.935 |          6.937 |          6.934 |          0.026 |          0.672 |          0.000 |
             strcmp (LI-PaRAD) |           5 |          3.784 |          3.788 |          3.790 |          3.788 |          0.035 |          1.229 |          0.000 |     +83.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcmp (Arm OR 23.01) |           6 |          6.930 |          6.934 |          6.937 |          6.934 |          0.025 |          0.806 |          0.000 |
