        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strcmp (Arm OR 23.01) |           1 |          6.354 |          6.453 |          6.875 |          6.490 |          1.467 |          0.144 |          0.002 |
             strcmp (LI-PaRAD) |           1 |          3.592 |          3.596 |          3.893 |          3.614 |          1.775 |          0.258 |          0.004 |     +79.58%
         strcmp (Arm OR 23.01) |           2 |          6.435 |          6.834 |          7.015 |          6.825 |          1.855 |          0.273 |          0.005 |
             strcmp (LI-PaRAD) |           2 |          3.592 |          3.595 |          3.600 |          3.596 |          0.051 |          0.518 |          0.000 |     +89.82%
         strcmp (Arm OR 23.01) |           3 |          6.396 |          6.453 |          6.690 |          6.484 |          1.146 |          0.431 |          0.005 |
             strcmp (LI-PaRAD) |           3 |          3.592 |          3.596 |          3.892 |          3.623 |          2.206 |          0.772 |          0.016 |     +78.98%
         strcmp (Arm OR 23.01) |           4 |          6.535 |          6.838 |          7.014 |          6.828 |          1.635 |          0.546 |          0.009 |
             strcmp (LI-PaRAD) |           4 |          3.592 |          3.595 |          3.628 |          3.596 |          0.102 |          1.036 |          0.001 |     +89.88%
         strcmp (Arm OR 23.01) |           5 |          6.447 |          6.453 |          6.673 |          6.469 |          0.849 |          0.720 |          0.006 |
             strcmp (LI-PaRAD) |           5 |          3.592 |          3.596 |          3.894 |          3.622 |          2.287 |          1.286 |          0.028 |     +78.60%
         strcmp (Arm OR 23.01) |           6 |          6.530 |          6.839 |          7.070 |          6.834 |          1.670 |          0.818 |          0.014 |
             strcmp (LI-PaRAD) |           6 |          3.592 |          3.595 |          3.599 |          3.596 |          0.051 |          1.554 |          0.001 |     +90.05%
         strcmp (Arm OR 23.01) |           7 |          6.444 |          6.453 |          6.712 |          6.475 |          0.983 |          1.007 |          0.010 |
             strcmp (LI-PaRAD) |           7 |          3.592 |          3.596 |          3.893 |          3.628 |          2.434 |          1.798 |          0.041 |     +78.47%
         strcmp (Arm OR 23.01) |           8 |          6.489 |          6.836 |          7.014 |          6.809 |          1.822 |          1.095 |          0.020 |
             strcmp (LI-PaRAD) |           8 |          3.592 |          3.595 |          3.599 |          3.596 |          0.051 |          2.072 |          0.001 |     +89.36%
         strcmp (Arm OR 23.01) |           9 |          6.385 |          6.453 |          6.896 |          6.491 |          1.474 |          1.292 |          0.018 |
