ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcmp (LI-PaRAD)|1|3.785|3.79|19.798|7.394|90.386|0.201|0.084
strcmp (Arm OR 23.01)|1|6.931|6.958|30.934|13.955|57.967|0.093|0.047
strcmp (GNU libc 2.39)|1|2.409|2.422|18.443|4.802|119.094|0.334|0.119
strcmp (LI-PaRAD)|2|3.785|3.79|19.796|7.434|90.73|0.401|0.167
strcmp (Arm OR 23.01)|2|6.722|6.963|22.991|14.07|56.853|0.185|0.094
strcmp (GNU libc 2.39)|2|2.41|2.425|18.697|4.762|117.191|0.66|0.234
strcmp (LI-PaRAD)|3|3.785|3.789|19.794|7.591|90.174|0.596|0.255
strcmp (Arm OR 23.01)|3|6.932|6.963|22.97|14.065|56.811|0.278|0.14
strcmp (GNU libc 2.39)|3|2.411|2.428|18.701|5.052|116.336|0.961|0.357
strcmp (LI-PaRAD)|4|3.785|3.79|19.796|7.592|90.167|0.794|0.34
strcmp (Arm OR 23.01)|4|6.931|6.939|22.979|13.75|57.825|0.377|0.186
strcmp (GNU libc 2.39)|4|2.408|2.428|18.702|5.209|115.639|1.27|0.488
strcmp (LI-PaRAD)|5|3.785|3.79|19.796|7.592|90.167|0.993|0.425
strcmp (Arm OR 23.01)|5|6.931|6.94|23.01|13.869|57.239|0.468|0.233
strcmp (GNU libc 2.39)|5|2.395|2.425|18.709|5.022|117.126|1.621|0.602
strcmp (LI-PaRAD)|6|3.784|3.79|19.795|7.592|90.163|1.191|0.51
strcmp (Arm OR 23.01)|6|6.931|6.94|22.975|13.912|57.336|0.561|0.28
strcmp (GNU libc 2.39)|6|2.397|2.422|18.487|4.813|118.786|1.999|0.713
strcmp (LI-PaRAD)|7|3.785|3.79|19.794|7.473|89.147|1.392|0.591
strcmp (Arm OR 23.01)|7|6.932|6.961|34.978|13.915|58.341|0.655|0.326
strcmp (GNU libc 2.39)|7|2.412|2.423|18.541|4.808|118.944|2.336|0.833
strcmp (LI-PaRAD)|8|3.785|3.79|19.799|7.592|90.162|1.588|0.68
strcmp (Arm OR 23.01)|8|6.931|6.978|23.054|13.918|57.295|0.747|0.373
strcmp (GNU libc 2.39)|8|2.983|2.996|19.087|5.985|103.87|2.083|0.816
strcmp (LI-PaRAD)|9|3.784|3.79|19.796|7.433|90.732|1.805|0.754
strcmp (Arm OR 23.01)|9|6.781|6.944|22.971|13.91|57.355|0.841|0.42
strcmp (GNU libc 2.39)|9|2.975|2.995|19.087|6.016|104.486|2.347|0.923
strcmp (LI-PaRAD)|10|3.784|3.79|19.798|7.75|89.56|1.966|0.862
strcmp (Arm OR 23.01)|10|6.932|6.954|22.979|13.909|57.318|0.934|0.466
strcmp (GNU libc 2.39)|10|2.981|2.995|19.042|5.966|104.194|2.619|1.026
strcmp (LI-PaRAD)|11|3.785|3.79|19.795|7.592|90.162|2.184|0.935
strcmp (Arm OR 23.01)|11|6.931|6.943|22.982|13.913|57.339|1.028|0.513
strcmp (GNU libc 2.39)|11|2.977|2.996|19.049|6.166|103.966|2.849|1.153
strcmp (LI-PaRAD)|12|3.785|3.79|19.796|7.473|89.48|2.388|1.011
strcmp (Arm OR 23.01)|12|6.931|6.941|23.008|13.872|57.255|1.122|0.559
strcmp (GNU libc 2.39)|12|2.981|2.994|19.023|5.926|103.683|3.144|1.229
strcmp (LI-PaRAD)|13|3.784|3.79|23.792|7.553|90.145|2.583|1.101
strcmp (Arm OR 23.01)|13|6.786|6.943|22.986|13.908|57.337|1.215|0.607
strcmp (GNU libc 2.39)|13|2.987|2.995|22.996|6.008|105.051|3.4|1.335
strcmp (LI-PaRAD)|14|3.785|3.789|19.796|7.591|90.17|2.78|1.19
strcmp (Arm OR 23.01)|14|6.932|6.94|38.942|13.952|59.261|1.312|0.652
strcmp (GNU libc 2.39)|14|2.983|2.996|27.014|6.086|106.779|3.66|1.444
strcmp (LI-PaRAD)|15|3.785|3.789|19.794|7.552|89.851|2.981|1.272
