        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           1 |          5.952 |          6.016 |          6.059 |          6.014 |          0.356 |          0.155 |          0.001 |
             strcpy (LI-PaRAD) |           1 |          2.308 |          2.311 |          2.315 |          2.311 |          0.066 |          0.403 |          0.000 |    +160.21%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           2 |          5.966 |          6.023 |          6.082 |          6.020 |          0.450 |          0.309 |          0.001 |
             strcpy (LI-PaRAD) |           2 |          2.308 |          2.311 |          2.318 |          2.311 |          0.073 |          0.806 |          0.001 |    +160.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           3 |          5.932 |          6.016 |          6.060 |          6.010 |          0.440 |          0.465 |          0.002 |
             strcpy (LI-PaRAD) |           3 |          2.310 |          2.311 |          2.317 |          2.311 |          0.065 |          1.209 |          0.001 |    +160.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           4 |          5.961 |          6.022 |          6.076 |          6.021 |          0.484 |          0.619 |          0.003 |
             strcpy (LI-PaRAD) |           4 |          2.308 |          2.311 |          2.315 |          2.311 |          0.068 |          1.612 |          0.001 |    +160.52%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           5 |          5.953 |          6.017 |          6.074 |          6.020 |          0.440 |          0.773 |          0.003 |
             strcpy (LI-PaRAD) |           5 |          2.308 |          2.311 |          2.315 |          2.311 |          0.066 |          2.015 |          0.001 |    +160.48%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           6 |          5.971 |          6.022 |          6.120 |          6.023 |          0.456 |          0.928 |          0.004 |
             strcpy (LI-PaRAD) |           6 |          2.308 |          2.311 |          2.315 |          2.311 |          0.062 |          2.418 |          0.002 |    +160.58%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           7 |          5.962 |          6.019 |          6.068 |          6.019 |          0.495 |          1.083 |          0.005 |
             strcpy (LI-PaRAD) |           7 |          1.923 |          1.926 |          2.315 |          1.941 |          3.899 |          3.362 |          0.111 |    +210.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           8 |          5.952 |          6.016 |          6.071 |          6.019 |          0.439 |          1.238 |          0.005 |
             strcpy (LI-PaRAD) |           8 |          2.308 |          2.311 |          2.316 |          2.311 |          0.067 |          3.224 |          0.002 |    +160.43%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |           9 |          5.972 |          6.014 |          6.076 |          6.016 |          0.433 |          1.393 |          0.006 |
             strcpy (LI-PaRAD) |           9 |          2.310 |          2.311 |          2.316 |          2.311 |          0.061 |          3.627 |          0.002 |    +160.29%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          10 |          5.965 |          6.031 |          6.107 |          6.026 |          0.483 |          1.546 |          0.007 |
             strcpy (LI-PaRAD) |          10 |          2.308 |          2.311 |          2.315 |          2.311 |          0.066 |          4.029 |          0.003 |    +160.70%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          11 |          5.966 |          6.026 |          6.068 |          6.025 |          0.393 |          1.700 |          0.007 |
             strcpy (LI-PaRAD) |          11 |          2.310 |          2.311 |          2.315 |          2.311 |          0.061 |          4.432 |          0.003 |    +160.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          12 |          5.956 |          6.018 |          6.064 |          6.018 |          0.401 |          1.857 |          0.007 |
             strcpy (LI-PaRAD) |          12 |          2.308 |          2.311 |          2.316 |          2.311 |          0.068 |          4.835 |          0.003 |    +160.36%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          13 |          5.961 |          6.022 |          6.068 |          6.021 |          0.446 |          2.011 |          0.009 |
             strcpy (LI-PaRAD) |          13 |          2.308 |          2.311 |          2.315 |          2.311 |          0.063 |          5.238 |          0.003 |    +160.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          14 |          5.967 |          6.017 |          6.077 |          6.017 |          0.448 |          2.167 |          0.010 |
             strcpy (LI-PaRAD) |          14 |          2.308 |          2.311 |          2.315 |          2.311 |          0.064 |          5.641 |          0.004 |    +160.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          15 |          5.969 |          6.021 |          6.075 |          6.018 |          0.402 |          2.321 |          0.009 |
             strcpy (LI-PaRAD) |          15 |          2.308 |          2.311 |          2.317 |          2.311 |          0.071 |          6.044 |          0.004 |    +160.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          16 |          5.936 |          6.018 |          6.069 |          6.012 |          0.445 |          2.479 |          0.011 |
             strcpy (LI-PaRAD) |          16 |          1.923 |          2.310 |          2.315 |          2.185 |          8.303 |          6.869 |          0.607 |    +175.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         strcpy (Arm OR 23.01) |          17 |          5.937 |          6.013 |          6.071 |          6.015 |          0.433 |          2.632 |          0.011 |
