        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
         strcpy (Arm OR 23.01) |           1 |          5.905 |          6.137 |          6.330 |          6.135 |          1.464 |          0.152 |          0.002 |
             strcpy (LI-PaRAD) |           1 |          2.310 |          2.311 |          2.316 |          2.311 |          0.070 |          0.403 |          0.000 |    +165.41%
         strcpy (Arm OR 23.01) |           2 |          5.906 |          6.132 |          6.261 |          6.127 |          1.220 |          0.304 |          0.004 |
             strcpy (LI-PaRAD) |           2 |          2.310 |          2.311 |          2.316 |          2.311 |          0.071 |          0.806 |          0.001 |    +165.07%
         strcpy (Arm OR 23.01) |           3 |          5.910 |          6.166 |          6.339 |          6.162 |          1.236 |          0.453 |          0.006 |
             strcpy (LI-PaRAD) |           3 |          2.310 |          2.311 |          2.316 |          2.311 |          0.073 |          1.209 |          0.001 |    +166.61%
         strcpy (Arm OR 23.01) |           4 |          5.912 |          6.190 |          6.336 |          6.170 |          1.344 |          0.604 |          0.008 |
             strcpy (LI-PaRAD) |           4 |          2.310 |          2.311 |          2.317 |          2.311 |          0.077 |          1.612 |          0.001 |    +166.95%
         strcpy (Arm OR 23.01) |           5 |          5.905 |          6.153 |          6.289 |          6.152 |          1.369 |          0.757 |          0.010 |
             strcpy (LI-PaRAD) |           5 |          2.310 |          2.311 |          2.316 |          2.311 |          0.074 |          2.015 |          0.001 |    +166.13%
         strcpy (Arm OR 23.01) |           6 |          6.008 |          6.176 |          6.304 |          6.176 |          1.109 |          0.905 |          0.010 |
             strcpy (LI-PaRAD) |           6 |          2.310 |          2.311 |          2.316 |          2.311 |          0.070 |          2.417 |          0.002 |    +167.20%
         strcpy (Arm OR 23.01) |           7 |          5.908 |          6.169 |          6.320 |          6.165 |          1.287 |          1.058 |          0.014 |
             strcpy (LI-PaRAD) |           7 |          2.310 |          2.311 |          2.316 |          2.311 |          0.076 |          2.820 |          0.002 |    +166.72%
         strcpy (Arm OR 23.01) |           8 |          5.952 |          6.182 |          6.327 |          6.175 |          1.218 |          1.207 |          0.015 |
             strcpy (LI-PaRAD) |           8 |          2.310 |          2.311 |          2.316 |          2.311 |          0.071 |          3.223 |          0.002 |    +167.17%
         strcpy (Arm OR 23.01) |           9 |          5.907 |          6.147 |          6.313 |          6.146 |          1.389 |          1.364 |          0.019 |
             strcpy (LI-PaRAD) |           9 |          2.310 |          2.311 |          2.316 |          2.311 |          0.073 |          3.626 |          0.003 |    +165.88%
         strcpy (Arm OR 23.01) |          10 |          5.919 |          6.185 |          6.278 |          6.167 |          1.232 |          1.510 |          0.019 |
             strcpy (LI-PaRAD) |          10 |          2.310 |          2.311 |          2.316 |          2.311 |          0.072 |          4.029 |          0.003 |    +166.79%
         strcpy (Arm OR 23.01) |          11 |          5.913 |          6.153 |          6.261 |          6.148 |          1.264 |          1.667 |          0.021 |
             strcpy (LI-PaRAD) |          11 |          2.310 |          2.311 |          2.317 |          2.311 |          0.076 |          4.432 |          0.003 |    +165.99%
         strcpy (Arm OR 23.01) |          12 |          5.902 |          6.152 |          6.341 |          6.154 |          1.451 |          1.816 |          0.027 |
             strcpy (LI-PaRAD) |          12 |          2.310 |          2.311 |          2.317 |          2.311 |          0.075 |          4.835 |          0.004 |    +166.26%
         strcpy (Arm OR 23.01) |          13 |          5.904 |          6.150 |          6.261 |          6.141 |          1.377 |          1.972 |          0.027 |
             strcpy (LI-PaRAD) |          13 |          2.310 |          2.311 |          2.315 |          2.311 |          0.067 |          5.238 |          0.003 |    +165.68%
         strcpy (Arm OR 23.01) |          14 |          5.906 |          6.154 |          6.322 |          6.148 |          1.399 |          2.121 |          0.030 |
             strcpy (LI-PaRAD) |          14 |          2.310 |          2.311 |          2.317 |          2.311 |          0.073 |          5.641 |          0.004 |    +165.97%
         strcpy (Arm OR 23.01) |          15 |          5.945 |          6.153 |          6.336 |          6.154 |          1.359 |          2.271 |          0.031 |
             strcpy (LI-PaRAD) |          15 |          2.310 |          2.311 |          2.317 |          2.311 |          0.074 |          6.044 |          0.004 |    +166.22%
         strcpy (Arm OR 23.01) |          16 |          5.908 |          6.151 |          6.342 |          6.152 |          1.304 |          2.422 |          0.032 |
             strcpy (LI-PaRAD) |          16 |          2.310 |          2.311 |          2.316 |          2.311 |          0.075 |          6.447 |          0.005 |    +166.16%
         strcpy (Arm OR 23.01) |          17 |          5.908 |          6.144 |          6.263 |          6.142 |          1.280 |          2.578 |          0.033 |
             strcpy (LI-PaRAD) |          17 |          2.310 |          2.311 |          2.317 |          2.311 |          0.073 |          6.849 |          0.005 |    +165.70%
         strcpy (Arm OR 23.01) |          18 |          5.995 |          6.179 |          6.306 |          6.163 |          1.325 |          2.720 |          0.036 |
