        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           1 |          2.050 |          2.062 |          2.096 |          2.063 |          0.250 |          0.452 |          0.001 |
             strcpy (LI-PaRAD) |           1 |          2.308 |          2.311 |          2.315 |          2.311 |          0.064 |          0.403 |          0.000 |     -10.76%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           2 |          3.079 |          3.082 |          3.085 |          3.082 |          0.059 |          0.604 |          0.000 |
             strcpy (LI-PaRAD) |           2 |          2.308 |          2.311 |          2.316 |          2.311 |          0.068 |          0.806 |          0.001 |     +33.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           3 |          1.871 |          1.882 |          3.085 |          2.025 |         19.273 |          1.416 |          0.188 |
             strcpy (LI-PaRAD) |           3 |          2.308 |          2.311 |          2.316 |          2.311 |          0.069 |          1.209 |          0.001 |     -12.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           4 |          2.694 |          2.697 |          2.701 |          2.697 |          0.070 |          1.381 |          0.001 |
             strcpy (LI-PaRAD) |           4 |          2.308 |          2.311 |          2.339 |          2.312 |          0.138 |          1.611 |          0.002 |     +16.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           5 |          1.869 |          1.883 |          2.700 |          2.158 |         17.924 |          2.221 |          0.355 |
             strcpy (LI-PaRAD) |           5 |          2.308 |          2.311 |          2.315 |          2.311 |          0.071 |          2.015 |          0.001 |      -6.63%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           6 |          2.695 |          2.697 |          2.701 |          2.697 |          0.066 |          2.072 |          0.001 |
             strcpy (LI-PaRAD) |           6 |          2.308 |          2.311 |          2.315 |          2.311 |          0.068 |          2.418 |          0.002 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           7 |          1.869 |          2.695 |          2.700 |          2.285 |         17.914 |          2.946 |          0.526 |
             strcpy (LI-PaRAD) |           7 |          2.308 |          2.311 |          2.316 |          2.311 |          0.073 |          2.820 |          0.002 |      -1.13%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           8 |          2.695 |          2.696 |          2.700 |          2.697 |          0.067 |          2.763 |          0.002 |
             strcpy (LI-PaRAD) |           8 |          2.308 |          2.311 |          2.315 |          2.311 |          0.069 |          3.223 |          0.002 |     +16.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strcpy (GNU libc 2.39) |           9 |          1.805 |          2.695 |          2.701 |          2.350 |         18.289 |          3.699 |          0.733 |
