ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strcpy (LI-PaRAD)|1|2.246|2.302|2.336|2.286|1.189|0.407|0.005
strcpy (GNU libc 2.39)|1|2.396|2.415|2.443|2.416|0.626|0.385|0.002
strcpy (Arm OR 23.01)|1|5.905|6.137|6.33|6.135|1.464|0.152|0.002
strcpy (LI-PaRAD)|2|2.31|2.311|2.316|2.312|0.072|0.806|0.001
strcpy (GNU libc 2.39)|2|3.079|3.082|3.09|3.082|0.07|0.604|0.0
strcpy (Arm OR 23.01)|2|5.906|6.132|6.261|6.127|1.22|0.304|0.004
strcpy (LI-PaRAD)|3|2.243|2.269|2.322|2.275|0.881|1.228|0.011
strcpy (GNU libc 2.39)|3|3.079|3.082|3.086|3.082|0.066|0.907|0.001
strcpy (Arm OR 23.01)|3|5.91|6.166|6.339|6.162|1.236|0.453|0.006
strcpy (LI-PaRAD)|4|2.31|2.311|2.316|2.311|0.064|1.612|0.001
strcpy (GNU libc 2.39)|4|2.695|2.697|2.701|2.697|0.067|1.381|0.001
strcpy (Arm OR 23.01)|4|5.912|6.19|6.336|6.17|1.344|0.604|0.008
strcpy (LI-PaRAD)|5|2.247|2.261|2.332|2.27|0.87|2.052|0.018
strcpy (GNU libc 2.39)|5|2.695|2.697|2.705|2.697|0.073|1.727|0.001
strcpy (Arm OR 23.01)|5|5.905|6.153|6.289|6.152|1.369|0.757|0.01
strcpy (LI-PaRAD)|6|2.31|2.311|2.316|2.311|0.067|2.418|0.002
strcpy (GNU libc 2.39)|6|2.695|2.697|2.701|2.697|0.069|2.072|0.001
strcpy (Arm OR 23.01)|6|6.008|6.176|6.304|6.176|1.109|0.905|0.01
strcpy (LI-PaRAD)|7|2.231|2.269|2.311|2.272|0.852|2.869|0.024
strcpy (GNU libc 2.39)|7|2.694|2.696|2.702|2.697|0.074|2.417|0.002
strcpy (Arm OR 23.01)|7|5.908|6.169|6.32|6.165|1.287|1.058|0.014
strcpy (LI-PaRAD)|8|2.31|2.311|2.319|2.312|0.077|3.223|0.002
strcpy (GNU libc 2.39)|8|2.603|2.695|2.7|2.679|1.105|2.782|0.031
strcpy (Arm OR 23.01)|8|5.952|6.182|6.327|6.175|1.218|1.207|0.015
strcpy (LI-PaRAD)|9|2.31|2.311|2.316|2.311|0.069|3.626|0.003
strcpy (GNU libc 2.39)|9|2.636|2.697|2.701|2.696|0.234|3.109|0.007
strcpy (Arm OR 23.01)|9|5.907|6.147|6.313|6.146|1.389|1.364|0.019
strcpy (LI-PaRAD)|10|2.31|2.311|2.316|2.312|0.07|4.029|0.003
strcpy (GNU libc 2.39)|10|2.602|2.638|2.666|2.635|0.619|3.535|0.022
strcpy (Arm OR 23.01)|10|5.919|6.185|6.278|6.167|1.232|1.51|0.019
strcpy (LI-PaRAD)|11|2.31|2.311|2.328|2.312|0.103|4.431|0.005
