ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strlen (LI-PaRAD)|1|2.244|2.248|18.261|4.469|124.325|0.363|0.126
strlen (Arm OR 23.01)|1|6.16|6.166|34.163|12.423|64.632|0.109|0.053
strlen (GNU libc 2.39)|1|2.169|2.205|22.203|4.301|127.98|0.375|0.125
strlen (LI-PaRAD)|2|2.244|2.248|18.258|4.468|124.36|0.727|0.252
strlen (Arm OR 23.01)|2|6.159|6.166|22.172|12.225|63.558|0.219|0.106
strlen (GNU libc 2.39)|2|2.172|2.204|22.208|4.443|125.773|0.737|0.257
strlen (LI-PaRAD)|3|2.246|2.248|18.28|4.467|124.412|1.091|0.378
strlen (Arm OR 23.01)|3|6.159|6.168|22.171|12.304|63.303|0.327|0.16
strlen (GNU libc 2.39)|3|2.163|2.203|18.63|4.426|125.804|1.114|0.388
strlen (LI-PaRAD)|4|2.244|2.248|18.304|4.47|124.345|1.454|0.504
strlen (Arm OR 23.01)|4|6.156|6.167|26.166|12.541|63.18|0.431|0.215
strlen (GNU libc 2.39)|4|2.174|2.206|18.463|4.446|124.945|1.471|0.515
strlen (LI-PaRAD)|5|2.244|2.248|18.31|4.469|124.372|1.818|0.63
strlen (Arm OR 23.01)|5|6.16|6.166|22.17|12.343|63.43|0.545|0.267
strlen (GNU libc 2.39)|5|2.163|2.203|18.621|4.436|125.406|1.848|0.646
strlen (LI-PaRAD)|6|2.244|2.247|18.259|4.468|124.355|2.181|0.756
strlen (Arm OR 23.01)|6|6.158|6.166|26.165|12.383|63.712|0.653|0.321
strlen (GNU libc 2.39)|6|2.165|2.205|18.508|4.43|125.528|2.222|0.775
strlen (LI-PaRAD)|7|2.244|2.248|18.265|4.468|124.374|2.546|0.882
strlen (Arm OR 23.01)|7|6.16|6.166|22.172|12.304|63.307|0.763|0.373
strlen (GNU libc 2.39)|7|2.129|2.203|19.019|4.433|125.978|2.598|0.906
strlen (LI-PaRAD)|8|2.244|2.248|26.248|4.546|127.732|2.909|1.012
strlen (Arm OR 23.01)|8|6.155|6.166|22.17|12.303|63.307|0.872|0.426
strlen (GNU libc 2.39)|8|2.167|2.204|18.475|4.42|125.887|2.975|1.035
strlen (LI-PaRAD)|9|2.246|2.248|18.291|4.467|124.427|3.275|1.135
strlen (Arm OR 23.01)|9|6.161|6.167|22.172|12.304|63.302|0.981|0.479
strlen (GNU libc 2.39)|9|2.161|2.204|18.643|4.445|125.075|3.314|1.161
strlen (LI-PaRAD)|10|2.244|2.248|18.296|4.625|123.69|3.604|1.299
strlen (Arm OR 23.01)|10|6.157|6.167|22.174|12.344|63.428|1.09|0.534
strlen (GNU libc 2.39)|10|2.163|2.203|18.575|4.431|125.608|3.705|1.293
strlen (LI-PaRAD)|11|2.244|2.248|18.304|4.47|124.321|3.997|1.385
strlen (Arm OR 23.01)|11|6.161|6.166|26.171|12.383|63.712|1.198|0.588
strlen (GNU libc 2.39)|11|2.173|2.207|22.208|4.343|126.745|4.093|1.399
strlen (LI-PaRAD)|12|2.244|2.247|18.307|4.43|123.527|4.363|1.508
strlen (Arm OR 23.01)|12|6.154|6.167|22.173|12.304|63.306|1.309|0.639
strlen (GNU libc 2.39)|12|2.17|2.205|18.214|4.437|125.091|4.426|1.548
