        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |           1 |          6.484 |          6.638 |          6.981 |          6.665 |          1.646 |          0.140 |          0.002 |
            strncmp (LI-PaRAD) |           1 |          4.235 |          4.238 |          4.435 |          4.271 |          1.389 |          0.218 |          0.003 |     +56.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |           2 |          6.429 |          6.552 |          6.899 |          6.575 |          1.399 |          0.283 |          0.004 |
            strncmp (LI-PaRAD) |           2 |          4.236 |          4.238 |          4.401 |          4.239 |          0.396 |          0.439 |          0.002 |     +55.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |           3 |          6.425 |          6.545 |          6.898 |          6.566 |          1.314 |          0.426 |          0.006 |
            strncmp (LI-PaRAD) |           3 |          4.236 |          4.238 |          4.420 |          4.258 |          1.076 |          0.656 |          0.007 |     +54.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |           4 |          6.451 |          6.578 |          6.861 |          6.580 |          1.183 |          0.566 |          0.007 |
            strncmp (LI-PaRAD) |           4 |          4.236 |          4.238 |          4.419 |          4.251 |          0.861 |          0.876 |          0.007 |     +54.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |           5 |          6.453 |          6.576 |          6.887 |          6.582 |          1.350 |          0.708 |          0.009 |
            strncmp (LI-PaRAD) |           5 |          4.236 |          4.237 |          4.243 |          4.237 |          0.034 |          1.099 |          0.000 |     +55.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |           6 |          6.456 |          6.560 |          6.851 |          6.582 |          1.519 |          0.849 |          0.013 |
            strncmp (LI-PaRAD) |           6 |          4.236 |          4.237 |          4.431 |          4.242 |          0.676 |          1.317 |          0.009 |     +55.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |           7 |          6.429 |          6.575 |          6.843 |          6.583 |          1.574 |          0.991 |          0.015 |
            strncmp (LI-PaRAD) |           7 |          4.236 |          4.238 |          4.424 |          4.263 |          1.135 |          1.529 |          0.017 |     +54.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |           8 |          6.430 |          6.587 |          6.912 |          6.591 |          1.557 |          1.131 |          0.017 |
            strncmp (LI-PaRAD) |           8 |          4.236 |          4.238 |          4.427 |          4.267 |          1.242 |          1.746 |          0.021 |     +54.46%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |           9 |          6.458 |          6.568 |          6.811 |          6.576 |          1.268 |          1.275 |          0.016 |
            strncmp (LI-PaRAD) |           9 |          4.235 |          4.239 |          4.416 |          4.264 |          1.088 |          1.966 |          0.021 |     +54.23%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |          10 |          6.461 |          6.570 |          6.836 |          6.583 |          1.359 |          1.415 |          0.019 |
            strncmp (LI-PaRAD) |          10 |          4.235 |          4.238 |          4.471 |          4.264 |          1.163 |          2.185 |          0.025 |     +54.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |          11 |          6.457 |          6.577 |          6.826 |          6.583 |          1.335 |          1.556 |          0.021 |
            strncmp (LI-PaRAD) |          11 |          4.236 |          4.238 |          4.415 |          4.248 |          0.813 |          2.412 |          0.019 |     +54.98%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |          12 |          6.454 |          6.596 |          6.903 |          6.607 |          1.509 |          1.692 |          0.025 |
            strncmp (LI-PaRAD) |          12 |          4.236 |          4.238 |          4.382 |          4.249 |          0.773 |          2.630 |          0.020 |     +55.50%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strncmp (Arm OR 23.01) |          13 |          6.455 |          6.576 |          6.783 |          6.578 |          1.343 |          1.841 |          0.025 |
            strncmp (LI-PaRAD) |          13 |          4.236 |          4.238 |          4.427 |          4.247 |          0.734 |          2.851 |          0.020 |     +54.91%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
