        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strncmp (Arm OR 23.01) |           1 |          6.642 |          6.848 |          6.951 |          6.846 |          0.929 |          0.136 |          0.001 |
            strncmp (LI-PaRAD) |           1 |          4.236 |          4.238 |          4.437 |          4.250 |          0.898 |          0.219 |          0.002 |     +61.07%
        strncmp (Arm OR 23.01) |           2 |          6.650 |          6.849 |          6.937 |          6.853 |          0.984 |          0.272 |          0.003 |
            strncmp (LI-PaRAD) |           2 |          4.236 |          4.238 |          4.425 |          4.246 |          0.697 |          0.439 |          0.003 |     +61.42%
        strncmp (Arm OR 23.01) |           3 |          6.644 |          6.850 |          6.944 |          6.856 |          0.947 |          0.408 |          0.004 |
            strncmp (LI-PaRAD) |           3 |          4.235 |          4.238 |          4.340 |          4.241 |          0.345 |          0.659 |          0.002 |     +61.68%
        strncmp (Arm OR 23.01) |           4 |          6.674 |          6.848 |          6.936 |          6.847 |          1.024 |          0.544 |          0.006 |
            strncmp (LI-PaRAD) |           4 |          4.236 |          4.238 |          4.464 |          4.249 |          0.856 |          0.877 |          0.007 |     +61.15%
        strncmp (Arm OR 23.01) |           5 |          6.674 |          6.847 |          6.944 |          6.845 |          1.089 |          0.680 |          0.007 |
            strncmp (LI-PaRAD) |           5 |          4.236 |          4.238 |          4.356 |          4.246 |          0.589 |          1.097 |          0.006 |     +61.23%
        strncmp (Arm OR 23.01) |           6 |          6.648 |          6.850 |          6.939 |          6.856 |          1.049 |          0.815 |          0.009 |
            strncmp (LI-PaRAD) |           6 |          4.236 |          4.238 |          4.403 |          4.248 |          0.776 |          1.316 |          0.010 |     +61.40%
        strncmp (Arm OR 23.01) |           7 |          6.684 |          6.848 |          6.938 |          6.860 |          0.905 |          0.950 |          0.009 |
            strncmp (LI-PaRAD) |           7 |          4.236 |          4.237 |          4.269 |          4.238 |          0.080 |          1.538 |          0.001 |     +61.89%
        strncmp (Arm OR 23.01) |           8 |          6.757 |          6.850 |          6.939 |          6.861 |          0.850 |          1.086 |          0.009 |
            strncmp (LI-PaRAD) |           8 |          4.235 |          4.237 |          4.243 |          4.238 |          0.038 |          1.758 |          0.001 |     +61.91%
        strncmp (Arm OR 23.01) |           9 |          6.691 |          6.851 |          6.937 |          6.860 |          0.885 |          1.222 |          0.011 |
            strncmp (LI-PaRAD) |           9 |          4.236 |          4.238 |          4.399 |          4.239 |          0.382 |          1.977 |          0.007 |     +61.80%
        strncmp (Arm OR 23.01) |          10 |          6.676 |          6.848 |          6.939 |          6.847 |          1.001 |          1.360 |          0.014 |
            strncmp (LI-PaRAD) |          10 |          4.235 |          4.237 |          4.244 |          4.238 |          0.040 |          2.198 |          0.001 |     +61.58%
        strncmp (Arm OR 23.01) |          11 |          6.655 |          6.848 |          6.937 |          6.848 |          1.017 |          1.496 |          0.015 |
            strncmp (LI-PaRAD) |          11 |          4.236 |          4.237 |          4.404 |          4.243 |          0.608 |          2.414 |          0.014 |     +61.37%
        strncmp (Arm OR 23.01) |          12 |          6.716 |          6.850 |          6.942 |          6.868 |          0.827 |          1.627 |          0.014 |
            strncmp (LI-PaRAD) |          12 |          4.236 |          4.238 |          4.400 |          4.245 |          0.681 |          2.633 |          0.017 |     +61.80%
        strncmp (Arm OR 23.01) |          13 |          6.642 |          6.847 |          6.937 |          6.843 |          0.991 |          1.770 |          0.018 |
            strncmp (LI-PaRAD) |          13 |          4.236 |          4.238 |          4.241 |          4.238 |          0.035 |          2.857 |          0.001 |     +61.48%
        strncmp (Arm OR 23.01) |          14 |          6.653 |          6.848 |          6.945 |          6.850 |          0.954 |          1.904 |          0.018 |
            strncmp (LI-PaRAD) |          14 |          4.236 |          4.238 |          4.394 |          4.252 |          0.873 |          3.067 |          0.026 |     +61.11%
        strncmp (Arm OR 23.01) |          15 |          6.672 |          6.851 |          6.939 |          6.861 |          0.863 |          2.036 |          0.018 |
            strncmp (LI-PaRAD) |          15 |          4.235 |          4.238 |          4.438 |          4.248 |          0.773 |          3.289 |          0.025 |     +61.52%
        strncmp (Arm OR 23.01) |          16 |          6.683 |          6.848 |          6.939 |          6.850 |          0.931 |          2.176 |          0.020 |
            strncmp (LI-PaRAD) |          16 |          4.236 |          4.238 |          4.399 |          4.250 |          0.857 |          3.506 |          0.029 |     +61.16%
        strncmp (Arm OR 23.01) |          17 |          6.671 |          6.851 |          6.937 |          6.859 |          0.995 |          2.308 |          0.023 |
            strncmp (LI-PaRAD) |          17 |          4.236 |          4.238 |          4.399 |          4.246 |          0.752 |          3.729 |          0.027 |     +61.56%
        strncmp (Arm OR 23.01) |          18 |          6.672 |          6.854 |          6.936 |          6.871 |          0.873 |          2.440 |          0.021 |
            strncmp (LI-PaRAD) |          18 |          4.236 |          4.238 |          4.403 |          4.246 |          0.723 |          3.948 |          0.028 |     +61.82%
        strncmp (Arm OR 23.01) |          19 |          6.757 |          6.922 |          6.939 |          6.884 |          0.817 |          2.571 |          0.021 |
            strncmp (LI-PaRAD) |          19 |          4.236 |          4.238 |          4.462 |          4.251 |          0.876 |          4.163 |          0.036 |     +61.93%
        strncmp (Arm OR 23.01) |          20 |          6.742 |          6.851 |          6.938 |          6.868 |          0.884 |          2.712 |          0.024 |
            strncmp (LI-PaRAD) |          20 |          4.236 |          4.238 |          4.443 |          4.251 |          0.956 |          4.382 |          0.041 |     +61.54%
        strncmp (Arm OR 23.01) |          21 |          6.651 |          6.848 |          6.937 |          6.852 |          0.890 |          2.855 |          0.026 |
            strncmp (LI-PaRAD) |          21 |          4.235 |          4.237 |          4.390 |          4.243 |          0.593 |          4.609 |          0.027 |     +61.47%
        strncmp (Arm OR 23.01) |          22 |          6.691 |          6.849 |          6.938 |          6.858 |          0.972 |          2.988 |          0.029 |
            strncmp (LI-PaRAD) |          22 |          4.236 |          4.238 |          4.466 |          4.245 |          0.725 |          4.827 |          0.034 |     +61.56%
        strncmp (Arm OR 23.01) |          23 |          6.710 |          6.852 |          6.937 |          6.868 |          0.907 |          3.119 |          0.028 |
            strncmp (LI-PaRAD) |          23 |          4.236 |          4.237 |          4.379 |          4.246 |          0.685 |          5.046 |          0.034 |     +61.76%
        strncmp (Arm OR 23.01) |          24 |          7.090 |          7.223 |          7.240 |          7.209 |          0.420 |          3.100 |          0.013 |
            strncmp (LI-PaRAD) |          24 |          4.235 |          4.236 |          4.242 |          4.236 |          0.028 |          5.276 |          0.001 |     +70.19%
        strncmp (Arm OR 23.01) |          25 |          6.661 |          6.857 |          6.936 |          6.865 |          0.995 |          3.392 |          0.034 |
            strncmp (LI-PaRAD) |          25 |          4.236 |          4.238 |          4.247 |          4.238 |          0.040 |          5.494 |          0.002 |     +62.00%
        strncmp (Arm OR 23.01) |          26 |          7.115 |          7.222 |          7.263 |          7.208 |          0.379 |          3.359 |          0.013 |
            strncmp (LI-PaRAD) |          26 |          4.235 |          4.237 |          4.243 |          4.238 |          0.041 |          5.714 |          0.002 |     +70.09%
