ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strncmp (LI-PaRAD)|1|4.236|4.239|28.239|8.602|84.747|0.173|0.077
strncmp (Arm OR 23.01)|1|6.445|6.687|22.779|13.143|59.624|0.1|0.049
strncmp (GNU libc 2.39)|1|3.31|3.334|19.34|6.659|98.008|0.231|0.094
strncmp (LI-PaRAD)|2|4.236|4.239|20.413|8.401|83.023|0.347|0.153
strncmp (Arm OR 23.01)|2|6.424|6.702|22.891|13.263|59.821|0.199|0.099
strncmp (GNU libc 2.39)|2|3.324|3.333|23.334|6.619|97.98|0.463|0.188
strncmp (LI-PaRAD)|3|4.236|4.238|20.434|8.524|83.523|0.519|0.231
strncmp (Arm OR 23.01)|3|6.436|6.749|22.867|13.209|59.647|0.299|0.148
strncmp (GNU libc 2.39)|3|3.321|3.332|19.342|6.539|97.139|0.696|0.281
strncmp (LI-PaRAD)|4|4.236|4.238|20.426|8.522|83.529|0.692|0.309
strncmp (Arm OR 23.01)|4|6.444|6.709|22.918|13.252|59.87|0.399|0.198
strncmp (GNU libc 2.39)|4|3.323|3.333|19.348|6.659|98.019|0.926|0.377
strncmp (LI-PaRAD)|5|4.236|4.291|20.44|8.554|83.102|0.858|0.382
strncmp (Arm OR 23.01)|5|6.422|6.669|22.842|12.994|60.32|0.505|0.247
strncmp (GNU libc 2.39)|5|3.323|3.333|19.345|6.658|98.023|1.157|0.472
strncmp (LI-PaRAD)|6|4.236|4.239|20.379|8.48|83.295|1.04|0.462
strncmp (Arm OR 23.01)|6|6.423|6.711|22.794|13.198|59.758|0.599|0.297
strncmp (GNU libc 2.39)|6|3.32|3.332|19.344|6.659|98.025|1.389|0.566
strncmp (LI-PaRAD)|7|4.236|4.241|20.305|8.453|82.815|1.21|0.535
strncmp (Arm OR 23.01)|7|6.459|6.741|22.855|13.216|59.597|0.697|0.345
strncmp (GNU libc 2.39)|7|3.32|3.332|19.344|6.539|97.905|1.626|0.652
strncmp (LI-PaRAD)|8|4.236|4.238|20.247|8.518|83.55|1.386|0.618
strncmp (Arm OR 23.01)|8|6.45|6.756|22.874|13.287|59.678|0.793|0.394
strncmp (GNU libc 2.39)|8|3.324|3.332|19.358|6.659|98.027|1.852|0.755
strncmp (LI-PaRAD)|9|4.236|4.239|20.246|8.361|84.086|1.574|0.686
strncmp (Arm OR 23.01)|9|6.452|6.728|22.826|13.268|59.67|0.894|0.444
strncmp (GNU libc 2.39)|9|4.126|4.149|20.16|8.384|84.246|1.594|0.713
strncmp (LI-PaRAD)|10|4.236|4.239|20.303|8.528|83.39|1.727|0.77
strncmp (Arm OR 23.01)|10|6.429|6.756|22.873|13.258|59.717|0.994|0.494
strncmp (GNU libc 2.39)|10|4.13|4.148|20.16|8.266|84.226|1.777|0.783
strncmp (LI-PaRAD)|11|4.236|4.239|20.246|8.521|83.497|1.904|0.849
strncmp (Arm OR 23.01)|11|6.443|6.712|22.805|13.248|59.78|1.096|0.545
strncmp (GNU libc 2.39)|11|4.129|4.148|20.164|8.266|85.089|1.966|0.863
strncmp (LI-PaRAD)|12|4.235|4.239|20.384|8.481|83.285|2.079|0.924
strncmp (Arm OR 23.01)|12|6.446|6.772|22.776|13.267|59.643|1.191|0.591
strncmp (GNU libc 2.39)|12|4.126|4.148|32.151|8.384|87.427|2.143|0.945
strncmp (LI-PaRAD)|13|4.236|4.239|20.247|8.523|83.473|2.249|1.002
strncmp (Arm OR 23.01)|13|6.438|6.754|22.87|13.02|60.129|1.31|0.64
strncmp (GNU libc 2.39)|13|4.129|4.149|24.15|8.306|85.624|2.322|1.021
strncmp (LI-PaRAD)|14|4.235|4.243|20.381|8.547|83.245|2.409|1.073
strncmp (Arm OR 23.01)|14|6.437|6.739|22.881|13.258|59.717|1.392|0.692
strncmp (GNU libc 2.39)|14|4.129|4.148|20.16|8.149|85.05|2.511|1.085
strncmp (LI-PaRAD)|15|4.236|4.239|20.544|8.53|83.52|2.594|1.156
strncmp (Arm OR 23.01)|15|6.452|6.754|22.774|13.218|59.56|1.492|0.738
strncmp (GNU libc 2.39)|15|4.132|4.149|20.163|8.265|85.078|2.681|1.176
strncmp (LI-PaRAD)|16|4.236|4.239|20.247|8.517|83.563|2.772|1.236
strncmp (Arm OR 23.01)|16|6.454|6.745|22.871|13.2|59.467|1.591|0.785
strncmp (GNU libc 2.39)|16|4.132|4.149|20.159|8.266|85.071|2.859|1.254
strncmp (LI-PaRAD)|17|4.236|4.239|20.439|8.247|83.27|2.978|1.287
strncmp (Arm OR 23.01)|17|6.421|6.758|22.831|13.305|58.994|1.679|0.839
strncmp (GNU libc 2.39)|17|5.16|5.193|33.191|10.338|74.512|2.32|1.079
strncmp (LI-PaRAD)|18|4.236|4.239|20.437|8.528|83.521|3.113|1.388
strncmp (Arm OR 23.01)|18|6.436|6.819|22.785|13.388|58.934|1.769|0.886
strncmp (GNU libc 2.39)|18|5.174|5.194|21.201|10.379|72.216|2.435|1.147
strncmp (LI-PaRAD)|19|4.236|4.239|20.497|8.447|83.275|3.293|1.457
strncmp (Arm OR 23.01)|19|6.473|6.79|22.894|13.274|59.622|1.885|0.935
strncmp (GNU libc 2.39)|19|5.163|5.193|21.201|10.417|72.412|2.569|1.214
strncmp (LI-PaRAD)|20|4.236|4.239|20.429|8.519|83.574|3.465|1.545
strncmp (Arm OR 23.01)|20|6.433|6.706|22.826|13.049|60.258|2.016|0.987
strncmp (GNU libc 2.39)|20|5.17|5.193|21.243|10.538|71.697|2.679|1.284
strncmp (LI-PaRAD)|21|4.236|4.239|20.384|8.524|83.518|3.634|1.62
strncmp (Arm OR 23.01)|21|6.458|6.697|22.799|13.252|59.831|2.092|1.041
