        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           1 |          4.461 |          4.479 |          4.499 |          4.480 |          0.215 |          0.208 |          0.000 |
            strncpy (LI-PaRAD) |           1 |          2.310 |          2.311 |          2.316 |          2.311 |          0.058 |          0.403 |          0.000 |     +93.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           2 |          4.627 |          4.641 |          4.656 |          4.641 |          0.130 |          0.401 |          0.001 |
            strncpy (LI-PaRAD) |           2 |          2.310 |          2.311 |          2.315 |          2.311 |          0.060 |          0.806 |          0.000 |    +100.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           3 |          4.626 |          4.642 |          4.657 |          4.642 |          0.173 |          0.602 |          0.001 |
            strncpy (LI-PaRAD) |           3 |          2.308 |          2.311 |          2.316 |          2.311 |          0.064 |          1.209 |          0.001 |    +100.83%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           4 |          4.621 |          4.623 |          4.642 |          4.623 |          0.057 |          0.806 |          0.000 |
            strncpy (LI-PaRAD) |           4 |          2.308 |          2.311 |          2.316 |          2.311 |          0.074 |          1.612 |          0.001 |    +100.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           5 |          4.621 |          4.623 |          4.630 |          4.623 |          0.040 |          1.007 |          0.000 |
            strncpy (LI-PaRAD) |           5 |          2.308 |          2.311 |          2.320 |          2.312 |          0.079 |          2.015 |          0.002 |    +100.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           6 |          4.621 |          4.623 |          4.630 |          4.623 |          0.041 |          1.209 |          0.000 |
            strncpy (LI-PaRAD) |           6 |          2.308 |          2.311 |          2.321 |          2.312 |          0.084 |          2.417 |          0.002 |    +100.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           7 |          4.620 |          4.623 |          4.627 |          4.623 |          0.038 |          1.410 |          0.001 |
            strncpy (LI-PaRAD) |           7 |          2.308 |          2.311 |          2.316 |          2.311 |          0.077 |          2.820 |          0.002 |    +100.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           8 |          4.238 |          4.240 |          4.244 |          4.240 |          0.039 |          1.757 |          0.001 |
            strncpy (LI-PaRAD) |           8 |          2.308 |          2.311 |          2.316 |          2.312 |          0.074 |          3.223 |          0.002 |     +83.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |           9 |          4.237 |          4.239 |          4.244 |          4.239 |          0.038 |          1.977 |          0.001 |
            strncpy (LI-PaRAD) |           9 |          2.308 |          2.311 |          2.316 |          2.311 |          0.070 |          3.626 |          0.003 |     +83.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          10 |          4.237 |          4.239 |          4.245 |          4.240 |          0.039 |          2.197 |          0.001 |
            strncpy (LI-PaRAD) |          10 |          2.308 |          2.311 |          2.316 |          2.312 |          0.078 |          4.029 |          0.003 |     +83.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          11 |          4.238 |          4.239 |          4.266 |          4.240 |          0.072 |          2.416 |          0.002 |
            strncpy (LI-PaRAD) |          11 |          2.310 |          2.311 |          2.316 |          2.311 |          0.069 |          4.432 |          0.003 |     +83.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          12 |          4.237 |          4.239 |          4.246 |          4.239 |          0.038 |          2.636 |          0.001 |
            strncpy (LI-PaRAD) |          12 |          2.308 |          2.311 |          2.317 |          2.311 |          0.078 |          4.835 |          0.004 |     +83.41%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          13 |          4.238 |          4.239 |          4.244 |          4.240 |          0.035 |          2.856 |          0.001 |
            strncpy (LI-PaRAD) |          13 |          2.308 |          2.311 |          2.316 |          2.311 |          0.069 |          5.238 |          0.004 |     +83.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          14 |          4.238 |          4.240 |          4.244 |          4.240 |          0.036 |          3.075 |          0.001 |
            strncpy (LI-PaRAD) |          14 |          2.308 |          2.311 |          2.316 |          2.311 |          0.076 |          5.641 |          0.004 |     +83.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          15 |          4.237 |          4.239 |          4.244 |          4.239 |          0.039 |          3.295 |          0.001 |
            strncpy (LI-PaRAD) |          15 |          2.308 |          2.311 |          2.316 |          2.311 |          0.069 |          6.044 |          0.004 |     +83.42%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          16 |          3.849 |          3.852 |          3.855 |          3.852 |          0.034 |          3.868 |          0.001 |
            strncpy (LI-PaRAD) |          16 |          2.310 |          2.311 |          2.316 |          2.311 |          0.067 |          6.447 |          0.004 |     +66.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          17 |          5.052 |          5.067 |          5.077 |          5.066 |          0.138 |          3.126 |          0.004 |
            strncpy (LI-PaRAD) |          17 |          2.308 |          2.311 |          2.316 |          2.311 |          0.077 |          6.850 |          0.005 |    +119.15%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       strncpy (GNU libc 2.39) |          18 |          5.049 |          5.064 |          5.075 |          5.063 |          0.142 |          3.311 |          0.005 |
