ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strncpy (LI-PaRAD)|1|2.308|2.311|2.333|2.312|0.123|0.403|0.0
strncpy (GNU libc 2.39)|1|4.661|4.681|4.747|4.683|0.245|0.199|0.0
strncpy (LI-PaRAD)|2|2.308|2.311|2.319|2.312|0.101|0.806|0.001
strncpy (GNU libc 2.39)|2|4.683|4.721|4.733|4.721|0.141|0.395|0.001
strncpy (LI-PaRAD)|3|2.308|2.311|2.317|2.312|0.082|1.209|0.001
strncpy (GNU libc 2.39)|3|4.695|4.705|4.725|4.706|0.099|0.594|0.001
strncpy (LI-PaRAD)|4|2.308|2.311|2.325|2.312|0.115|1.611|0.002
strncpy (GNU libc 2.39)|4|4.621|4.623|4.627|4.623|0.041|0.806|0.0
strncpy (LI-PaRAD)|5|2.308|2.311|2.317|2.312|0.089|2.014|0.002
strncpy (GNU libc 2.39)|5|4.621|4.623|4.627|4.623|0.04|1.007|0.0
strncpy (LI-PaRAD)|6|2.308|2.311|2.32|2.312|0.097|2.417|0.002
strncpy (GNU libc 2.39)|6|4.621|4.624|4.629|4.624|0.051|1.209|0.001
strncpy (LI-PaRAD)|7|2.308|2.311|2.318|2.312|0.091|2.82|0.003
strncpy (GNU libc 2.39)|7|4.62|4.624|4.632|4.624|0.049|1.41|0.001
strncpy (LI-PaRAD)|8|2.308|2.312|2.32|2.313|0.113|3.222|0.004
strncpy (GNU libc 2.39)|8|4.336|4.38|4.471|4.381|0.586|1.701|0.01
strncpy (LI-PaRAD)|9|2.308|2.311|2.317|2.312|0.08|3.626|0.003
strncpy (GNU libc 2.39)|9|4.335|4.363|4.401|4.363|0.373|1.921|0.007
strncpy (LI-PaRAD)|10|2.308|2.312|2.331|2.313|0.14|4.027|0.006
strncpy (GNU libc 2.39)|10|4.336|4.374|4.412|4.375|0.368|2.129|0.008
strncpy (LI-PaRAD)|11|2.308|2.311|2.316|2.312|0.08|4.432|0.004
strncpy (GNU libc 2.39)|11|4.328|4.363|4.4|4.363|0.35|2.348|0.008
strncpy (LI-PaRAD)|12|2.308|2.312|2.321|2.313|0.117|4.833|0.006
strncpy (GNU libc 2.39)|12|4.333|4.378|4.446|4.381|0.505|2.551|0.013
strncpy (LI-PaRAD)|13|2.308|2.311|2.316|2.312|0.087|5.237|0.005
strncpy (GNU libc 2.39)|13|4.324|4.366|4.398|4.363|0.4|2.775|0.011
strncpy (LI-PaRAD)|14|2.308|2.311|2.32|2.312|0.107|5.639|0.006
strncpy (GNU libc 2.39)|14|4.339|4.379|4.411|4.377|0.361|2.979|0.011
strncpy (LI-PaRAD)|15|2.308|2.311|2.316|2.312|0.085|6.043|0.005
strncpy (GNU libc 2.39)|15|4.326|4.364|4.396|4.364|0.369|3.201|0.012
strncpy (LI-PaRAD)|16|2.308|2.312|2.326|2.312|0.113|6.444|0.007
strncpy (GNU libc 2.39)|16|4.018|4.053|4.062|4.053|0.128|3.677|0.005
strncpy (LI-PaRAD)|17|2.308|2.311|2.317|2.312|0.09|6.849|0.006
strncpy (GNU libc 2.39)|17|5.63|5.684|5.721|5.682|0.32|2.786|0.009
strncpy (LI-PaRAD)|18|2.308|2.312|2.328|2.313|0.143|7.249|0.01
strncpy (GNU libc 2.39)|18|5.66|5.709|5.748|5.708|0.393|2.937|0.012
strncpy (LI-PaRAD)|19|2.308|2.311|2.414|2.313|0.45|7.651|0.033
strncpy (GNU libc 2.39)|19|5.63|5.689|5.742|5.685|0.32|3.112|0.01
strncpy (LI-PaRAD)|20|2.308|2.311|2.319|2.312|0.096|8.057|0.008
strncpy (GNU libc 2.39)|20|5.493|5.523|5.544|5.521|0.241|3.374|0.008
strncpy (LI-PaRAD)|21|2.308|2.311|2.317|2.312|0.092|8.46|0.008
strncpy (GNU libc 2.39)|21|5.635|5.688|5.717|5.686|0.301|3.439|0.01
strncpy (LI-PaRAD)|22|2.308|2.311|2.442|2.314|0.569|8.856|0.048
strncpy (GNU libc 2.39)|22|5.656|5.721|5.753|5.717|0.356|3.584|0.013
strncpy (LI-PaRAD)|23|2.308|2.312|2.317|2.312|0.069|9.266|0.006
strncpy (GNU libc 2.39)|23|5.628|5.687|5.717|5.681|0.342|3.77|0.013
strncpy (LI-PaRAD)|24|3.037|3.137|3.165|3.13|0.71|7.14|0.052
strncpy (GNU libc 2.39)|24|5.624|5.657|5.705|5.658|0.305|3.951|0.012
strncpy (LI-PaRAD)|25|2.31|2.311|2.316|2.312|0.073|10.072|0.007
strncpy (GNU libc 2.39)|25|5.656|5.693|5.732|5.693|0.349|4.089|0.014
strncpy (LI-PaRAD)|26|3.034|3.134|3.165|3.128|0.761|7.741|0.06
strncpy (GNU libc 2.39)|26|5.636|5.683|5.712|5.678|0.327|4.265|0.014
strncpy (LI-PaRAD)|27|2.31|2.311|2.319|2.312|0.09|10.877|0.01
strncpy (GNU libc 2.39)|27|5.66|5.692|5.729|5.695|0.368|4.415|0.016
strncpy (LI-PaRAD)|28|3.036|3.136|3.163|3.131|0.708|8.329|0.06
strncpy (GNU libc 2.39)|28|5.631|5.655|5.673|5.654|0.201|4.612|0.009
strncpy (LI-PaRAD)|29|2.31|2.311|2.316|2.312|0.079|11.683|0.009
strncpy (GNU libc 2.39)|29|5.657|5.682|5.701|5.681|0.201|4.754|0.01
strncpy (LI-PaRAD)|30|3.031|3.132|3.163|3.129|0.647|8.93|0.059
strncpy (GNU libc 2.39)|30|5.635|5.686|5.715|5.685|0.274|4.915|0.014
strncpy (LI-PaRAD)|31|2.31|2.311|2.316|2.312|0.071|12.49|0.009
strncpy (GNU libc 2.39)|31|5.656|5.682|5.712|5.681|0.216|5.082|0.011
strncpy (LI-PaRAD)|32|2.887|3.126|3.158|3.095|2.357|9.635|0.235
strncpy (GNU libc 2.39)|32|5.477|5.501|5.521|5.501|0.203|5.418|0.011
strncpy (LI-PaRAD)|33|6.632|6.647|6.837|6.65|0.369|4.622|0.017
strncpy (GNU libc 2.39)|33|6.716|6.742|6.765|6.742|0.121|4.558|0.006
strncpy (LI-PaRAD)|34|4.652|4.838|7.931|5.052|13.1|6.347|0.617
strncpy (GNU libc 2.39)|34|6.741|6.761|6.785|6.762|0.135|4.683|0.006
strncpy (LI-PaRAD)|35|6.612|6.645|6.865|6.65|0.467|4.902|0.022
strncpy (GNU libc 2.39)|35|6.722|6.743|6.761|6.742|0.127|4.835|0.006
strncpy (LI-PaRAD)|36|4.601|4.86|7.032|4.961|9.153|6.802|0.488
strncpy (GNU libc 2.39)|36|6.586|6.61|6.645|6.612|0.195|5.071|0.01
strncpy (LI-PaRAD)|37|6.623|6.645|6.833|6.647|0.287|5.184|0.015
strncpy (GNU libc 2.39)|37|6.715|6.743|6.761|6.743|0.13|5.11|0.007
strncpy (LI-PaRAD)|38|4.651|4.81|6.819|4.9|7.86|7.257|0.442
strncpy (GNU libc 2.39)|38|6.774|6.799|6.842|6.801|0.212|5.203|0.011
strncpy (LI-PaRAD)|39|6.625|6.642|6.859|6.647|0.513|5.464|0.027
strncpy (GNU libc 2.39)|39|6.725|6.742|6.763|6.743|0.123|5.387|0.007
strncpy (LI-PaRAD)|40|4.554|4.561|4.58|4.561|0.071|8.168|0.006
strncpy (GNU libc 2.39)|40|6.293|6.326|6.361|6.327|0.195|5.888|0.012
strncpy (LI-PaRAD)|41|4.493|4.553|4.562|4.552|0.216|8.389|0.018
strncpy (GNU libc 2.39)|41|6.689|6.709|6.735|6.709|0.151|5.692|0.009
strncpy (LI-PaRAD)|42|4.443|4.584|4.803|4.582|1.823|8.54|0.155
strncpy (GNU libc 2.39)|42|6.722|6.769|6.821|6.769|0.283|5.779|0.016
strncpy (LI-PaRAD)|43|4.577|4.634|4.676|4.634|0.365|8.642|0.032
strncpy (GNU libc 2.39)|43|6.706|6.743|6.789|6.745|0.218|5.937|0.013
strncpy (LI-PaRAD)|44|4.506|4.56|4.569|4.558|0.2|8.99|0.018
strncpy (GNU libc 2.39)|44|6.303|6.328|6.352|6.327|0.181|6.477|0.012
strncpy (LI-PaRAD)|45|4.526|4.554|4.56|4.553|0.117|9.205|0.011
strncpy (GNU libc 2.39)|45|6.684|6.708|6.75|6.709|0.191|6.247|0.012
