        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           1 |          5.494 |          5.778 |          5.926 |          5.756 |          1.141 |          0.162 |          0.002 |
            strnlen (LI-PaRAD) |           1 |          2.695 |          2.889 |          2.892 |          2.881 |          1.017 |          0.323 |          0.003 |     +99.76%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           2 |          5.609 |          5.778 |          5.785 |          5.763 |          0.818 |          0.323 |          0.003 |
            strnlen (LI-PaRAD) |           2 |          2.723 |          2.889 |          2.893 |          2.880 |          1.047 |          0.647 |          0.007 |    +100.08%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           3 |          5.611 |          5.779 |          5.782 |          5.773 |          0.499 |          0.484 |          0.002 |
            strnlen (LI-PaRAD) |           3 |          2.722 |          2.889 |          2.893 |          2.881 |          0.961 |          0.970 |          0.010 |    +100.36%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           4 |          5.611 |          5.779 |          5.871 |          5.772 |          0.554 |          0.645 |          0.004 |
            strnlen (LI-PaRAD) |           4 |          2.773 |          2.889 |          2.893 |          2.881 |          0.930 |          1.293 |          0.012 |    +100.33%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           5 |          5.609 |          5.779 |          5.782 |          5.765 |          0.770 |          0.808 |          0.006 |
            strnlen (LI-PaRAD) |           5 |          2.734 |          2.889 |          2.892 |          2.881 |          0.993 |          1.616 |          0.017 |    +100.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           6 |          5.610 |          5.779 |          5.805 |          5.767 |          0.708 |          0.969 |          0.007 |
            strnlen (LI-PaRAD) |           6 |          2.724 |          2.888 |          2.902 |          2.883 |          0.951 |          1.939 |          0.019 |    +100.07%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           7 |          5.611 |          5.779 |          5.796 |          5.765 |          0.719 |          1.131 |          0.008 |
            strnlen (LI-PaRAD) |           7 |          2.773 |          2.889 |          2.894 |          2.882 |          0.862 |          2.262 |          0.020 |    +100.04%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           8 |          5.610 |          5.779 |          5.863 |          5.772 |          0.546 |          1.291 |          0.007 |
            strnlen (LI-PaRAD) |           8 |          2.756 |          2.889 |          2.896 |          2.877 |          1.185 |          2.590 |          0.032 |    +100.60%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |           9 |          5.610 |          5.778 |          5.786 |          5.766 |          0.705 |          1.454 |          0.010 |
            strnlen (LI-PaRAD) |           9 |          2.695 |          2.889 |          2.895 |          2.880 |          1.248 |          2.911 |          0.038 |    +100.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          10 |          5.493 |          5.778 |          5.873 |          5.767 |          0.789 |          1.615 |          0.013 |
            strnlen (LI-PaRAD) |          10 |          2.704 |          2.889 |          2.892 |          2.878 |          1.236 |          3.236 |          0.042 |    +100.35%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          11 |          5.611 |          5.778 |          5.782 |          5.770 |          0.548 |          1.776 |          0.010 |
            strnlen (LI-PaRAD) |          11 |          2.728 |          2.889 |          2.899 |          2.885 |          0.752 |          3.551 |          0.028 |    +100.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          12 |          5.609 |          5.779 |          5.784 |          5.770 |          0.597 |          1.937 |          0.012 |
            strnlen (LI-PaRAD) |          12 |          2.757 |          2.889 |          2.894 |          2.881 |          0.947 |          3.880 |          0.038 |    +100.27%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          13 |          5.525 |          5.778 |          5.849 |          5.758 |          0.933 |          2.103 |          0.020 |
            strnlen (LI-PaRAD) |          13 |          2.768 |          2.888 |          2.892 |          2.881 |          0.928 |          4.203 |          0.040 |     +99.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          14 |          5.571 |          5.779 |          5.782 |          5.766 |          0.730 |          2.261 |          0.017 |
            strnlen (LI-PaRAD) |          14 |          2.738 |          2.889 |          2.893 |          2.880 |          1.075 |          4.528 |          0.050 |    +100.21%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          15 |          5.609 |          5.779 |          5.861 |          5.768 |          0.698 |          2.422 |          0.017 |
            strnlen (LI-PaRAD) |          15 |          2.741 |          2.889 |          2.894 |          2.882 |          0.890 |          4.848 |          0.045 |    +100.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          16 |          5.610 |          5.778 |          5.782 |          5.765 |          0.723 |          2.585 |          0.019 |
            strnlen (LI-PaRAD) |          16 |          2.739 |          2.889 |          2.893 |          2.877 |          1.232 |          5.180 |          0.066 |    +100.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          17 |          5.611 |          5.779 |          5.850 |          5.772 |          0.570 |          2.743 |          0.016 |
            strnlen (LI-PaRAD) |          17 |          2.731 |          2.889 |          2.892 |          2.880 |          1.074 |          5.499 |          0.061 |    +100.45%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          18 |          5.609 |          5.779 |          5.839 |          5.768 |          0.667 |          2.906 |          0.020 |
            strnlen (LI-PaRAD) |          18 |          2.749 |          2.889 |          2.893 |          2.882 |          0.897 |          5.817 |          0.054 |    +100.14%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          19 |          5.609 |          5.779 |          5.808 |          5.771 |          0.540 |          3.066 |          0.017 |
            strnlen (LI-PaRAD) |          19 |          2.773 |          2.889 |          2.893 |          2.880 |          0.975 |          6.145 |          0.062 |    +100.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          20 |          5.609 |          5.779 |          5.786 |          5.764 |          0.746 |          3.232 |          0.025 |
            strnlen (LI-PaRAD) |          20 |          2.770 |          2.889 |          2.892 |          2.881 |          0.909 |          6.465 |          0.061 |    +100.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          21 |          5.610 |          5.779 |          5.796 |          5.763 |          0.812 |          3.394 |          0.028 |
            strnlen (LI-PaRAD) |          21 |          2.724 |          2.889 |          2.893 |          2.883 |          0.871 |          6.783 |          0.062 |     +99.85%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          22 |          5.609 |          5.779 |          5.785 |          5.768 |          0.682 |          3.552 |          0.025 |
            strnlen (LI-PaRAD) |          22 |          2.751 |          2.889 |          2.893 |          2.881 |          0.860 |          7.112 |          0.063 |    +100.21%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          23 |          5.611 |          5.779 |          5.786 |          5.774 |          0.411 |          3.710 |          0.016 |
            strnlen (LI-PaRAD) |          23 |          2.695 |          2.888 |          2.893 |          2.874 |          1.416 |          7.455 |          0.110 |    +100.92%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          24 |          5.610 |          5.779 |          5.783 |          5.770 |          0.583 |          3.874 |          0.023 |
            strnlen (LI-PaRAD) |          24 |          2.695 |          2.889 |          2.893 |          2.872 |          1.483 |          7.786 |          0.120 |    +100.93%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          25 |          5.609 |          5.779 |          5.787 |          5.768 |          0.684 |          4.037 |          0.028 |
            strnlen (LI-PaRAD) |          25 |          2.773 |          2.889 |          2.895 |          2.883 |          0.791 |          8.077 |          0.066 |    +100.07%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          26 |          5.562 |          5.779 |          5.783 |          5.762 |          0.849 |          4.203 |          0.037 |
            strnlen (LI-PaRAD) |          26 |          2.711 |          2.889 |          2.895 |          2.881 |          1.046 |          8.404 |          0.092 |     +99.96%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          27 |          5.515 |          5.779 |          5.783 |          5.764 |          0.777 |          4.363 |          0.035 |
            strnlen (LI-PaRAD) |          27 |          2.773 |          2.889 |          2.893 |          2.886 |          0.600 |          8.715 |          0.054 |     +99.75%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          28 |          5.538 |          5.778 |          5.843 |          5.766 |          0.763 |          4.523 |          0.035 |
            strnlen (LI-PaRAD) |          28 |          2.740 |          2.889 |          2.893 |          2.881 |          0.985 |          9.054 |          0.092 |    +100.17%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          29 |          5.612 |          5.779 |          5.781 |          5.776 |          0.307 |          4.676 |          0.015 |
            strnlen (LI-PaRAD) |          29 |          2.785 |          2.889 |          2.893 |          2.886 |          0.470 |          9.358 |          0.045 |    +100.12%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          30 |          5.494 |          5.779 |          5.789 |          5.756 |          0.996 |          4.854 |          0.050 |
            strnlen (LI-PaRAD) |          30 |          2.695 |          2.889 |          2.893 |          2.882 |          1.085 |          9.697 |          0.111 |     +99.75%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          31 |          5.609 |          5.779 |          5.803 |          5.765 |          0.769 |          5.008 |          0.039 |
            strnlen (LI-PaRAD) |          31 |          2.733 |          2.889 |          2.893 |          2.876 |          1.329 |         10.041 |          0.138 |    +100.47%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strnlen (Arm OR 23.01) |          32 |          6.162 |          6.283 |          6.359 |          6.270 |          0.827 |          4.754 |          0.039 |
