        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
       strnlen (GNU libc 2.39) |           1 |          2.023 |          2.042 |          2.060 |          2.040 |          0.399 |          0.457 |          0.002 |
            strnlen (LI-PaRAD) |           1 |          2.755 |          2.888 |          2.893 |          2.881 |          0.917 |          0.323 |          0.003 |     -29.21%
       strnlen (GNU libc 2.39) |           2 |          2.695 |          2.697 |          2.701 |          2.697 |          0.069 |          0.691 |          0.000 |
            strnlen (LI-PaRAD) |           2 |          2.743 |          2.889 |          2.894 |          2.883 |          0.742 |          0.646 |          0.005 |      -6.47%
       strnlen (GNU libc 2.39) |           3 |          2.694 |          2.697 |          2.701 |          2.697 |          0.070 |          1.036 |          0.001 |
            strnlen (LI-PaRAD) |           3 |          2.731 |          2.889 |          2.893 |          2.886 |          0.638 |          0.968 |          0.006 |      -6.56%
       strnlen (GNU libc 2.39) |           4 |          2.694 |          2.697 |          2.705 |          2.697 |          0.074 |          1.381 |          0.001 |
            strnlen (LI-PaRAD) |           4 |          2.767 |          2.888 |          2.893 |          2.881 |          0.884 |          1.293 |          0.012 |      -6.39%
       strnlen (GNU libc 2.39) |           5 |          2.694 |          2.697 |          2.701 |          2.697 |          0.070 |          1.727 |          0.001 |
            strnlen (LI-PaRAD) |           5 |          2.788 |          2.890 |          2.894 |          2.887 |          0.460 |          1.613 |          0.008 |      -6.59%
       strnlen (GNU libc 2.39) |           6 |          2.694 |          2.696 |          2.701 |          2.697 |          0.069 |          2.072 |          0.001 |
            strnlen (LI-PaRAD) |           6 |          2.740 |          2.890 |          2.893 |          2.887 |          0.615 |          1.936 |          0.012 |      -6.59%
       strnlen (GNU libc 2.39) |           7 |          2.694 |          2.697 |          2.701 |          2.697 |          0.071 |          2.418 |          0.002 |
            strnlen (LI-PaRAD) |           7 |          2.728 |          2.887 |          2.893 |          2.860 |          1.665 |          2.280 |          0.039 |      -5.72%
       strnlen (GNU libc 2.39) |           8 |          2.695 |          2.697 |          2.703 |          2.697 |          0.072 |          2.763 |          0.002 |
            strnlen (LI-PaRAD) |           8 |          2.731 |          2.851 |          2.893 |          2.839 |          1.696 |          2.625 |          0.045 |      -5.02%
       strnlen (GNU libc 2.39) |           9 |          2.694 |          2.696 |          2.701 |          2.697 |          0.072 |          3.108 |          0.002 |
            strnlen (LI-PaRAD) |           9 |          2.695 |          2.832 |          2.892 |          2.823 |          1.676 |          2.970 |          0.050 |      -4.48%
       strnlen (GNU libc 2.39) |          10 |          2.695 |          2.697 |          2.730 |          2.697 |          0.142 |          3.453 |          0.005 |
            strnlen (LI-PaRAD) |          10 |          2.739 |          2.889 |          2.893 |          2.881 |          0.901 |          3.232 |          0.030 |      -6.40%
       strnlen (GNU libc 2.39) |          11 |          2.694 |          2.697 |          2.702 |          2.697 |          0.073 |          3.799 |          0.003 |
            strnlen (LI-PaRAD) |          11 |          2.696 |          2.834 |          2.892 |          2.829 |          1.727 |          3.622 |          0.063 |      -4.67%
       strnlen (GNU libc 2.39) |          12 |          2.695 |          2.697 |          2.705 |          2.697 |          0.078 |          4.144 |          0.003 |
            strnlen (LI-PaRAD) |          12 |          2.731 |          2.888 |          2.893 |          2.860 |          1.630 |          3.909 |          0.065 |      -5.71%
       strnlen (GNU libc 2.39) |          13 |          2.694 |          2.697 |          2.709 |          2.697 |          0.078 |          4.490 |          0.004 |
            strnlen (LI-PaRAD) |          13 |          2.796 |          2.889 |          2.893 |          2.886 |          0.486 |          4.196 |          0.021 |      -6.55%
       strnlen (GNU libc 2.39) |          14 |          2.694 |          2.697 |          2.701 |          2.697 |          0.071 |          4.835 |          0.003 |
            strnlen (LI-PaRAD) |          14 |          2.812 |          2.890 |          2.894 |          2.888 |          0.307 |          4.515 |          0.014 |      -6.63%
       strnlen (GNU libc 2.39) |          15 |          2.694 |          2.697 |          2.701 |          2.697 |          0.070 |          5.180 |          0.004 |
            strnlen (LI-PaRAD) |          15 |          2.887 |          2.889 |          2.897 |          2.889 |          0.058 |          4.836 |          0.003 |      -6.64%
       strnlen (GNU libc 2.39) |          16 |          2.694 |          2.696 |          2.705 |          2.696 |          0.062 |          5.527 |          0.003 |
            strnlen (LI-PaRAD) |          16 |          2.887 |          2.888 |          2.891 |          2.888 |          0.047 |          5.159 |          0.002 |      -6.66%
       strnlen (GNU libc 2.39) |          17 |          3.079 |          3.082 |          3.086 |          3.081 |          0.055 |          5.138 |          0.003 |
            strnlen (LI-PaRAD) |          17 |          2.723 |          2.888 |          2.893 |          2.869 |          1.434 |          5.521 |          0.081 |      +7.42%
       strnlen (GNU libc 2.39) |          18 |          3.079 |          3.082 |          3.094 |          3.082 |          0.077 |          5.439 |          0.004 |
            strnlen (LI-PaRAD) |          18 |          2.725 |          2.888 |          2.896 |          2.873 |          1.320 |          5.836 |          0.079 |      +7.27%
       strnlen (GNU libc 2.39) |          19 |          3.079 |          3.082 |          3.086 |          3.082 |          0.064 |          5.742 |          0.004 |
            strnlen (LI-PaRAD) |          19 |          2.718 |          2.889 |          2.893 |          2.879 |          1.235 |          6.148 |          0.079 |      +7.06%
       strnlen (GNU libc 2.39) |          20 |          3.079 |          3.082 |          3.086 |          3.082 |          0.068 |          6.044 |          0.004 |
            strnlen (LI-PaRAD) |          20 |          2.808 |          2.890 |          2.894 |          2.888 |          0.298 |          6.449 |          0.020 |      +6.70%
       strnlen (GNU libc 2.39) |          21 |          3.079 |          3.082 |          3.087 |          3.082 |          0.066 |          6.346 |          0.004 |
            strnlen (LI-PaRAD) |          21 |          2.696 |          2.890 |          2.897 |          2.887 |          0.674 |          6.774 |          0.049 |      +6.74%
       strnlen (GNU libc 2.39) |          22 |          3.079 |          3.082 |          3.086 |          3.082 |          0.068 |          6.648 |          0.005 |
            strnlen (LI-PaRAD) |          22 |          2.782 |          2.890 |          2.894 |          2.886 |          0.535 |          7.099 |          0.039 |      +6.77%
       strnlen (GNU libc 2.39) |          23 |          3.079 |          3.082 |          3.085 |          3.082 |          0.062 |          6.950 |          0.004 |
            strnlen (LI-PaRAD) |          23 |          2.887 |          2.890 |          2.923 |          2.890 |          0.133 |          7.413 |          0.010 |      +6.66%
       strnlen (GNU libc 2.39) |          24 |          3.079 |          3.082 |          3.086 |          3.082 |          0.061 |          7.252 |          0.004 |
            strnlen (LI-PaRAD) |          24 |          2.784 |          2.918 |          2.922 |          2.911 |          0.796 |          7.679 |          0.063 |      +5.88%
       strnlen (GNU libc 2.39) |          25 |          3.079 |          3.082 |          3.086 |          3.082 |          0.062 |          7.555 |          0.005 |
            strnlen (LI-PaRAD) |          25 |          2.716 |          2.917 |          2.931 |          2.914 |          0.737 |          7.991 |          0.063 |      +5.77%
       strnlen (GNU libc 2.39) |          26 |          3.079 |          3.082 |          3.086 |          3.082 |          0.064 |          7.857 |          0.005 |
            strnlen (LI-PaRAD) |          26 |          2.753 |          2.917 |          2.922 |          2.912 |          0.762 |          8.316 |          0.066 |      +5.84%
       strnlen (GNU libc 2.39) |          27 |          3.079 |          3.082 |          3.086 |          3.082 |          0.062 |          8.159 |          0.005 |
            strnlen (LI-PaRAD) |          27 |          2.812 |          2.917 |          2.921 |          2.913 |          0.449 |          8.631 |          0.040 |      +5.79%
       strnlen (GNU libc 2.39) |          28 |          3.079 |          3.082 |          3.086 |          3.082 |          0.062 |          8.461 |          0.005 |
            strnlen (LI-PaRAD) |          28 |          2.713 |          2.917 |          2.922 |          2.911 |          0.845 |          8.958 |          0.080 |      +5.86%
       strnlen (GNU libc 2.39) |          29 |          3.079 |          3.082 |          3.104 |          3.082 |          0.098 |          8.763 |          0.009 |
            strnlen (LI-PaRAD) |          29 |          2.794 |          2.918 |          2.922 |          2.913 |          0.687 |          9.274 |          0.066 |      +5.83%
       strnlen (GNU libc 2.39) |          30 |          3.079 |          3.082 |          3.089 |          3.082 |          0.067 |          9.065 |          0.006 |
            strnlen (LI-PaRAD) |          30 |          2.739 |          2.917 |          2.923 |          2.912 |          0.747 |          9.596 |          0.075 |      +5.85%
       strnlen (GNU libc 2.39) |          31 |          3.079 |          3.082 |          3.092 |          3.082 |          0.073 |          9.368 |          0.007 |
            strnlen (LI-PaRAD) |          31 |          2.825 |          2.917 |          2.923 |          2.912 |          0.517 |          9.914 |          0.052 |      +5.83%
       strnlen (GNU libc 2.39) |          32 |          3.036 |          3.041 |          3.050 |          3.041 |          0.100 |          9.801 |          0.010 |
            strnlen (LI-PaRAD) |          32 |          3.079 |          3.082 |          3.213 |          3.083 |          0.430 |          9.666 |          0.040 |      -1.37%
       strnlen (GNU libc 2.39) |          33 |          3.413 |          3.497 |          3.545 |          3.495 |          0.978 |          8.795 |          0.086 |
            strnlen (LI-PaRAD) |          33 |          4.749 |          4.751 |          4.755 |          4.751 |          0.042 |          6.469 |          0.003 |     -26.44%
       strnlen (GNU libc 2.39) |          34 |          3.418 |          3.505 |          3.545 |          3.497 |          0.961 |          9.056 |          0.087 |
            strnlen (LI-PaRAD) |          34 |          4.749 |          4.751 |          4.760 |          4.751 |          0.046 |          6.665 |          0.003 |     -26.40%
       strnlen (GNU libc 2.39) |          35 |          3.411 |          3.504 |          3.544 |          3.493 |          1.094 |          9.332 |          0.103 |
            strnlen (LI-PaRAD) |          35 |          4.748 |          4.751 |          4.760 |          4.751 |          0.046 |          6.861 |          0.003 |     -26.47%
       strnlen (GNU libc 2.39) |          36 |          3.401 |          3.500 |          3.574 |          3.495 |          1.077 |          9.595 |          0.104 |
            strnlen (LI-PaRAD) |          36 |          4.749 |          4.751 |          4.759 |          4.751 |          0.045 |          7.057 |          0.003 |     -26.45%
       strnlen (GNU libc 2.39) |          37 |          3.418 |          3.514 |          3.544 |          3.503 |          0.992 |          9.838 |          0.098 |
            strnlen (LI-PaRAD) |          37 |          4.748 |          4.751 |          4.755 |          4.751 |          0.039 |          7.253 |          0.003 |     -26.27%
       strnlen (GNU libc 2.39) |          38 |          3.390 |          3.507 |          3.545 |          3.499 |          1.045 |         10.116 |          0.107 |
            strnlen (LI-PaRAD) |          38 |          4.749 |          4.751 |          4.755 |          4.751 |          0.039 |          7.449 |          0.003 |     -26.35%
       strnlen (GNU libc 2.39) |          39 |          3.397 |          3.508 |          3.545 |          3.499 |          1.044 |         10.381 |          0.109 |
            strnlen (LI-PaRAD) |          39 |          4.749 |          4.751 |          4.759 |          4.751 |          0.045 |          7.645 |          0.003 |     -26.35%
       strnlen (GNU libc 2.39) |          40 |          3.414 |          3.503 |          3.545 |          3.498 |          1.029 |         10.650 |          0.110 |
            strnlen (LI-PaRAD) |          40 |          4.236 |          4.238 |          4.243 |          4.238 |          0.038 |          8.791 |          0.003 |     -17.45%
       strnlen (GNU libc 2.39) |          41 |          3.407 |          3.503 |          3.543 |          3.497 |          1.020 |         10.919 |          0.112 |
            strnlen (LI-PaRAD) |          41 |          4.235 |          4.238 |          4.245 |          4.238 |          0.041 |          9.011 |          0.004 |     -17.47%
       strnlen (GNU libc 2.39) |          42 |          3.397 |          3.515 |          3.544 |          3.502 |          1.064 |         11.169 |          0.120 |
            strnlen (LI-PaRAD) |          42 |          4.236 |          4.237 |          4.242 |          4.237 |          0.036 |          9.231 |          0.003 |     -17.35%
       strnlen (GNU libc 2.39) |          43 |          3.409 |          3.509 |          3.544 |          3.502 |          0.897 |         11.436 |          0.103 |
            strnlen (LI-PaRAD) |          43 |          4.236 |          4.238 |          4.242 |          4.237 |          0.034 |          9.451 |          0.003 |     -17.35%
       strnlen (GNU libc 2.39) |          44 |          3.408 |          3.507 |          3.544 |          3.498 |          1.068 |         11.717 |          0.126 |
            strnlen (LI-PaRAD) |          44 |          4.235 |          4.237 |          4.242 |          4.237 |          0.037 |          9.670 |          0.004 |     -17.46%
       strnlen (GNU libc 2.39) |          45 |          3.386 |          3.513 |          3.544 |          3.501 |          1.073 |         11.973 |          0.130 |
            strnlen (LI-PaRAD) |          45 |          4.236 |          4.237 |          4.266 |          4.238 |          0.075 |          9.890 |          0.007 |     -17.39%
       strnlen (GNU libc 2.39) |          46 |          3.387 |          3.500 |          3.545 |          3.493 |          1.167 |         12.267 |          0.144 |
            strnlen (LI-PaRAD) |          46 |          4.236 |          4.237 |          4.247 |          4.238 |          0.044 |         10.110 |          0.004 |     -17.57%
       strnlen (GNU libc 2.39) |          47 |          3.410 |          3.512 |          3.544 |          3.500 |          1.062 |         12.507 |          0.134 |
            strnlen (LI-PaRAD) |          47 |          4.236 |          4.237 |          4.246 |          4.238 |          0.039 |         10.330 |          0.004 |     -17.40%
