ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strnlen (LI-PaRAD)|1|2.729|2.908|18.925|5.75|107.055|0.273|0.105
strnlen (Arm OR 23.01)|1|5.649|5.781|21.892|11.637|66.615|0.118|0.057
strnlen (GNU libc 2.39)|1|1.884|1.894|17.902|3.794|137.147|0.44|0.143
strnlen (LI-PaRAD)|2|2.733|2.906|18.921|5.904|106.55|0.542|0.215
strnlen (Arm OR 23.01)|2|5.558|5.781|21.927|11.466|67.274|0.239|0.115
strnlen (GNU libc 2.39)|2|1.884|1.894|21.902|3.834|136.863|0.868|0.287
strnlen (LI-PaRAD)|3|2.775|2.901|18.922|5.747|107.134|0.82|0.315
strnlen (Arm OR 23.01)|3|5.591|5.78|21.833|11.424|67.07|0.358|0.171
strnlen (GNU libc 2.39)|3|1.884|1.893|18.702|3.961|134.004|1.285|0.445
strnlen (LI-PaRAD)|4|2.786|2.905|18.919|5.751|107.041|1.091|0.419
strnlen (Arm OR 23.01)|4|5.579|5.782|21.784|11.617|66.742|0.473|0.231
strnlen (GNU libc 2.39)|4|1.883|1.893|18.313|3.838|135.595|1.73|0.576
strnlen (LI-PaRAD)|5|2.782|2.91|18.926|5.911|106.333|1.35|0.534
strnlen (Arm OR 23.01)|5|5.614|5.781|21.926|11.468|67.216|0.597|0.286
strnlen (GNU libc 2.39)|5|1.883|1.893|18.644|3.809|137.115|2.192|0.717
strnlen (LI-PaRAD)|6|2.777|2.907|18.929|5.754|107.005|1.636|0.627
strnlen (Arm OR 23.01)|6|5.615|5.781|21.924|11.47|67.188|0.716|0.343
strnlen (GNU libc 2.39)|6|1.884|1.894|18.617|3.825|136.421|2.613|0.863
strnlen (LI-PaRAD)|7|2.868|2.906|18.926|5.754|106.955|1.907|0.731
strnlen (Arm OR 23.01)|7|5.614|5.781|21.927|11.584|66.59|0.828|0.403
strnlen (GNU libc 2.39)|7|1.883|1.893|18.585|3.801|137.439|3.079|1.002
strnlen (LI-PaRAD)|8|2.777|2.906|18.923|5.91|106.301|2.16|0.854
strnlen (Arm OR 23.01)|8|5.588|5.78|25.778|11.495|67.558|0.955|0.46
strnlen (GNU libc 2.39)|8|1.883|1.894|18.06|3.804|136.883|3.507|1.147
strnlen (LI-PaRAD)|9|2.764|2.905|18.916|5.746|107.123|2.46|0.944
strnlen (Arm OR 23.01)|9|5.615|5.781|21.91|11.472|67.232|1.074|0.515
strnlen (GNU libc 2.39)|9|1.883|1.893|18.359|3.798|137.331|3.958|1.288
strnlen (LI-PaRAD)|10|2.759|2.905|18.927|5.751|107.018|2.728|1.046
strnlen (Arm OR 23.01)|10|5.607|5.782|21.785|11.626|66.613|1.18|0.575
strnlen (GNU libc 2.39)|10|1.884|1.894|18.088|3.987|134.983|4.295|1.486
strnlen (LI-PaRAD)|11|2.775|2.906|18.924|5.91|106.393|2.972|1.176
strnlen (Arm OR 23.01)|11|5.613|5.781|21.924|11.463|67.251|1.314|0.631
strnlen (GNU libc 2.39)|11|1.884|1.894|18.405|3.823|136.301|4.79|1.581
strnlen (LI-PaRAD)|12|2.741|2.908|18.921|5.751|107.067|3.275|1.257
strnlen (Arm OR 23.01)|12|5.63|5.782|21.925|11.469|67.188|1.431|0.687
strnlen (GNU libc 2.39)|12|1.884|1.893|18.66|3.81|137.121|5.261|1.721
strnlen (LI-PaRAD)|13|2.78|2.907|18.914|5.751|106.977|3.545|1.359
strnlen (Arm OR 23.01)|13|5.596|5.781|21.925|11.624|66.707|1.536|0.749
strnlen (GNU libc 2.39)|13|1.884|1.895|18.697|4.101|132.25|5.376|1.939
strnlen (LI-PaRAD)|14|2.75|2.91|18.919|5.91|106.393|3.783|1.497
strnlen (Arm OR 23.01)|14|5.614|5.781|21.924|11.471|67.209|1.67|0.801
strnlen (GNU libc 2.39)|14|1.883|1.894|18.14|3.797|137.262|6.157|2.004
strnlen (LI-PaRAD)|15|2.735|2.908|18.921|5.752|107.04|4.092|1.57
strnlen (Arm OR 23.01)|15|5.6|5.78|21.926|11.465|67.185|1.79|0.859
strnlen (GNU libc 2.39)|15|1.884|1.894|18.697|3.932|132.75|6.27|2.172
strnlen (LI-PaRAD)|16|2.727|2.906|18.922|5.748|107.121|4.371|1.678
