        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           1 |          7.065 |          7.325 |          7.599 |          7.333 |          1.404 |          0.127 |          0.002 |
            strrchr (LI-PaRAD) |           1 |          5.004 |          5.272 |          5.421 |          5.276 |          1.816 |          0.177 |          0.003 |     +39.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           2 |          7.009 |          7.231 |          7.461 |          7.226 |          1.378 |          0.258 |          0.004 |
            strrchr (LI-PaRAD) |           2 |          5.087 |          5.285 |          5.436 |          5.303 |          1.689 |          0.351 |          0.006 |     +36.26%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           3 |          6.933 |          7.223 |          7.569 |          7.237 |          1.672 |          0.386 |          0.006 |
            strrchr (LI-PaRAD) |           3 |          5.012 |          5.314 |          5.450 |          5.291 |          2.098 |          0.528 |          0.011 |     +36.79%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           4 |          6.932 |          7.220 |          7.559 |          7.217 |          1.707 |          0.516 |          0.009 |
            strrchr (LI-PaRAD) |           4 |          4.962 |          5.296 |          5.436 |          5.282 |          2.149 |          0.706 |          0.015 |     +36.64%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           5 |          6.960 |          7.238 |          7.613 |          7.245 |          1.537 |          0.643 |          0.010 |
            strrchr (LI-PaRAD) |           5 |          5.081 |          5.390 |          5.440 |          5.334 |          1.565 |          0.873 |          0.014 |     +35.82%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           6 |          6.977 |          7.246 |          7.550 |          7.247 |          1.391 |          0.771 |          0.011 |
            strrchr (LI-PaRAD) |           6 |          5.051 |          5.353 |          5.449 |          5.319 |          1.694 |          1.051 |          0.018 |     +36.25%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           7 |          6.965 |          7.237 |          7.577 |          7.254 |          1.512 |          0.899 |          0.014 |
            strrchr (LI-PaRAD) |           7 |          4.966 |          5.322 |          5.436 |          5.297 |          2.013 |          1.231 |          0.025 |     +36.94%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           8 |          7.010 |          7.232 |          7.612 |          7.244 |          1.473 |          1.029 |          0.015 |
            strrchr (LI-PaRAD) |           8 |          5.022 |          5.320 |          5.436 |          5.303 |          1.890 |          1.406 |          0.027 |     +36.62%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |           9 |          7.001 |          7.256 |          7.518 |          7.251 |          1.435 |          1.156 |          0.017 |
            strrchr (LI-PaRAD) |           9 |          5.005 |          5.314 |          5.417 |          5.299 |          2.002 |          1.582 |          0.032 |     +36.83%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          10 |          7.046 |          7.242 |          7.527 |          7.239 |          1.354 |          1.287 |          0.017 |
            strrchr (LI-PaRAD) |          10 |          5.032 |          5.326 |          5.437 |          5.312 |          1.789 |          1.754 |          0.032 |     +36.27%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          11 |          6.952 |          7.240 |          7.530 |          7.241 |          1.311 |          1.415 |          0.019 |
            strrchr (LI-PaRAD) |          11 |          5.046 |          5.309 |          5.436 |          5.309 |          1.703 |          1.930 |          0.033 |     +36.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          12 |          6.969 |          7.241 |          7.486 |          7.244 |          1.256 |          1.543 |          0.019 |
            strrchr (LI-PaRAD) |          12 |          5.051 |          5.325 |          5.450 |          5.304 |          1.859 |          2.108 |          0.040 |     +36.56%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          13 |          6.990 |          7.232 |          7.443 |          7.231 |          1.256 |          1.675 |          0.021 |
            strrchr (LI-PaRAD) |          13 |          5.038 |          5.310 |          5.418 |          5.306 |          1.794 |          2.283 |          0.042 |     +36.28%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          14 |          7.030 |          7.242 |          7.587 |          7.253 |          1.425 |          1.798 |          0.026 |
            strrchr (LI-PaRAD) |          14 |          5.096 |          5.281 |          5.442 |          5.290 |          1.756 |          2.465 |          0.043 |     +37.11%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          15 |          7.007 |          7.253 |          7.474 |          7.258 |          1.268 |          1.925 |          0.024 |
            strrchr (LI-PaRAD) |          15 |          5.005 |          5.280 |          5.409 |          5.271 |          2.093 |          2.651 |          0.056 |     +37.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          16 |          6.954 |          7.257 |          7.484 |          7.252 |          1.279 |          2.055 |          0.026 |
            strrchr (LI-PaRAD) |          16 |          5.022 |          5.267 |          5.437 |          5.268 |          1.927 |          2.830 |          0.055 |     +37.65%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        strrchr (Arm OR 23.01) |          17 |          7.011 |          7.278 |          7.460 |          7.264 |          1.228 |          2.180 |          0.027 |
