        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
        strrchr (Arm OR 23.01) |           1 |          7.212 |          7.575 |          7.921 |          7.575 |          2.278 |          0.123 |          0.003 |
            strrchr (LI-PaRAD) |           1 |          5.390 |          5.394 |          5.400 |          5.393 |          0.040 |          0.173 |          0.000 |     +40.46%
        strrchr (Arm OR 23.01) |           2 |          7.224 |          7.519 |          7.812 |          7.517 |          1.832 |          0.248 |          0.005 |
            strrchr (LI-PaRAD) |           2 |          5.390 |          5.394 |          5.431 |          5.394 |          0.080 |          0.345 |          0.000 |     +39.36%
        strrchr (Arm OR 23.01) |           3 |          7.203 |          7.568 |          7.944 |          7.559 |          2.261 |          0.370 |          0.008 |
            strrchr (LI-PaRAD) |           3 |          5.390 |          5.394 |          5.427 |          5.393 |          0.072 |          0.518 |          0.000 |     +40.16%
        strrchr (Arm OR 23.01) |           4 |          7.224 |          7.549 |          7.897 |          7.540 |          2.044 |          0.494 |          0.010 |
            strrchr (LI-PaRAD) |           4 |          5.390 |          5.393 |          5.397 |          5.393 |          0.036 |          0.691 |          0.000 |     +39.81%
        strrchr (Arm OR 23.01) |           5 |          7.286 |          7.632 |          7.897 |          7.627 |          1.790 |          0.611 |          0.011 |
            strrchr (LI-PaRAD) |           5 |          5.390 |          5.394 |          5.396 |          5.393 |          0.037 |          0.863 |          0.000 |     +41.42%
        strrchr (Arm OR 23.01) |           6 |          7.369 |          7.604 |          7.929 |          7.605 |          1.937 |          0.735 |          0.014 |
            strrchr (LI-PaRAD) |           6 |          5.389 |          5.393 |          5.398 |          5.393 |          0.036 |          1.036 |          0.000 |     +41.02%
        strrchr (Arm OR 23.01) |           7 |          7.244 |          7.603 |          7.898 |          7.610 |          2.151 |          0.857 |          0.018 |
            strrchr (LI-PaRAD) |           7 |          5.390 |          5.394 |          5.397 |          5.393 |          0.038 |          1.209 |          0.000 |     +41.09%
        strrchr (Arm OR 23.01) |           8 |          7.284 |          7.603 |          7.886 |          7.601 |          1.711 |          0.980 |          0.017 |
            strrchr (LI-PaRAD) |           8 |          5.390 |          5.393 |          5.397 |          5.393 |          0.036 |          1.381 |          0.000 |     +40.94%
        strrchr (Arm OR 23.01) |           9 |          7.233 |          7.561 |          7.881 |          7.544 |          1.745 |          1.111 |          0.019 |
            strrchr (LI-PaRAD) |           9 |          5.390 |          5.394 |          5.424 |          5.393 |          0.067 |          1.554 |          0.001 |     +39.87%
        strrchr (Arm OR 23.01) |          10 |          7.223 |          7.553 |          7.898 |          7.531 |          2.154 |          1.237 |          0.027 |
            strrchr (LI-PaRAD) |          10 |          5.390 |          5.394 |          5.399 |          5.393 |          0.038 |          1.727 |          0.001 |     +39.64%
        strrchr (Arm OR 23.01) |          11 |          7.210 |          7.583 |          7.898 |          7.575 |          2.195 |          1.353 |          0.030 |
            strrchr (LI-PaRAD) |          11 |          5.390 |          5.393 |          5.397 |          5.393 |          0.037 |          1.900 |          0.001 |     +40.46%
        strrchr (Arm OR 23.01) |          12 |          7.220 |          7.601 |          7.898 |          7.580 |          2.059 |          1.475 |          0.030 |
