ROUTINE IMPLEMENTATION|BUF SIZE B|RT MIN ns|RT MED ns|RT MAX ns|RT AVG ns|RT STDEV %|BW AVG GiB/s|BW STDEV GiB/s
strrchr (LI-PaRAD)|1|4.974|5.248|25.215|10.368|72.678|0.136|0.064
strrchr (Arm OR 23.01)|1|6.934|7.397|39.199|14.415|57.033|0.089|0.044
strrchr (GNU libc 2.39)|1|2.385|2.392|18.404|4.768|119.976|0.339|0.121
strrchr (LI-PaRAD)|2|4.963|5.22|21.396|10.352|72.635|0.273|0.129
strrchr (Arm OR 23.01)|2|7.012|7.482|31.374|14.567|55.429|0.176|0.088
strrchr (GNU libc 2.39)|2|2.384|2.39|18.81|4.89|118.697|0.672|0.248
strrchr (LI-PaRAD)|3|5.0|5.264|21.392|10.416|72.564|0.407|0.193
strrchr (Arm OR 23.01)|3|7.064|7.418|23.53|14.541|55.169|0.265|0.133
strrchr (GNU libc 2.39)|3|2.383|2.391|18.428|4.94|118.808|1.003|0.373
strrchr (LI-PaRAD)|4|4.946|5.263|21.363|10.251|72.929|0.547|0.254
strrchr (Arm OR 23.01)|4|7.032|7.494|23.592|14.581|54.955|0.351|0.176
strrchr (GNU libc 2.39)|4|2.385|2.391|18.404|4.767|119.988|1.357|0.485
strrchr (LI-PaRAD)|5|4.962|5.264|21.379|10.406|72.461|0.677|0.321
strrchr (Arm OR 23.01)|5|6.994|7.431|23.594|14.524|55.074|0.441|0.221
strrchr (GNU libc 2.39)|5|2.384|2.391|18.901|4.779|119.884|1.692|0.606
strrchr (LI-PaRAD)|6|4.974|5.263|21.394|10.374|72.337|0.813|0.384
strrchr (Arm OR 23.01)|6|6.975|7.409|27.204|14.59|55.373|0.529|0.266
strrchr (GNU libc 2.39)|6|2.384|2.391|18.845|4.792|119.429|2.02|0.726
strrchr (LI-PaRAD)|7|4.962|5.262|21.405|10.423|72.565|0.948|0.449
strrchr (Arm OR 23.01)|7|7.022|7.468|23.46|14.491|54.988|0.618|0.309
strrchr (GNU libc 2.39)|7|2.385|2.391|18.541|4.927|119.269|2.352|0.871
strrchr (LI-PaRAD)|8|4.907|5.26|21.395|10.359|72.326|1.086|0.513
strrchr (Arm OR 23.01)|8|6.976|7.364|23.604|14.372|55.811|0.715|0.356
strrchr (GNU libc 2.39)|8|2.385|2.391|18.511|4.782|119.574|2.701|0.969
strrchr (LI-PaRAD)|9|4.968|5.221|21.398|10.229|73.201|1.237|0.576
strrchr (Arm OR 23.01)|9|6.939|7.535|23.596|14.579|54.617|0.79|0.399
strrchr (GNU libc 2.39)|9|2.384|2.391|18.428|4.788|119.31|3.03|1.089
strrchr (LI-PaRAD)|10|4.977|5.279|21.401|10.432|72.36|1.35|0.638
strrchr (Arm OR 23.01)|10|7.014|7.409|23.548|14.558|55.166|0.882|0.443
strrchr (GNU libc 2.39)|10|2.385|2.391|18.4|4.767|119.985|3.393|1.212
strrchr (LI-PaRAD)|11|4.978|5.222|21.404|10.208|73.076|1.511|0.702
strrchr (Arm OR 23.01)|11|6.934|7.351|23.492|14.49|55.396|0.977|0.493
strrchr (GNU libc 2.39)|11|2.385|2.391|18.755|4.889|118.677|3.697|1.365
strrchr (LI-PaRAD)|12|4.974|5.262|21.4|10.418|72.596|1.626|0.771
strrchr (Arm OR 23.01)|12|6.933|7.369|23.451|14.499|55.242|1.063|0.535
strrchr (GNU libc 2.39)|12|2.384|2.391|18.505|4.776|119.792|4.061|1.453
strrchr (LI-PaRAD)|13|4.954|5.261|21.4|10.406|72.77|1.768|0.839
strrchr (Arm OR 23.01)|13|7.023|7.398|23.493|14.556|55.165|1.146|0.576
strrchr (GNU libc 2.39)|13|2.385|2.391|18.821|4.771|120.094|4.411|1.575
strrchr (LI-PaRAD)|14|4.975|5.352|21.428|10.406|71.977|1.884|0.887
strrchr (Arm OR 23.01)|14|6.985|7.425|27.139|14.547|55.327|1.236|0.621
strrchr (GNU libc 2.39)|14|2.385|2.391|18.657|4.783|119.606|4.726|1.695
