        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strchr GNU libc 2.39 |           1 |          2.104 |          2.112 |          2.146 |          2.114 |          0.408 |          0.441 |          0.002 |
       strchr LI-PaRAD/EMOPASS |           1 |          4.572 |          4.622 |          4.730 |          4.629 |          0.906 |          0.201 |          0.002 |     -54.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strchr GNU libc 2.39 |           2 |          2.692 |          2.697 |          2.708 |          2.697 |          0.101 |          0.691 |          0.001 |
       strchr LI-PaRAD/EMOPASS |           2 |          4.574 |          4.623 |          4.754 |          4.639 |          0.944 |          0.402 |          0.004 |     -41.86%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strchr GNU libc 2.39 |           3 |          2.692 |          2.698 |          2.701 |          2.697 |          0.090 |          1.036 |          0.001 |
       strchr LI-PaRAD/EMOPASS |           3 |          4.573 |          4.622 |          4.745 |          4.627 |          0.826 |          0.604 |          0.005 |     -41.72%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strchr GNU libc 2.39 |           4 |          2.692 |          2.697 |          2.701 |          2.697 |          0.086 |          1.382 |          0.001 |
       strchr LI-PaRAD/EMOPASS |           4 |          4.573 |          4.622 |          4.749 |          4.628 |          0.876 |          0.805 |          0.007 |     -41.73%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strchr GNU libc 2.39 |           5 |          2.692 |          2.697 |          2.703 |          2.697 |          0.088 |          1.727 |          0.002 |
       strchr LI-PaRAD/EMOPASS |           5 |          4.573 |          4.623 |          4.752 |          4.636 |          0.963 |          1.005 |          0.010 |     -41.83%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strchr GNU libc 2.39 |           6 |          2.692 |          2.697 |          2.723 |          2.697 |          0.132 |          2.072 |          0.003 |
       strchr LI-PaRAD/EMOPASS |           6 |          4.574 |          4.622 |          4.753 |          4.628 |          0.795 |          1.207 |          0.009 |     -41.73%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strchr GNU libc 2.39 |           7 |          2.692 |          2.697 |          2.701 |          2.697 |          0.091 |          2.417 |          0.002 |
       strchr LI-PaRAD/EMOPASS |           7 |          4.573 |          4.622 |          4.749 |          4.629 |          0.870 |          1.408 |          0.012 |     -41.74%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strchr GNU libc 2.39 |           8 |          2.692 |          2.698 |          2.701 |          2.697 |          0.089 |          2.763 |          0.002 |
       strchr LI-PaRAD/EMOPASS |           8 |          4.573 |          4.622 |          4.752 |          4.631 |          0.879 |          1.609 |          0.014 |     -41.76%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strchr GNU libc 2.39 |           9 |          2.692 |          2.697 |          2.701 |          2.697 |          0.089 |          3.108 |          0.003 |
       strchr LI-PaRAD/EMOPASS |           9 |          4.573 |          4.622 |          4.746 |          4.624 |          0.767 |          1.813 |          0.014 |     -41.68%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strchr GNU libc 2.39 |          10 |          2.692 |          2.698 |          2.703 |          2.697 |          0.095 |          3.453 |          0.003 |
       strchr LI-PaRAD/EMOPASS |          10 |          4.572 |          4.622 |          4.751 |          4.627 |          0.841 |          2.013 |          0.017 |     -41.72%
