  ROUTINE IMPLEMENTATION |    BUF SIZE |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `strchr_sve` |    32.0 KiB |           4339 |           4347 |           4492 |       4354.029 |          0.733 |          7.009 |          0.050 |
        New `strchr_sve` |    32.0 KiB |           3357 |           3363 |           3372 |       3361.883 |          0.126 |          9.078 |          0.011 |     +29.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `strchr_sve` |    64.0 KiB |           8668 |           8670 |           8731 |       8681.074 |          0.208 |          7.031 |          0.015 |
        New `strchr_sve` |    64.0 KiB |           6503 |           6515 |           6577 |       6522.536 |          0.296 |          9.358 |          0.028 |     +33.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `strchr_sve` |   512.0 KiB |          69280 |          69364 |          69765 |      69371.850 |          0.123 |          7.039 |          0.009 |
        New `strchr_sve` |   512.0 KiB |          50937 |          53533 |          53777 |      53363.324 |          1.018 |          9.151 |          0.096 |     +30.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `strchr_sve` |     1.0 MiB |         138449 |         138782 |         139412 |     138715.439 |          0.188 |          7.040 |          0.013 |
        New `strchr_sve` |     1.0 MiB |         101486 |         107149 |         108933 |     106687.839 |          1.170 |          9.155 |          0.110 |     +30.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `strchr_sve` |    16.0 MiB |        2207725 |        2210426 |        2222437 |    2211331.845 |          0.143 |          7.066 |          0.010 |
        New `strchr_sve` |    16.0 MiB |        1695849 |        1746171 |        1796217 |    1744760.639 |          1.565 |          8.957 |          0.139 |     +26.74%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `strchr_sve` |    32.0 MiB |        4440384 |        4443804 |        4448929 |    4444063.882 |          0.047 |          7.032 |          0.003 |
        New `strchr_sve` |    32.0 MiB |        3428220 |        3646385 |        3814876 |    3637044.215 |          3.111 |          8.600 |          0.269 |     +22.19%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Current `strchr_sve` |   256.0 MiB |       35542738 |       35553622 |       35635293 |   35557949.548 |          0.047 |          7.031 |          0.003 |
        New `strchr_sve` |   256.0 MiB |       29988105 |       30494861 |       30788273 |   30440626.742 |          0.739 |          8.213 |          0.061 |     +16.81%
