        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |           1 |          2.370 |          2.378 |          2.407 |          2.378 |          0.209 |          0.392 |          0.001 |
       strcmp LI-PaRAD/EMOPASS |           1 |          4.235 |          4.237 |          4.242 |          4.238 |          0.035 |          0.220 |          0.000 |     -43.88%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |           2 |          2.692 |          2.698 |          2.705 |          2.697 |          0.105 |          0.691 |          0.001 |
       strcmp LI-PaRAD/EMOPASS |           2 |          4.235 |          4.238 |          4.246 |          4.238 |          0.040 |          0.440 |          0.000 |     -36.36%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |           3 |          2.692 |          2.697 |          2.704 |          2.697 |          0.093 |          1.036 |          0.001 |
       strcmp LI-PaRAD/EMOPASS |           3 |          3.592 |          3.596 |          4.019 |          3.607 |          1.654 |          0.775 |          0.012 |     -25.24%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |           4 |          2.692 |          2.697 |          2.701 |          2.697 |          0.089 |          1.381 |          0.001 |
       strcmp LI-PaRAD/EMOPASS |           4 |          4.236 |          4.238 |          4.242 |          4.238 |          0.032 |          0.879 |          0.000 |     -36.36%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |           5 |          2.692 |          2.697 |          2.701 |          2.697 |          0.091 |          1.727 |          0.002 |
       strcmp LI-PaRAD/EMOPASS |           5 |          3.592 |          3.596 |          4.085 |          3.609 |          1.840 |          1.291 |          0.021 |     -25.28%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |           6 |          2.692 |          2.697 |          2.701 |          2.697 |          0.089 |          2.072 |          0.002 |
       strcmp LI-PaRAD/EMOPASS |           6 |          4.235 |          4.238 |          4.257 |          4.238 |          0.062 |          1.319 |          0.001 |     -36.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |           7 |          2.692 |          2.698 |          2.703 |          2.697 |          0.097 |          2.417 |          0.002 |
       strcmp LI-PaRAD/EMOPASS |           7 |          3.592 |          3.596 |          4.105 |          3.629 |          3.130 |          1.798 |          0.051 |     -25.69%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |           8 |          3.084 |          3.093 |          3.099 |          3.093 |          0.092 |          2.409 |          0.002 |
       strcmp LI-PaRAD/EMOPASS |           8 |          4.236 |          4.238 |          4.246 |          4.238 |          0.036 |          1.758 |          0.001 |     -27.02%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |           9 |          3.077 |          3.083 |          3.086 |          3.082 |          0.068 |          2.720 |          0.002 |
       strcmp LI-PaRAD/EMOPASS |           9 |          3.592 |          3.596 |          3.874 |          3.600 |          0.828 |          2.328 |          0.018 |     -14.40%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |          10 |          3.083 |          3.091 |          3.097 |          3.091 |          0.092 |          3.013 |          0.003 |
       strcmp LI-PaRAD/EMOPASS |          10 |          4.236 |          4.237 |          4.242 |          4.238 |          0.034 |          2.198 |          0.001 |     -27.05%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |          11 |          3.077 |          3.083 |          3.090 |          3.082 |          0.072 |          3.324 |          0.002 |
       strcmp LI-PaRAD/EMOPASS |          11 |          3.592 |          3.596 |          3.598 |          3.596 |          0.040 |          2.849 |          0.001 |     -14.28%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |          12 |          3.083 |          3.094 |          3.098 |          3.093 |          0.091 |          3.613 |          0.003 |
       strcmp LI-PaRAD/EMOPASS |          12 |          4.236 |          4.237 |          4.243 |          4.238 |          0.034 |          2.637 |          0.001 |     -27.01%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |          13 |          3.077 |          3.083 |          3.086 |          3.082 |          0.062 |          3.928 |          0.002 |
       strcmp LI-PaRAD/EMOPASS |          13 |          3.592 |          3.596 |          3.801 |          3.598 |          0.568 |          3.365 |          0.018 |     -14.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |          14 |          3.077 |          3.092 |          3.100 |          3.091 |          0.119 |          4.218 |          0.005 |
       strcmp LI-PaRAD/EMOPASS |          14 |          4.236 |          4.237 |          4.242 |          4.238 |          0.031 |          3.077 |          0.001 |     -27.06%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          strcmp GNU libc 2.39 |          15 |          3.077 |          3.083 |          3.087 |          3.082 |          0.066 |          4.533 |          0.003 |
