        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s |     SPEEDUP
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           1 |          5.976 |          6.202 |          6.359 |          6.179 |          1.339 |          0.151 |          0.002 |
       strcpy LI-PaRAD/EMOPASS |           1 |          2.308 |          2.311 |          2.316 |          2.311 |          0.115 |          0.403 |          0.000 |    +167.30%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           2 |          5.904 |          6.196 |          6.436 |          6.171 |          1.659 |          0.302 |          0.005 |
       strcpy LI-PaRAD/EMOPASS |           2 |          2.308 |          2.312 |          2.316 |          2.311 |          0.112 |          0.806 |          0.001 |    +166.98%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           3 |          5.906 |          6.188 |          6.428 |          6.160 |          1.507 |          0.454 |          0.007 |
       strcpy LI-PaRAD/EMOPASS |           3 |          2.308 |          2.311 |          2.315 |          2.311 |          0.106 |          1.209 |          0.001 |    +166.51%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           4 |          5.922 |          6.208 |          6.404 |          6.173 |          1.502 |          0.604 |          0.009 |
       strcpy LI-PaRAD/EMOPASS |           4 |          2.308 |          2.312 |          2.316 |          2.311 |          0.108 |          1.612 |          0.002 |    +167.09%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           5 |          5.977 |          6.217 |          6.378 |          6.197 |          1.193 |          0.752 |          0.009 |
       strcpy LI-PaRAD/EMOPASS |           5 |          2.308 |          2.311 |          2.318 |          2.311 |          0.111 |          2.015 |          0.002 |    +168.10%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           6 |          5.908 |          6.178 |          6.378 |          6.152 |          1.671 |          0.909 |          0.015 |
       strcpy LI-PaRAD/EMOPASS |           6 |          2.308 |          2.311 |          2.318 |          2.311 |          0.116 |          2.418 |          0.003 |    +166.16%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           7 |          5.934 |          6.174 |          6.312 |          6.151 |          1.466 |          1.060 |          0.016 |
       strcpy LI-PaRAD/EMOPASS |           7 |          2.308 |          2.311 |          2.315 |          2.311 |          0.103 |          2.821 |          0.003 |    +166.12%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           8 |          5.904 |          6.180 |          6.377 |          6.164 |          1.504 |          1.209 |          0.018 |
       strcpy LI-PaRAD/EMOPASS |           8 |          2.308 |          2.311 |          2.316 |          2.311 |          0.112 |          3.223 |          0.004 |    +166.67%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |           9 |          5.903 |          6.192 |          6.401 |          6.170 |          1.519 |          1.359 |          0.021 |
       strcpy LI-PaRAD/EMOPASS |           9 |          2.308 |          2.311 |          2.316 |          2.311 |          0.110 |          3.626 |          0.004 |    +166.93%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          10 |          5.952 |          6.218 |          6.413 |          6.203 |          1.240 |          1.502 |          0.019 |
       strcpy LI-PaRAD/EMOPASS |          10 |          2.308 |          2.312 |          2.316 |          2.311 |          0.107 |          4.030 |          0.004 |    +168.36%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          11 |          5.960 |          6.197 |          6.403 |          6.180 |          1.460 |          1.658 |          0.024 |
       strcpy LI-PaRAD/EMOPASS |          11 |          2.308 |          2.311 |          2.316 |          2.311 |          0.107 |          4.432 |          0.005 |    +167.39%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          12 |          5.920 |          6.211 |          6.405 |          6.186 |          1.431 |          1.807 |          0.026 |
       strcpy LI-PaRAD/EMOPASS |          12 |          2.308 |          2.311 |          2.317 |          2.311 |          0.110 |          4.835 |          0.005 |    +167.61%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          13 |          5.902 |          6.204 |          6.383 |          6.175 |          1.467 |          1.961 |          0.029 |
       strcpy LI-PaRAD/EMOPASS |          13 |          2.308 |          2.311 |          2.316 |          2.311 |          0.103 |          5.238 |          0.005 |    +167.18%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          14 |          5.931 |          6.207 |          6.424 |          6.180 |          1.462 |          2.110 |          0.031 |
       strcpy LI-PaRAD/EMOPASS |          14 |          2.308 |          2.311 |          2.335 |          2.312 |          0.147 |          5.641 |          0.008 |    +167.37%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          15 |          5.948 |          6.208 |          6.391 |          6.177 |          1.547 |          2.262 |          0.035 |
       strcpy LI-PaRAD/EMOPASS |          15 |          2.308 |          2.311 |          2.316 |          2.311 |          0.109 |          6.044 |          0.007 |    +167.23%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          16 |          5.904 |          6.201 |          6.348 |          6.164 |          1.504 |          2.418 |          0.037 |
       strcpy LI-PaRAD/EMOPASS |          16 |          2.308 |          2.311 |          2.316 |          2.311 |          0.115 |          6.447 |          0.007 |    +166.66%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 strcpy Arm optimized-routines |          17 |          5.993 |          6.201 |          6.383 |          6.177 |          1.271 |          2.564 |          0.033 |
